engine,dataset,regime,paired_requests,exact_output_parity,mean_f1_delta_e2_minus_e0,mean_absolute_f1_delta
mlx-lm,2wikimultihopqa,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,warm_repeated,40,1.0,0.0,0.0
mlx-lm,hotpotqa,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,hotpotqa,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,hotpotqa,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,hotpotqa,warm_repeated,40,1.0,0.0,0.0
mlx-lm,qasper,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,qasper,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,qasper,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,qasper,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,hotpotqa,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,hotpotqa,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,hotpotqa,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,hotpotqa,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,qasper,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,qasper,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,qasper,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,qasper,warm_repeated,40,1.0,0.0,0.0
vllm-metal,2wikimultihopqa,cold_one_shot,20,0.7,-0.01764705882352941,0.01764705882352941
vllm-metal,2wikimultihopqa,concurrent_shared_resource,160,0.69375,0.004677134011499336,0.006683160106147724
vllm-metal,2wikimultihopqa,multi_query_same_resource,60,0.7,0.0008333333333333327,0.012261904761904764
vllm-metal,2wikimultihopqa,warm_repeated,40,0.8,-0.015,0.015
vllm-metal,hotpotqa,cold_one_shot,20,0.6,0.005923202614379085,0.006576797385620915
vllm-metal,hotpotqa,concurrent_shared_resource,160,0.725,-0.005924727845683728,0.010126408517952636
vllm-metal,hotpotqa,multi_query_same_resource,60,0.6333333333333333,0.003206080411962765,0.005840760546642901
vllm-metal,hotpotqa,warm_repeated,40,0.75,0.00625,0.00625
vllm-metal,qasper,cold_one_shot,20,0.55,0.008674242424242425,0.009507575757575758
vllm-metal,qasper,concurrent_shared_resource,160,0.7,0.004745068860877685,0.009041695845004668
vllm-metal,qasper,multi_query_same_resource,60,0.6833333333333333,-0.009921546791751397,0.018627655497860104
vllm-metal,qasper,warm_repeated,40,0.85,0.00909090909090909,0.00909090909090909
