dataset,model_tier,seed,method,fraction,recall,any_evidence_recall,all_evidence_recall,selected_chunk_fraction,selected_kv_token_fraction
hotpotqa,tiny,1,post_rope_mean,0.01,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.05622819530599296
hotpotqa,tiny,1,post_rope_mean,0.02,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.05622819530599296
hotpotqa,tiny,1,post_rope_mean,0.05,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.05622819530599296
hotpotqa,tiny,1,post_rope_mean,0.1,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.13333333333333333,0.11839976392930691
hotpotqa,tiny,1,post_rope_mean,0.15,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.2,0.18786448535370182
hotpotqa,tiny,1,post_rope_mean,0.2,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.2,0.18786448535370182
hotpotqa,tiny,1,post_rope_mean,0.25,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.26666666666666666,0.25022791953779067
hotpotqa,tiny,1,post_rope_mean,0.3,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3333333333333333,0.31644614473211136
hotpotqa,tiny,1,post_rope_mean,0.5,1.0,1.0,1.0,0.5333333333333333,0.5384030409009054
hotpotqa,tiny,1,post_rope_mean,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,1,pre_rope_mean,0.01,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_mean,0.02,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_mean,0.05,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_mean,0.1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.13333333333333333,0.11921726275242793
hotpotqa,tiny,1,pre_rope_mean,0.15,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.2,0.1839942776634938
