seed,model_tier,position_mode,example_id,logical_native_ratio,logical_context,native_context,maximum_native_operation,native_limit_violations,direct_tokens,implicit_head_tokens,materialized_memory_tokens,loss,accuracy,disabled_loss,disabled_accuracy
1,tiny,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.25814110040664673,1,4.566962242126465,0
1,tiny,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.2580524981021881,1,4.4705376625061035,0
1,tiny,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.2656315565109253,1,4.569543838500977,0
1,tiny,absolute,synthetic-native-00003,1,192,192,160,0,32,160,160.0,0.25470447540283203,1,4.566281795501709,0
1,tiny,absolute,synthetic-native-00000,2,384,192,192,0,32,352,160.0,0.1015385240316391,1,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00001,2,384,192,192,0,32,352,160.0,0.07753223925828934,1,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00002,2,384,192,192,0,32,352,160.0,0.10667066276073456,1,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00003,2,384,192,192,0,32,352,160.0,0.10320829600095749,1,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00000,4,768,192,192,0,32,736,160.0,3.39772367477417,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00001,4,768,192,192,0,32,736,160.0,3.39772367477417,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00002,4,768,192,192,0,32,736,160.0,3.42317795753479,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00003,4,768,192,192,0,32,736,160.0,3.39772367477417,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,2.920745849609375,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,2.920745849609375,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,2.920745849609375,0,2.9103784561157227,0
1,tiny,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,2.920745849609375,0,2.9103784561157227,0
7,tiny,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.10588367283344269,1,1.6415061950683594,0
7,tiny,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.10160109400749207,1,1.128032922744751,0
7,tiny,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.10447891056537628,1,0.6769528388977051,1
