chunk_size,K,mean_oracle_recall,complete_recovery,mean_visited_parents
16,1,0.17279265873015873,0.0,3.1875
16,2,0.18529265873015874,0.0,5.0
16,4,0.19422123015873016,0.0,5.875
16,6,0.19422123015873016,0.0,6.0
32,1,0.27157738095238093,0.0,3.0625
32,2,0.32053571428571426,0.0,4.75
32,4,0.33303571428571427,0.0,5.8125
32,6,0.32410714285714287,0.0,6.0
64,1,0.42916666666666664,0.0625,3.1875
64,2,0.44166666666666665,0.0625,4.6875
64,4,0.49374999999999997,0.0625,5.75
64,6,0.49374999999999997,0.0625,6.0
128,1,0.53125,0.125,3.1875
128,2,0.6145833333333334,0.25,4.625
128,4,0.6875,0.3125,5.6875
128,6,0.6666666666666666,0.3125,6.0
256,1,0.71875,0.4375,2.9375
256,2,0.8645833333333334,0.6875,4.375
256,4,0.96875,0.9375,5.4375
256,6,0.9375,0.875,5.5
