example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens
5adc3aff5542996e685252eb,validation,bridge,hard,16,0,77,5,3,33,0.25396825396825395,False,False,True,2,0,33 34 74 75 76,33 34;74 75 76,63,1217
5adc3aff5542996e685252eb,validation,bridge,hard,32,0,39,4,2,16,0.25396825396825395,False,False,True,2,0,16 17 37 38,16 17;37 38,63,1217
5adc3aff5542996e685252eb,validation,bridge,hard,64,0,20,3,2,8,0.5079365079365079,False,False,True,2,0,8 18 19,8;18 19,63,1217
5adc3aff5542996e685252eb,validation,bridge,hard,128,0,10,2,1,4,0.5079365079365079,False,False,True,2,0,4 9,4;9,63,1217
5adc3aff5542996e685252eb,validation,bridge,hard,256,0,5,2,1,2,0.5079365079365079,False,False,True,2,0,2 4,2;4,63,1217
5ab56db7554299494045efc6,validation,bridge,hard,16,0,80,7,5,0,0.18604651162790697,False,False,True,3,1,0 1 2 3 4 50 51,0 1 2;2 3 4;50 51,86,1271
5ab56db7554299494045efc6,validation,bridge,hard,32,0,40,4,3,0,0.37209302325581395,False,False,True,3,1,0 1 2 25,0 1;1 2;25,86,1271
5ab56db7554299494045efc6,validation,bridge,hard,64,0,20,3,2,0,0.7441860465116279,False,True,False,3,1,0 1 12,0;0 1;12,86,1271
5ab56db7554299494045efc6,validation,bridge,hard,128,0,10,2,1,0,0.7674418604651163,False,True,False,3,1,0 6,0;0;6,86,1271
5ab56db7554299494045efc6,validation,bridge,hard,256,0,5,2,1,0,0.7674418604651163,False,True,False,3,1,0 3,0;0;3,86,1271
5ab2b863554299295394685a,test,bridge,hard,16,0,96,5,3,56,0.21818181818181817,False,False,True,2,0,56 57 62 63 64,56 57;62 63 64,55,1529
5ab2b863554299295394685a,test,bridge,hard,32,0,48,3,2,28,0.41818181818181815,False,False,True,2,0,28 31 32,28;31 32,55,1529
5ab2b863554299295394685a,test,bridge,hard,64,0,24,3,2,14,0.41818181818181815,False,False,True,2,0,14 15 16,14;15 16,55,1529
5ab2b863554299295394685a,test,bridge,hard,128,0,12,2,1,7,0.7818181818181819,False,True,False,2,1,7 8,7;7 8,55,1529
5ab2b863554299295394685a,test,bridge,hard,256,0,6,2,1,3,0.7818181818181819,False,True,False,2,1,3 4,3;3 4,55,1529
5a710a915542994082a3e504,test,comparison,hard,16,0,72,6,3,26,0.22535211267605634,False,False,True,2,0,25 26 27 48 49 50,25 26 27;48 49 50,71,1152
5a710a915542994082a3e504,test,comparison,hard,32,0,36,4,2,13,0.43661971830985913,False,False,True,2,0,12 13 24 25,12 13;24 25,71,1152
5a710a915542994082a3e504,test,comparison,hard,64,0,18,2,1,6,0.4647887323943662,False,False,True,2,0,6 12,6;12,71,1152
5a710a915542994082a3e504,test,comparison,hard,128,0,9,2,1,3,0.4647887323943662,False,False,True,2,0,3 6,3;6,71,1152
5a710a915542994082a3e504,test,comparison,hard,256,0,5,2,1,1,0.4647887323943662,False,False,True,2,0,1 3,1;3,71,1152
5adc93a4554299438c868e01,test,bridge,hard,16,0,75,8,2,16,0.1839080459770115,False,False,True,2,0,15 16 17 18 19 20 62 63,15 16 17 18 19 20;62 63,87,1197
5adc93a4554299438c868e01,test,bridge,hard,32,0,38,5,1,8,0.367816091954023,False,False,True,2,0,7 8 9 10 31,7 8 9 10;31,87,1197
5adc93a4554299438c868e01,test,bridge,hard,64,0,19,4,1,4,0.735632183908046,False,False,True,2,0,3 4 5 15,3 4 5;15,87,1197
5adc93a4554299438c868e01,test,bridge,hard,128,0,10,3,1,2,0.7471264367816092,False,False,True,2,0,1 2 7,1 2;7,87,1197
5adc93a4554299438c868e01,test,bridge,hard,256,0,5,3,1,1,0.7471264367816092,False,False,True,2,0,0 1 3,0 1;3,87,1197
5ab7f97a5542991d322237ef,validation,bridge,hard,16,0,252,6,3,0,0.24242424242424243,False,False,True,2,0,0 1 2 249 250 251,0 1 2;249 250 251,66,4031
5ab7f97a5542991d322237ef,validation,bridge,hard,32,0,126,4,2,0,0.48484848484848486,False,False,True,2,0,0 1 124 125,0 1;124 125,66,4031
5ab7f97a5542991d322237ef,validation,bridge,hard,64,0,63,2,1,0,0.5,False,False,True,2,0,0 62,0;62,66,4031
5ab7f97a5542991d322237ef,validation,bridge,hard,128,0,32,2,1,0,0.5,False,False,True,2,0,0 31,0;31,66,4031
5ab7f97a5542991d322237ef,validation,bridge,hard,256,0,16,2,1,0,0.5,False,False,True,2,0,0 15,0;15,66,4031
5a8888e35542997e5c09a5f6,test,bridge,hard,16,0,78,6,4,39,0.17857142857142858,False,False,True,2,0,38 39 65 66 67 68,38 39;65 66 67 68,84,1234
5a8888e35542997e5c09a5f6,test,bridge,hard,32,0,39,4,3,19,0.30952380952380953,False,False,True,2,0,19 32 33 34,19;32 33 34,84,1234
5a8888e35542997e5c09a5f6,test,bridge,hard,64,0,20,3,2,9,0.30952380952380953,False,False,True,2,0,9 16 17,9;16 17,84,1234
5a8888e35542997e5c09a5f6,test,bridge,hard,128,0,10,2,1,4,0.30952380952380953,False,False,True,2,0,4 8,4;8,84,1234
5a8888e35542997e5c09a5f6,test,bridge,hard,256,0,5,2,1,2,0.30952380952380953,False,False,True,2,0,2 4,2;4,84,1234
5a8c8502554299585d9e36d0,test,bridge,hard,16,0,109,9,4,70,0.16326530612244897,False,False,True,2,0,69 70 71 72 73 78 79 80 81,69 70 71 72 73;78 79 80 81,98,1739
5a8c8502554299585d9e36d0,test,bridge,hard,32,0,55,5,2,35,0.32653061224489793,False,False,True,2,0,34 35 36 39 40,34 35 36;39 40,98,1739
5a8c8502554299585d9e36d0,test,bridge,hard,64,0,28,4,2,17,0.336734693877551,False,False,True,2,0,17 18 19 20,17 18;19 20,98,1739
5a8c8502554299585d9e36d0,test,bridge,hard,128,0,14,3,2,8,0.336734693877551,False,False,True,2,1,8 9 10,8 9;9 10,98,1739
5a8c8502554299585d9e36d0,test,bridge,hard,256,0,7,2,1,4,0.7244897959183674,False,True,False,2,1,4 5,4;4 5,98,1739
5a84c4bb5542991dd0999dec,validation,bridge,hard,16,0,93,12,8,10,0.09248554913294797,False,False,True,3,1,9 10 11 12 82 83 84 85 86 87 88 89,9 10 11 12;82 83 84 85 86;86 87 88 89,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,32,0,47,7,4,5,0.18497109826589594,False,False,True,3,1,4 5 6 41 42 43 44,4 5 6;41 42 43;43 44,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,64,0,24,5,3,2,0.24277456647398843,False,False,True,3,1,2 3 20 21 22,2 3;20 21;21 22,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,128,0,12,3,2,1,0.31213872832369943,False,False,True,3,1,1 10 11,1;10;10 11,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,256,0,6,2,1,0,0.31213872832369943,False,False,True,3,1,0 5,0;5;5,173,1477
5abbd4035542993f40c73bcb,validation,bridge,hard,16,0,99,12,9,37,0.09876543209876543,False,False,True,4,2,36 37 38 39 40 41 42 43 44 46 47 48,36 37 38 39;39 40 41;41 42 43 44;46 47 48,162,1573
5abbd4035542993f40c73bcb,validation,bridge,hard,32,0,50,7,6,18,0.14814814814814814,False,False,True,4,2,18 19 20 21 22 23 24,18 19;19 20;20 21 22;23 24,162,1573
