example_id,partition,question_type,chunk_size,oracle_parent_count,minimum_recovery_depth,minimum_recovery_depth_numeric,unrecovered_by_h4,diagnostic_K,diagnostic_B
5adc3aff5542996e685252eb,validation,bridge,16,5,unrecovered,5,True,6,none
5adc3aff5542996e685252eb,validation,bridge,32,4,unrecovered,5,True,6,none
5adc3aff5542996e685252eb,validation,bridge,64,3,unrecovered,5,True,6,none
5adc3aff5542996e685252eb,validation,bridge,128,2,2,2,False,6,none
5adc3aff5542996e685252eb,validation,bridge,256,2,1,1,False,6,none
5ab56db7554299494045efc6,validation,bridge,16,7,unrecovered,5,True,6,none
5ab56db7554299494045efc6,validation,bridge,32,4,unrecovered,5,True,6,none
5ab56db7554299494045efc6,validation,bridge,64,3,2,2,False,6,none
5ab56db7554299494045efc6,validation,bridge,128,2,1,1,False,6,none
5ab56db7554299494045efc6,validation,bridge,256,2,1,1,False,6,none
5ab2b863554299295394685a,test,bridge,16,5,unrecovered,5,True,6,none
5ab2b863554299295394685a,test,bridge,32,3,unrecovered,5,True,6,none
5ab2b863554299295394685a,test,bridge,64,3,unrecovered,5,True,6,none
5ab2b863554299295394685a,test,bridge,128,2,1,1,False,6,none
5ab2b863554299295394685a,test,bridge,256,2,1,1,False,6,none
5a710a915542994082a3e504,test,comparison,16,6,unrecovered,5,True,6,none
5a710a915542994082a3e504,test,comparison,32,4,unrecovered,5,True,6,none
5a710a915542994082a3e504,test,comparison,64,2,1,1,False,6,none
5a710a915542994082a3e504,test,comparison,128,2,1,1,False,6,none
5a710a915542994082a3e504,test,comparison,256,2,1,1,False,6,none
5adc93a4554299438c868e01,test,bridge,16,8,unrecovered,5,True,6,none
5adc93a4554299438c868e01,test,bridge,32,5,unrecovered,5,True,6,none
5adc93a4554299438c868e01,test,bridge,64,4,unrecovered,5,True,6,none
5adc93a4554299438c868e01,test,bridge,128,3,unrecovered,5,True,6,none
5adc93a4554299438c868e01,test,bridge,256,3,1,1,False,6,none
5ab7f97a5542991d322237ef,validation,bridge,16,6,unrecovered,5,True,6,none
5ab7f97a5542991d322237ef,validation,bridge,32,4,unrecovered,5,True,6,none
5ab7f97a5542991d322237ef,validation,bridge,64,2,unrecovered,5,True,6,none
5ab7f97a5542991d322237ef,validation,bridge,128,2,unrecovered,5,True,6,none
5ab7f97a5542991d322237ef,validation,bridge,256,2,unrecovered,5,True,6,none
5a8888e35542997e5c09a5f6,test,bridge,16,6,unrecovered,5,True,6,none
5a8888e35542997e5c09a5f6,test,bridge,32,4,unrecovered,5,True,6,none
5a8888e35542997e5c09a5f6,test,bridge,64,3,2,2,False,6,none
5a8888e35542997e5c09a5f6,test,bridge,128,2,1,1,False,6,none
5a8888e35542997e5c09a5f6,test,bridge,256,2,1,1,False,6,none
