window,policy,evidence_condition,n_seeds,accuracy_delta_mean,accuracy_delta_sd,accuracy_delta_ci95,accuracy_exact_sign_p,margin_delta_mean,margin_delta_sd,margin_delta_ci95,margin_exact_sign_p
w16,one_shot,selected,5,0.025,0.03423265984407288,0.04249864703728813,0.5,-0.032485881447792055,0.41125930862775956,0.5105640133656303,1.0
w16,one_shot,oracle,5,0.1125,0.08149003006503311,0.10116701537556595,0.125,0.8890834599733353,0.1516900999150062,0.18831794095763207,0.0625
w16,one_shot,wrong,5,-0.0375,0.07126096406869613,0.08846798856083482,0.625,-0.3868217676877975,0.3939109157148029,0.48902659177963004,0.375
w16,one_shot,shuffle,5,0.0625,0.0625,0.07759155881924269,0.25,0.14137169420719148,0.2626486945997721,0.3260691461733684,0.375
w16,iterative_matched,selected,5,-0.0125,0.08149003006503311,0.10116701537556595,0.625,0.37383295595645905,0.5940279100907899,0.7374648244173014,0.375
w16,iterative_matched,oracle,5,0.15,0.14388580541526672,0.1786291829461244,0.125,1.003471902012825,0.8443839759015955,1.0482731029151144,0.375
w16,iterative_matched,wrong,5,-0.0375,0.08385254915624211,0.10409999999999998,1.0,0.0322135329246521,0.9445749818298022,1.172656724189315,1.0
w16,iterative_matched,shuffle,5,0.0875,0.11353688827865593,0.1409520663204339,0.375,0.5204930573701858,0.8510874759794376,1.0565952632444693,1.0
w32,one_shot,selected,5,0.1125,0.15562374497485915,0.19320142339020172,0.25,0.6189324527978897,1.4809393334423748,1.8385342623763854,1.0
w32,one_shot,oracle,5,0.275,0.19059938352471134,0.2366224524427046,0.0625,2.2894574105739594,1.3588255062712036,1.6869342271188692,0.0625
w32,one_shot,wrong,5,-0.05,0.08149003006503311,0.10116701537556595,0.625,-0.7868851557374,0.6338346143878102,0.7868834522231005,0.375
w32,one_shot,shuffle,5,0.125,0.07654655446197431,0.09502986372714631,0.125,0.5274776071310043,0.8810654471465255,1.0938118634539518,0.375
w32,iterative_matched,selected,5,0.075,0.15562374497485915,0.19320142339020172,1.0,0.371493324637413,1.079958647725403,1.3407307989973665,1.0
w32,iterative_matched,oracle,5,0.225,0.18540496217739158,0.23017376045066473,0.125,2.350490799546242,1.1010894633016224,1.3669639657122592,0.0625
w32,iterative_matched,wrong,5,-0.05,0.08149003006503311,0.10116701537556595,0.625,-0.3747415214776993,0.7598608141450823,0.9433405608828127,1.0
w32,iterative_matched,shuffle,5,0.025,0.12183492931011204,0.15125379334086134,1.0,0.6696268111467362,0.6949151660195402,0.8627128156574232,0.0625
w64,one_shot,selected,5,0.125,0.18221724671391565,0.2262163234605319,0.25,0.7346094012260437,1.5588233957697337,1.935224595226863,0.375
w64,one_shot,oracle,5,0.225,0.14388580541526672,0.1786291829461244,0.0625,2.126465767621994,1.0669725379519777,1.3246089989922805,0.0625
w64,one_shot,wrong,5,-0.025,0.03423265984407288,0.04249864703728813,0.5,-0.4444357335567474,0.7910340085215379,0.9820409888035238,1.0
w64,one_shot,shuffle,5,0.0875,0.15687375497513917,0.19475326698158363,1.0,0.9507371455430984,0.638844731615572,0.7931033371122075,0.0625
w64,iterative_matched,selected,5,0.1125,0.1354967711792425,0.1682144910523466,0.25,1.373538041114807,1.030301770937651,1.2790835273804586,0.375
w64,iterative_matched,oracle,5,0.3,0.128086884574495,0.15901537661496765,0.0625,2.7605306088924406,1.123283343099705,1.3945168893887412,0.0625
w64,iterative_matched,wrong,5,-0.0625,0.04419417382415922,0.05486551740392138,0.125,-0.0991537868976593,0.6229316033305938,0.7733477462430549,1.0
w64,iterative_matched,shuffle,5,0.1,0.12183492931011204,0.15125379334086134,0.375,1.2414309322834014,0.9990402724192646,1.2402734729633857,0.375
w128,one_shot,selected,5,0.0875,0.12960275845829825,0.16089728089685043,0.375,0.5806573539972305,0.5442507984696295,0.675668285470017,0.375
w128,one_shot,oracle,5,0.2,0.1354967711792425,0.1682144910523466,0.0625,1.9313379108905793,0.6611735448451698,0.820823775913299,0.0625
w128,one_shot,wrong,5,-0.0375,0.14388580541526672,0.1786291829461244,1.0,-0.9367409378290177,0.6692915799484588,0.8309020318847155,0.0625
w128,one_shot,shuffle,5,0.1,0.10458250331675945,0.12983551132105575,0.375,0.4713312596082687,0.3301317963293578,0.40984705108786584,0.0625
w128,iterative_matched,selected,5,0.0625,0.11692679333668567,0.14516051460366208,0.375,1.1431878596544265,1.1754190014090673,1.4592414813613945,0.375
w128,iterative_matched,oracle,5,0.3,0.10269797953221865,0.1274959411118644,0.0625,2.965532884001732,0.6982667099340151,0.8668736399258273,0.0625
w128,iterative_matched,wrong,5,-0.1625,0.07126096406869613,0.08846798856083482,0.0625,-0.9135282367467881,0.5868154494309451,0.7285108073689842,0.0625
w128,iterative_matched,shuffle,5,0.0,0.07654655446197431,0.09502986372714631,1.0,0.6630324512720108,0.24817847197085516,0.30810487208954207,0.0625
global,one_shot,selected,5,0.125,0.04419417382415922,0.05486551740392138,0.0625,0.6279604941606521,0.8553796586011392,1.0619238574901444,1.0
global,one_shot,oracle,5,0.275,0.11353688827865593,0.1409520663204339,0.0625,2.0815329909324647,1.2531510227917475,1.5557430607094402,0.0625
global,one_shot,wrong,5,-0.0375,0.09478594305064438,0.11767342520722338,1.0,-0.8772028625011444,0.41000617130765016,0.5090082873163205,0.0625
global,one_shot,shuffle,5,0.0875,0.03423265984407288,0.04249864703728813,0.0625,0.5373181670904159,0.7315295231576194,0.9081682563855519,0.375
global,iterative_matched,selected,5,0.0375,0.07126096406869613,0.08846798856083482,0.625,0.9747242718935013,0.9332195285489231,1.1585593270507153,0.375
global,iterative_matched,oracle,5,0.3125,0.15934435979977452,0.19782043625470042,0.0625,2.918250411748886,1.317408564607859,1.6355165460759165,0.0625
global,iterative_matched,wrong,5,-0.1,0.07126096406869613,0.08846798856083482,0.125,-0.8524023920297623,0.3552331332987479,0.44100948091029885,0.0625
global,iterative_matched,shuffle,5,0.05,0.06846531968814576,0.08499729407457626,0.5,0.8265950053930282,0.5078104979088026,0.6304289298803164,0.0625
