window,depth,n,evidence_span_tokens,max_hop_distance_tokens,span_over_window,hop_over_window
global,1,40,34.625,7.75,0.0,0.0
global,2,25,24.6,8.2,0.0,0.0
global,3,5,22.0,11.0,0.0,0.0
global,4,10,9.0,9.0,0.0,0.0
w128,1,40,34.625,7.75,0.2705078125,0.060546875
w128,2,25,24.6,8.2,0.1921875,0.0640625
w128,3,5,22.0,11.0,0.171875,0.0859375
w128,4,10,9.0,9.0,0.0703125,0.0703125
w16,1,40,34.625,7.75,2.1640625,0.484375
w16,2,25,24.6,8.2,1.5375,0.5125
w16,3,5,22.0,11.0,1.375,0.6875
w16,4,10,9.0,9.0,0.5625,0.5625
w32,1,40,34.625,7.75,1.08203125,0.2421875
w32,2,25,24.6,8.2,0.76875,0.25625
w32,3,5,22.0,11.0,0.6875,0.34375
w32,4,10,9.0,9.0,0.28125,0.28125
w64,1,40,34.625,7.75,0.541015625,0.12109375
w64,2,25,24.6,8.2,0.384375,0.128125
w64,3,5,22.0,11.0,0.34375,0.171875
w64,4,10,9.0,9.0,0.140625,0.140625
