window,condition,correct_mean,correct_sd,correct_ci95,complete_path_recovery_mean,complete_path_recovery_sd,complete_path_recovery_ci95,reference_recall_mean,reference_recall_sd,reference_recall_ci95,layer_token_kv_states_mean,layer_token_kv_states_sd,layer_token_kv_states_ci95
w16,one_shot,0.1391304347826087,0.036376522892785895,0.045160177850802,0.14782608695652172,0.09015844066664226,0.1119285432325916,0.3615942028985507,0.07844014624376423,0.09738069153700851,20.0,0.0,0.0
w16,iterative_matched,0.17391304347826086,0.043478260869565216,0.05397673656990796,0.2347826086956522,0.10009447333235948,0.12426377944078225,0.4304347826086957,0.1036700512255541,0.12870273403938373,20.0,0.0,0.0
w32,one_shot,0.17391304347826086,0.05324977701702561,0.06610773128844961,0.15652173913043477,0.023814024239355046,0.02956427619985261,0.372463768115942,0.020718809355791026,0.025721675436712565,20.0,0.0,0.0
w32,iterative_matched,0.2,0.058332208108690164,0.07241739130434781,0.21739130434782608,0.06874516652539955,0.08534471411190676,0.4050724637681159,0.08463848768724319,0.10507571513210366,20.0,0.0,0.0
w64,one_shot,0.1826086956521739,0.08363210461596238,0.10382632583178404,0.2260869565217391,0.10380292509837671,0.12886769229408224,0.4043478260869565,0.07515823816818262,0.09330631772123509,20.0,0.0,0.0
w64,iterative_matched,0.17391304347826086,0.08695652173913045,0.10795347313981593,0.20869565217391303,0.04762804847871009,0.05912855239970522,0.4449275362318841,0.06862093104959917,0.08519048012425874,20.0,0.0,0.0
w128,one_shot,0.19130434782608696,0.13259087549545137,0.1646069234384032,0.25217391304347825,0.07144207271806516,0.08869282859955786,0.436231884057971,0.05468494476732146,0.06788944173505058,20.0,0.0,0.0
w128,iterative_matched,0.21739130434782608,0.11084825029549533,0.137614216525009,0.29565217391304344,0.09425862342903826,0.11701877638424113,0.49782608695652175,0.09747656292289268,0.12101373544846783,20.0,0.0,0.0
global,one_shot,0.19130434782608696,0.10009447333235946,0.12426377944078222,0.2608695652173913,0.05324977701702562,0.06610773128844963,0.4514492753623188,0.05241740685175874,0.0650743729102466,20.0,0.0,0.0
global,iterative_matched,0.1826086956521739,0.09914568913905548,0.12308589712811799,0.2782608695652174,0.07898218315036935,0.09805361135334532,0.4869565217391304,0.0945714640615487,0.11740715706165684,20.0,0.0,0.0
