depth,evidence_span_tokens,example_id,hop_over_window,max_hop_distance_tokens,query_pooling,query_token_count,seed,span_over_window,window,query_state_layer,fact_token_count,W
1,22,chain-100004-d1,0.6875,11,final query token,5,17,1.375,w16,pre-consumer-layer final-token state,5,w16
3,22,chain-204733-d3,0.6875,11,final query token,7,17,1.375,w16,pre-consumer-layer final-token state,5,w16
4,7,chain-309462-d4,0.4375,7,final query token,8,17,0.4375,w16,pre-consumer-layer final-token state,5,w16
2,22,chain-414191-d2,0.6875,11,final query token,6,17,1.375,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-518920-d1,0.3125,5,final query token,5,17,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,33,chain-623649-d1,0.6875,11,final query token,5,17,2.0625,w16,pre-consumer-layer final-token state,5,w16
2,14,chain-728378-d2,0.4375,7,final query token,6,17,0.875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-833107-d1,0.4375,7,final query token,5,17,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,20,chain-937836-d1,0.3125,5,final query token,5,17,1.25,w16,pre-consumer-layer final-token state,5,w16
1,42,chain-1042565-d1,0.4375,7,final query token,5,17,2.625,w16,pre-consumer-layer final-token state,5,w16
2,28,chain-1147294-d2,0.4375,7,final query token,6,17,1.75,w16,pre-consumer-layer final-token state,5,w16
4,11,chain-1252023-d4,0.6875,11,final query token,8,17,0.6875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-1356752-d1,0.3125,5,final query token,5,17,2.1875,w16,pre-consumer-layer final-token state,5,w16
2,44,chain-1461481-d2,0.6875,11,final query token,6,17,2.75,w16,pre-consumer-layer final-token state,5,w16
2,15,chain-1566210-d2,0.3125,5,final query token,6,17,0.9375,w16,pre-consumer-layer final-token state,5,w16
1,55,chain-1670939-d1,0.6875,11,final query token,5,17,3.4375,w16,pre-consumer-layer final-token state,5,w16
1,22,chain-100004-d1,0.6875,11,final query token,5,29,1.375,w16,pre-consumer-layer final-token state,5,w16
3,22,chain-204733-d3,0.6875,11,final query token,7,29,1.375,w16,pre-consumer-layer final-token state,5,w16
4,7,chain-309462-d4,0.4375,7,final query token,8,29,0.4375,w16,pre-consumer-layer final-token state,5,w16
2,22,chain-414191-d2,0.6875,11,final query token,6,29,1.375,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-518920-d1,0.3125,5,final query token,5,29,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,33,chain-623649-d1,0.6875,11,final query token,5,29,2.0625,w16,pre-consumer-layer final-token state,5,w16
2,14,chain-728378-d2,0.4375,7,final query token,6,29,0.875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-833107-d1,0.4375,7,final query token,5,29,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,20,chain-937836-d1,0.3125,5,final query token,5,29,1.25,w16,pre-consumer-layer final-token state,5,w16
1,42,chain-1042565-d1,0.4375,7,final query token,5,29,2.625,w16,pre-consumer-layer final-token state,5,w16
2,28,chain-1147294-d2,0.4375,7,final query token,6,29,1.75,w16,pre-consumer-layer final-token state,5,w16
4,11,chain-1252023-d4,0.6875,11,final query token,8,29,0.6875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-1356752-d1,0.3125,5,final query token,5,29,2.1875,w16,pre-consumer-layer final-token state,5,w16
2,44,chain-1461481-d2,0.6875,11,final query token,6,29,2.75,w16,pre-consumer-layer final-token state,5,w16
2,15,chain-1566210-d2,0.3125,5,final query token,6,29,0.9375,w16,pre-consumer-layer final-token state,5,w16
1,55,chain-1670939-d1,0.6875,11,final query token,5,29,3.4375,w16,pre-consumer-layer final-token state,5,w16
1,22,chain-100004-d1,0.6875,11,final query token,5,41,1.375,w16,pre-consumer-layer final-token state,5,w16
3,22,chain-204733-d3,0.6875,11,final query token,7,41,1.375,w16,pre-consumer-layer final-token state,5,w16
4,7,chain-309462-d4,0.4375,7,final query token,8,41,0.4375,w16,pre-consumer-layer final-token state,5,w16
2,22,chain-414191-d2,0.6875,11,final query token,6,41,1.375,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-518920-d1,0.3125,5,final query token,5,41,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,33,chain-623649-d1,0.6875,11,final query token,5,41,2.0625,w16,pre-consumer-layer final-token state,5,w16
2,14,chain-728378-d2,0.4375,7,final query token,6,41,0.875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-833107-d1,0.4375,7,final query token,5,41,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,20,chain-937836-d1,0.3125,5,final query token,5,41,1.25,w16,pre-consumer-layer final-token state,5,w16
1,42,chain-1042565-d1,0.4375,7,final query token,5,41,2.625,w16,pre-consumer-layer final-token state,5,w16
2,28,chain-1147294-d2,0.4375,7,final query token,6,41,1.75,w16,pre-consumer-layer final-token state,5,w16
4,11,chain-1252023-d4,0.6875,11,final query token,8,41,0.6875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-1356752-d1,0.3125,5,final query token,5,41,2.1875,w16,pre-consumer-layer final-token state,5,w16
2,44,chain-1461481-d2,0.6875,11,final query token,6,41,2.75,w16,pre-consumer-layer final-token state,5,w16
2,15,chain-1566210-d2,0.3125,5,final query token,6,41,0.9375,w16,pre-consumer-layer final-token state,5,w16
1,55,chain-1670939-d1,0.6875,11,final query token,5,41,3.4375,w16,pre-consumer-layer final-token state,5,w16
1,22,chain-100004-d1,0.6875,11,final query token,5,53,1.375,w16,pre-consumer-layer final-token state,5,w16
3,22,chain-204733-d3,0.6875,11,final query token,7,53,1.375,w16,pre-consumer-layer final-token state,5,w16
4,7,chain-309462-d4,0.4375,7,final query token,8,53,0.4375,w16,pre-consumer-layer final-token state,5,w16
2,22,chain-414191-d2,0.6875,11,final query token,6,53,1.375,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-518920-d1,0.3125,5,final query token,5,53,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,33,chain-623649-d1,0.6875,11,final query token,5,53,2.0625,w16,pre-consumer-layer final-token state,5,w16
2,14,chain-728378-d2,0.4375,7,final query token,6,53,0.875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-833107-d1,0.4375,7,final query token,5,53,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,20,chain-937836-d1,0.3125,5,final query token,5,53,1.25,w16,pre-consumer-layer final-token state,5,w16
1,42,chain-1042565-d1,0.4375,7,final query token,5,53,2.625,w16,pre-consumer-layer final-token state,5,w16
2,28,chain-1147294-d2,0.4375,7,final query token,6,53,1.75,w16,pre-consumer-layer final-token state,5,w16
4,11,chain-1252023-d4,0.6875,11,final query token,8,53,0.6875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-1356752-d1,0.3125,5,final query token,5,53,2.1875,w16,pre-consumer-layer final-token state,5,w16
2,44,chain-1461481-d2,0.6875,11,final query token,6,53,2.75,w16,pre-consumer-layer final-token state,5,w16
2,15,chain-1566210-d2,0.3125,5,final query token,6,53,0.9375,w16,pre-consumer-layer final-token state,5,w16
1,55,chain-1670939-d1,0.6875,11,final query token,5,53,3.4375,w16,pre-consumer-layer final-token state,5,w16
1,22,chain-100004-d1,0.6875,11,final query token,5,67,1.375,w16,pre-consumer-layer final-token state,5,w16
3,22,chain-204733-d3,0.6875,11,final query token,7,67,1.375,w16,pre-consumer-layer final-token state,5,w16
4,7,chain-309462-d4,0.4375,7,final query token,8,67,0.4375,w16,pre-consumer-layer final-token state,5,w16
2,22,chain-414191-d2,0.6875,11,final query token,6,67,1.375,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-518920-d1,0.3125,5,final query token,5,67,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,33,chain-623649-d1,0.6875,11,final query token,5,67,2.0625,w16,pre-consumer-layer final-token state,5,w16
2,14,chain-728378-d2,0.4375,7,final query token,6,67,0.875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-833107-d1,0.4375,7,final query token,5,67,2.1875,w16,pre-consumer-layer final-token state,5,w16
1,20,chain-937836-d1,0.3125,5,final query token,5,67,1.25,w16,pre-consumer-layer final-token state,5,w16
1,42,chain-1042565-d1,0.4375,7,final query token,5,67,2.625,w16,pre-consumer-layer final-token state,5,w16
2,28,chain-1147294-d2,0.4375,7,final query token,6,67,1.75,w16,pre-consumer-layer final-token state,5,w16
4,11,chain-1252023-d4,0.6875,11,final query token,8,67,0.6875,w16,pre-consumer-layer final-token state,5,w16
1,35,chain-1356752-d1,0.3125,5,final query token,5,67,2.1875,w16,pre-consumer-layer final-token state,5,w16
2,44,chain-1461481-d2,0.6875,11,final query token,6,67,2.75,w16,pre-consumer-layer final-token state,5,w16
2,15,chain-1566210-d2,0.3125,5,final query token,6,67,0.9375,w16,pre-consumer-layer final-token state,5,w16
1,55,chain-1670939-d1,0.6875,11,final query token,5,67,3.4375,w16,pre-consumer-layer final-token state,5,w16
1,22,chain-100004-d1,0.34375,11,final query token,5,17,0.6875,w32,pre-consumer-layer final-token state,5,w32
3,22,chain-204733-d3,0.34375,11,final query token,7,17,0.6875,w32,pre-consumer-layer final-token state,5,w32
4,7,chain-309462-d4,0.21875,7,final query token,8,17,0.21875,w32,pre-consumer-layer final-token state,5,w32
2,22,chain-414191-d2,0.34375,11,final query token,6,17,0.6875,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-518920-d1,0.15625,5,final query token,5,17,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,33,chain-623649-d1,0.34375,11,final query token,5,17,1.03125,w32,pre-consumer-layer final-token state,5,w32
2,14,chain-728378-d2,0.21875,7,final query token,6,17,0.4375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-833107-d1,0.21875,7,final query token,5,17,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,20,chain-937836-d1,0.15625,5,final query token,5,17,0.625,w32,pre-consumer-layer final-token state,5,w32
1,42,chain-1042565-d1,0.21875,7,final query token,5,17,1.3125,w32,pre-consumer-layer final-token state,5,w32
2,28,chain-1147294-d2,0.21875,7,final query token,6,17,0.875,w32,pre-consumer-layer final-token state,5,w32
4,11,chain-1252023-d4,0.34375,11,final query token,8,17,0.34375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-1356752-d1,0.15625,5,final query token,5,17,1.09375,w32,pre-consumer-layer final-token state,5,w32
2,44,chain-1461481-d2,0.34375,11,final query token,6,17,1.375,w32,pre-consumer-layer final-token state,5,w32
2,15,chain-1566210-d2,0.15625,5,final query token,6,17,0.46875,w32,pre-consumer-layer final-token state,5,w32
1,55,chain-1670939-d1,0.34375,11,final query token,5,17,1.71875,w32,pre-consumer-layer final-token state,5,w32
1,22,chain-100004-d1,0.34375,11,final query token,5,29,0.6875,w32,pre-consumer-layer final-token state,5,w32
3,22,chain-204733-d3,0.34375,11,final query token,7,29,0.6875,w32,pre-consumer-layer final-token state,5,w32
4,7,chain-309462-d4,0.21875,7,final query token,8,29,0.21875,w32,pre-consumer-layer final-token state,5,w32
2,22,chain-414191-d2,0.34375,11,final query token,6,29,0.6875,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-518920-d1,0.15625,5,final query token,5,29,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,33,chain-623649-d1,0.34375,11,final query token,5,29,1.03125,w32,pre-consumer-layer final-token state,5,w32
2,14,chain-728378-d2,0.21875,7,final query token,6,29,0.4375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-833107-d1,0.21875,7,final query token,5,29,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,20,chain-937836-d1,0.15625,5,final query token,5,29,0.625,w32,pre-consumer-layer final-token state,5,w32
1,42,chain-1042565-d1,0.21875,7,final query token,5,29,1.3125,w32,pre-consumer-layer final-token state,5,w32
2,28,chain-1147294-d2,0.21875,7,final query token,6,29,0.875,w32,pre-consumer-layer final-token state,5,w32
4,11,chain-1252023-d4,0.34375,11,final query token,8,29,0.34375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-1356752-d1,0.15625,5,final query token,5,29,1.09375,w32,pre-consumer-layer final-token state,5,w32
2,44,chain-1461481-d2,0.34375,11,final query token,6,29,1.375,w32,pre-consumer-layer final-token state,5,w32
2,15,chain-1566210-d2,0.15625,5,final query token,6,29,0.46875,w32,pre-consumer-layer final-token state,5,w32
1,55,chain-1670939-d1,0.34375,11,final query token,5,29,1.71875,w32,pre-consumer-layer final-token state,5,w32
1,22,chain-100004-d1,0.34375,11,final query token,5,41,0.6875,w32,pre-consumer-layer final-token state,5,w32
3,22,chain-204733-d3,0.34375,11,final query token,7,41,0.6875,w32,pre-consumer-layer final-token state,5,w32
4,7,chain-309462-d4,0.21875,7,final query token,8,41,0.21875,w32,pre-consumer-layer final-token state,5,w32
2,22,chain-414191-d2,0.34375,11,final query token,6,41,0.6875,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-518920-d1,0.15625,5,final query token,5,41,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,33,chain-623649-d1,0.34375,11,final query token,5,41,1.03125,w32,pre-consumer-layer final-token state,5,w32
2,14,chain-728378-d2,0.21875,7,final query token,6,41,0.4375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-833107-d1,0.21875,7,final query token,5,41,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,20,chain-937836-d1,0.15625,5,final query token,5,41,0.625,w32,pre-consumer-layer final-token state,5,w32
1,42,chain-1042565-d1,0.21875,7,final query token,5,41,1.3125,w32,pre-consumer-layer final-token state,5,w32
2,28,chain-1147294-d2,0.21875,7,final query token,6,41,0.875,w32,pre-consumer-layer final-token state,5,w32
4,11,chain-1252023-d4,0.34375,11,final query token,8,41,0.34375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-1356752-d1,0.15625,5,final query token,5,41,1.09375,w32,pre-consumer-layer final-token state,5,w32
2,44,chain-1461481-d2,0.34375,11,final query token,6,41,1.375,w32,pre-consumer-layer final-token state,5,w32
2,15,chain-1566210-d2,0.15625,5,final query token,6,41,0.46875,w32,pre-consumer-layer final-token state,5,w32
1,55,chain-1670939-d1,0.34375,11,final query token,5,41,1.71875,w32,pre-consumer-layer final-token state,5,w32
1,22,chain-100004-d1,0.34375,11,final query token,5,53,0.6875,w32,pre-consumer-layer final-token state,5,w32
3,22,chain-204733-d3,0.34375,11,final query token,7,53,0.6875,w32,pre-consumer-layer final-token state,5,w32
4,7,chain-309462-d4,0.21875,7,final query token,8,53,0.21875,w32,pre-consumer-layer final-token state,5,w32
2,22,chain-414191-d2,0.34375,11,final query token,6,53,0.6875,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-518920-d1,0.15625,5,final query token,5,53,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,33,chain-623649-d1,0.34375,11,final query token,5,53,1.03125,w32,pre-consumer-layer final-token state,5,w32
2,14,chain-728378-d2,0.21875,7,final query token,6,53,0.4375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-833107-d1,0.21875,7,final query token,5,53,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,20,chain-937836-d1,0.15625,5,final query token,5,53,0.625,w32,pre-consumer-layer final-token state,5,w32
1,42,chain-1042565-d1,0.21875,7,final query token,5,53,1.3125,w32,pre-consumer-layer final-token state,5,w32
2,28,chain-1147294-d2,0.21875,7,final query token,6,53,0.875,w32,pre-consumer-layer final-token state,5,w32
4,11,chain-1252023-d4,0.34375,11,final query token,8,53,0.34375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-1356752-d1,0.15625,5,final query token,5,53,1.09375,w32,pre-consumer-layer final-token state,5,w32
2,44,chain-1461481-d2,0.34375,11,final query token,6,53,1.375,w32,pre-consumer-layer final-token state,5,w32
2,15,chain-1566210-d2,0.15625,5,final query token,6,53,0.46875,w32,pre-consumer-layer final-token state,5,w32
1,55,chain-1670939-d1,0.34375,11,final query token,5,53,1.71875,w32,pre-consumer-layer final-token state,5,w32
1,22,chain-100004-d1,0.34375,11,final query token,5,67,0.6875,w32,pre-consumer-layer final-token state,5,w32
3,22,chain-204733-d3,0.34375,11,final query token,7,67,0.6875,w32,pre-consumer-layer final-token state,5,w32
4,7,chain-309462-d4,0.21875,7,final query token,8,67,0.21875,w32,pre-consumer-layer final-token state,5,w32
2,22,chain-414191-d2,0.34375,11,final query token,6,67,0.6875,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-518920-d1,0.15625,5,final query token,5,67,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,33,chain-623649-d1,0.34375,11,final query token,5,67,1.03125,w32,pre-consumer-layer final-token state,5,w32
2,14,chain-728378-d2,0.21875,7,final query token,6,67,0.4375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-833107-d1,0.21875,7,final query token,5,67,1.09375,w32,pre-consumer-layer final-token state,5,w32
1,20,chain-937836-d1,0.15625,5,final query token,5,67,0.625,w32,pre-consumer-layer final-token state,5,w32
1,42,chain-1042565-d1,0.21875,7,final query token,5,67,1.3125,w32,pre-consumer-layer final-token state,5,w32
2,28,chain-1147294-d2,0.21875,7,final query token,6,67,0.875,w32,pre-consumer-layer final-token state,5,w32
4,11,chain-1252023-d4,0.34375,11,final query token,8,67,0.34375,w32,pre-consumer-layer final-token state,5,w32
1,35,chain-1356752-d1,0.15625,5,final query token,5,67,1.09375,w32,pre-consumer-layer final-token state,5,w32
2,44,chain-1461481-d2,0.34375,11,final query token,6,67,1.375,w32,pre-consumer-layer final-token state,5,w32
2,15,chain-1566210-d2,0.15625,5,final query token,6,67,0.46875,w32,pre-consumer-layer final-token state,5,w32
1,55,chain-1670939-d1,0.34375,11,final query token,5,67,1.71875,w32,pre-consumer-layer final-token state,5,w32
1,22,chain-100004-d1,0.171875,11,final query token,5,17,0.34375,w64,pre-consumer-layer final-token state,5,w64
3,22,chain-204733-d3,0.171875,11,final query token,7,17,0.34375,w64,pre-consumer-layer final-token state,5,w64
4,7,chain-309462-d4,0.109375,7,final query token,8,17,0.109375,w64,pre-consumer-layer final-token state,5,w64
2,22,chain-414191-d2,0.171875,11,final query token,6,17,0.34375,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-518920-d1,0.078125,5,final query token,5,17,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,33,chain-623649-d1,0.171875,11,final query token,5,17,0.515625,w64,pre-consumer-layer final-token state,5,w64
2,14,chain-728378-d2,0.109375,7,final query token,6,17,0.21875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-833107-d1,0.109375,7,final query token,5,17,0.546875,w64,pre-consumer-layer final-token state,5,w64
