window,stratum,examples,one_shot_accuracy,iterative_accuracy,iterative_minus_one_shot_accuracy
w16,neither,76,0.14473684210526316,0.15789473684210525,0.013157894736842105
w16,one_shot_only,12,0.08333333333333333,0.08333333333333333,0.0
w16,iterative_only,22,0.09090909090909091,0.2727272727272727,0.18181818181818182
w16,both,5,0.4,0.2,-0.2
w32,neither,83,0.13253012048192772,0.1927710843373494,0.060240963855421686
w32,one_shot_only,7,0.2857142857142857,0.14285714285714285,-0.14285714285714285
w32,iterative_only,14,0.14285714285714285,0.14285714285714285,0.0
w32,both,11,0.45454545454545453,0.36363636363636365,-0.09090909090909091
w64,neither,79,0.08860759493670886,0.1518987341772152,0.06329113924050633
w64,one_shot_only,12,0.75,0.3333333333333333,-0.4166666666666667
w64,iterative_only,10,0.0,0.1,0.1
w64,both,14,0.35714285714285715,0.21428571428571427,-0.14285714285714285
w128,neither,74,0.14864864864864866,0.1891891891891892,0.04054054054054054
w128,one_shot_only,7,0.42857142857142855,0.14285714285714285,-0.2857142857142857
w128,iterative_only,12,0.0,0.25,0.25
w128,both,22,0.36363636363636365,0.3181818181818182,-0.045454545454545456
global,neither,73,0.136986301369863,0.1506849315068493,0.0136986301369863
global,one_shot_only,10,0.5,0.3,-0.2
global,iterative_only,12,0.08333333333333333,0.25,0.16666666666666666
global,both,20,0.3,0.2,-0.1
