window,seed,example_id,depth,one_shot_path_recovery,iterative_path_recovery,path_gain,one_shot_correct,iterative_correct,answer_gain,one_shot_margin,iterative_margin,margin_gain,oracle_margin_gain
global,17,chain-100004-d1,1,1,0,-1.0,0,0,0.0,-4.059637546539307,-5.671778678894043,-1.6121411323547363,3.714627742767334
global,17,chain-1042565-d1,1,1,1,0.0,1,1,0.0,5.234559059143066,4.650856971740723,-0.5837020874023438,2.191500663757324
global,17,chain-1147294-d2,2,1,1,0.0,0,0,0.0,-3.7003884315490723,-4.034494400024414,-0.3341059684753418,3.665684223175049
global,17,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-6.339420318603516,-6.769225597381592,-0.42980527877807617,1.8342738151550293
global,17,chain-1356752-d1,1,1,0,-1.0,0,0,0.0,-7.740211009979248,-6.060482978820801,1.6797280311584473,2.783029079437256
global,17,chain-1461481-d2,2,0,0,0.0,1,1,0.0,0.4138326644897461,3.459038257598877,3.045205593109131,0.11559176445007324
global,17,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-6.563631534576416,-1.6313624382019043,4.932269096374512,5.677732944488525
global,17,chain-1670939-d1,1,1,1,0.0,0,1,1.0,-2.0248045921325684,3.0006532669067383,5.025457859039307,-3.6857075691223145
global,17,chain-204733-d3,3,0,0,0.0,0,0,0.0,-4.62028694152832,-2.5608091354370117,2.0594778060913086,-0.014923572540283203
global,17,chain-309462-d4,4,0,0,0.0,0,0,0.0,-4.684732437133789,-8.20535659790039,-3.5206241607666016,3.163717269897461
global,17,chain-414191-d2,2,0,0,0.0,0,0,0.0,-0.17387676239013672,-7.205726623535156,-7.0318498611450195,4.791839599609375
global,17,chain-518920-d1,1,0,1,1.0,0,1,1.0,-6.999802589416504,2.68479061126709,9.684593200683594,-3.968419075012207
global,17,chain-623649-d1,1,1,1,0.0,0,0,0.0,-7.628534317016602,-7.43323278427124,0.19530153274536133,0.6261434555053711
global,17,chain-728378-d2,2,0,0,0.0,0,0,0.0,-6.086691379547119,-1.288343906402588,4.798347473144531,0.48352813720703125
global,17,chain-833107-d1,1,1,0,-1.0,1,0,-1.0,4.981691360473633,-3.5538790225982666,-8.5355703830719,7.104381322860718
global,17,chain-937836-d1,1,0,0,0.0,0,0,0.0,-7.044456958770752,-6.388736724853516,0.6557202339172363,4.392400741577148
global,29,chain-100004-d1,1,1,1,0.0,1,0,-1.0,1.972764492034912,-1.0402717590332031,-3.0130362510681152,3.482102394104004
global,29,chain-1042565-d1,1,1,1,0.0,0,0,0.0,-8.244056701660156,-5.090981483459473,3.1530752182006836,-3.0428266525268555
global,29,chain-1147294-d2,2,1,1,0.0,0,0,0.0,-4.480992317199707,-2.420875310897827,2.06011700630188,6.778911828994751
global,29,chain-1252023-d4,4,0,0,0.0,1,0,-1.0,1.9172353744506836,-1.1402788162231445,-3.057514190673828,3.127964496612549
global,29,chain-1356752-d1,1,0,1,1.0,0,0,0.0,-3.843611240386963,-4.009332656860352,-0.16572141647338867,-0.5313849449157715
global,29,chain-1461481-d2,2,0,0,0.0,1,0,-1.0,4.803115367889404,-0.5399169921875,-5.343032360076904,-0.5678238868713379
global,29,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-4.985776901245117,-4.571459770202637,0.41431713104248047,8.291399478912354
global,29,chain-1670939-d1,1,1,1,0.0,0,0,0.0,-2.8350143432617188,-0.9768514633178711,1.8581628799438477,0.11301803588867188
global,29,chain-204733-d3,3,1,0,-1.0,0,0,0.0,-4.211875915527344,-1.4604535102844238,2.75142240524292,0.5701231956481934
global,29,chain-309462-d4,4,0,0,0.0,1,0,-1.0,3.1347289085388184,-0.6154356002807617,-3.75016450881958,-0.613490104675293
global,29,chain-414191-d2,2,0,0,0.0,0,1,1.0,-5.7162346839904785,0.23644590377807617,5.952680587768555,0.23446226119995117
global,29,chain-518920-d1,1,1,1,0.0,1,1,0.0,4.988419532775879,0.3542327880859375,-4.634186744689941,4.382723331451416
global,29,chain-623649-d1,1,1,1,0.0,1,1,0.0,3.1676278114318848,0.6829242706298828,-2.484703540802002,0.0
global,29,chain-728378-d2,2,1,0,-1.0,0,1,1.0,-5.433797836303711,0.697178840637207,6.130976676940918,2.0085315704345703
global,29,chain-833107-d1,1,0,1,1.0,0,0,0.0,-3.2018163204193115,-3.212341785430908,-0.01052546501159668,-1.1949701309204102
global,29,chain-937836-d1,1,1,1,0.0,0,0,0.0,-3.0695905685424805,-4.028083801269531,-0.9584932327270508,1.177271842956543
global,41,chain-100004-d1,1,1,1,0.0,0,0,0.0,-0.7429647445678711,-4.544088840484619,-3.801124095916748,1.862011432647705
global,41,chain-1042565-d1,1,1,1,0.0,0,0,0.0,-6.230894565582275,-1.0466599464416504,5.184234619140625,-0.2668724060058594
global,41,chain-1147294-d2,2,0,0,0.0,0,0,0.0,-6.661483287811279,-2.5414772033691406,4.120006084442139,1.547499179840088
global,41,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-4.613936424255371,-7.535173416137695,-2.921236991882324,2.488084316253662
global,41,chain-1356752-d1,1,1,1,0.0,0,0,0.0,-5.222161293029785,-1.4094281196594238,3.8127331733703613,-1.5905208587646484
global,41,chain-1461481-d2,2,0,1,1.0,1,1,0.0,3.4125633239746094,0.1286301612854004,-3.283933162689209,1.3362369537353516
global,41,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-4.711580276489258,-1.980635643005371,2.7309446334838867,-1.2951860427856445
global,41,chain-1670939-d1,1,1,0,-1.0,0,0,0.0,-4.243256092071533,-3.6908135414123535,0.5524425506591797,0.9228255748748779
global,41,chain-204733-d3,3,0,0,0.0,0,0,0.0,-3.049755334854126,-3.6533005237579346,-0.6035451889038086,3.6582753658294678
global,41,chain-309462-d4,4,0,0,0.0,1,0,-1.0,1.0777654647827148,-1.3519620895385742,-2.429727554321289,3.7943496704101562
global,41,chain-414191-d2,2,0,0,0.0,0,0,0.0,-3.227792263031006,-5.539333820343018,-2.3115415573120117,7.65807580947876
global,41,chain-518920-d1,1,1,1,0.0,1,0,-1.0,0.6719722747802734,-1.904355525970459,-2.5763278007507324,-2.4204349517822266
global,41,chain-623649-d1,1,1,1,0.0,0,0,0.0,-5.063543319702148,-4.781679153442383,0.2818641662597656,0.21170902252197266
global,41,chain-728378-d2,2,1,0,-1.0,1,1,0.0,4.565910339355469,3.6733016967773438,-0.892608642578125,-0.659550666809082
global,41,chain-833107-d1,1,0,0,0.0,0,0,0.0,-9.051844596862793,-7.572125434875488,1.4797191619873047,3.2136406898498535
global,41,chain-937836-d1,1,0,1,1.0,0,0,0.0,-7.738784313201904,-1.4923763275146484,6.246407985687256,-2.8136777877807617
global,53,chain-100004-d1,1,0,1,1.0,0,0,0.0,-2.7320799827575684,-0.8967256546020508,1.8353543281555176,0.575655460357666
global,53,chain-1042565-d1,1,1,1,0.0,1,0,-1.0,1.6056442260742188,-0.8761930465698242,-2.481837272644043,4.445855140686035
global,53,chain-1147294-d2,2,0,0,0.0,0,1,1.0,-6.463325023651123,0.38365983963012695,6.84698486328125,0.5573720932006836
global,53,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-6.286826133728027,-1.7007689476013184,4.586057186126709,1.8384695053100586
global,53,chain-1356752-d1,1,0,1,1.0,1,0,-1.0,0.15789031982421875,-0.9245309829711914,-1.0824213027954102,0.25549745559692383
global,53,chain-1461481-d2,2,1,0,-1.0,0,0,0.0,-0.025819778442382812,-1.891927719116211,-1.8661079406738281,1.0097851753234863
global,53,chain-1566210-d2,2,1,0,-1.0,1,1,0.0,0.9794216156005859,3.1659088134765625,2.1864871978759766,0.4319620132446289
global,53,chain-1670939-d1,1,1,1,0.0,1,1,0.0,4.97187614440918,3.924607515335083,-1.0472686290740967,-1.6669938564300537
global,53,chain-204733-d3,3,0,0,0.0,0,0,0.0,-4.601936340332031,-4.1886210441589355,0.4133152961730957,3.0999374389648438
global,53,chain-309462-d4,4,0,0,0.0,0,0,0.0,-7.491814613342285,-6.154682159423828,1.337132453918457,4.08568811416626
global,53,chain-414191-d2,2,1,0,-1.0,0,0,0.0,-5.43768310546875,-3.2042665481567383,2.2334165573120117,5.714593887329102
global,53,chain-518920-d1,1,1,1,0.0,0,0,0.0,-1.1084632873535156,-1.4251041412353516,-0.31664085388183594,3.5546464920043945
