dataset,chunk_size,logical_tokens,selected_tokens,selected_source_fraction,conceptual_active_parents,materialized_kv_tokens,materialized_kv_bytes,materialization_performed,counterfactual_native_kv_tokens,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,routing_score_cache_bytes,h2d_bytes,h2d_seconds,adjacency_index_seconds,search_latency_seconds,ttft_tpot_concurrency_measured
hotpotqa,16,1421.7142857142858,95.14285714285714,0.06858053943242823,5.946428571428571,0,0,0,95.14285714285714,53413156.571428575,72501540.57142857,32596.0,8779285.714285715,0.003328742858554636,0.21364982857734763,0.0020884857138818397,0
hotpotqa,32,1421.7142857142858,181.14285714285714,0.13114484057171258,5.660714285714286,0,0,0,181.14285714285714,86933723.42857143,102161261.71428572,8228.57142857143,8821067.42857143,0.0029582714362602147,0.14649205715561817,0.0018765571419083113,0
hotpotqa,64,1421.7142857142858,350.51785714285717,0.25275555123250126,5.482142857142857,0,0,0,350.51785714285717,86692790.85714285,103659227.42857143,2112.5714285714284,8821067.42857143,0.003596271404863468,0.14685239999588312,0.0018673571404568584,0
hotpotqa,128,1421.7142857142858,666.9285714285714,0.4757286738178642,5.25,0,0,0,666.9285714285714,86592365.71428572,101562075.42857143,533.7142857142857,8821067.42857143,0.0027688000035206123,0.14678568570109615,0.0017195071424274439,0
hotpotqa,256,1421.7142857142858,1147.642857142857,0.8118252895809901,4.678571428571429,0,0,0,1147.642857142857,86543213.71428572,103659227.42857143,140.0,8821067.42857143,0.003338428571753736,0.1467389571480453,0.001310508931055665,0
musique,16,2600.1666666666665,104.71111111111111,0.04118104014137895,6.544444444444444,0,0,0,104.71111111111111,89881230.22222222,109983971.55555555,121231.55555555556,16874177.333333332,0.006173872228828259,0.7458091666582428,0.00214701944464145,0
musique,32,2600.1666666666665,218.13333333333335,0.08533591507256826,6.816666666666667,0,0,0,218.13333333333335,152243484.44444445,176976327.1111111,30386.11111111111,16895340.666666668,0.008813786116661504,0.5540263722246487,0.002249512220926893,0
musique,64,2600.1666666666665,448.65555555555557,0.17591044129306682,7.011111111111111,0,0,0,448.65555555555557,152144113.7777778,175869496.8888889,7669.555555555556,16895340.666666668,0.00623049444564256,0.5164605444426544,0.0022829805539610485,0
musique,128,2600.1666666666665,882.2555555555555,0.34492661244744266,6.927777777777777,0,0,0,882.2555555555555,152109781.33333334,175519971.55555555,1953.7777777777778,16895340.666666668,0.005906180562710183,0.5102994999987358,0.002201819443143904,0
musique,256,2600.1666666666665,1656.5444444444445,0.6459516744097952,6.644444444444444,0,0,0,1656.5444444444445,152100039.1111111,175519971.55555555,502.6666666666667,16895340.666666668,0.006162055556261394,0.5104093361102665,0.001785858889019841,0
2wikimultihopqa,16,1327.1666666666667,113.55,0.09500238511234155,7.125,0,0,0,113.55,48554122.666666664,64574805.333333336,27632.0,7669584.0,0.0031332416668495475,0.19102008333114404,0.002047957921604393,0
2wikimultihopqa,32,1327.1666666666667,220.43333333333334,0.18310564442263438,6.9541666666666675,0,0,0,220.43333333333334,77389621.33333333,93978624.0,6985.166666666667,7718434.0,0.0029982541648981473,0.12894719374526176,0.0020050141659642877,0
2wikimultihopqa,64,1327.1666666666667,414.2041666666667,0.3402521119587811,6.5875,0,0,0,414.2041666666667,77265653.33333333,93934933.33333333,1789.25,7718434.0,0.003057043750838299,0.12599007707831333,0.0021783512505256413,0
2wikimultihopqa,128,1327.1666666666667,701.7625,0.5658303207401915,5.754166666666666,0,0,0,701.7625,77266229.33333333,92230997.33333333,468.9166666666667,7718434.0,0.002820925000075173,0.12601683541288367,0.0016917937488566774,0
2wikimultihopqa,256,1327.1666666666667,1077.5083333333334,0.836360746850251,4.616666666666666,0,0,0,1077.5083333333334,77244181.33333333,92624213.33333333,127.75,7718434.0,0.003015010416371903,0.12603298958129017,0.0011296920803336738,0
