dataset,example_id,partition,seed,node_id,selector,selected_facet,selected_scale,target_rank,R_at_1,R_at_2,R_at_4,R_at_8,target_used_during_selection
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,global,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,earliest,1,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,latest,13,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,highest_hidden_norm,3,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,highest_parent_margin,6,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,lowest_parent_entropy,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,validation_most_common_scale,3,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,validation_linear_scale,3,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,global,0,global,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,earliest,1,1,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,latest,13,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,highest_hidden_norm,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,highest_parent_margin,6,1,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,lowest_parent_entropy,0,global,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,validation_most_common_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,validation_linear_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,0,global,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,0,earliest,1,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,0,latest,13,1,3,0,0,1,1,0
