dataset,layer,chunk_size,edge_R6,edge_MRR,strict_path_K6,preserved_transitions,complete_recovery,node_recall,minimum_native_depth_if_complete,examples
2wikimultihopqa,0,32,0.68,0.3879479760006076,0.5555555555555556,25,,,,
musique_D2,0,32,,,,,0.6666666666666666,0.8333333333333334,2.5,6
musique_D3,0,32,,,,,0.16666666666666666,0.7222222222222222,1.0,6
musique_D4,0,32,,,,,0.16666666666666666,0.7083333333333334,1.0,6
2wikimultihopqa,0,128,0.88,0.5200476190476191,0.7777777777777778,25,,,,
musique_D2,0,128,,,,,0.8333333333333334,0.9166666666666666,1.2,6
musique_D3,0,128,,,,,1.0,1.0,1.1666666666666667,6
musique_D4,0,128,,,,,0.8333333333333334,0.9583333333333334,1.8,6
2wikimultihopqa,0,256,0.9583333333333334,0.5767857142857143,0.8333333333333334,24,,,,
musique_D2,0,256,,,,,1.0,1.0,1.1666666666666667,6
musique_D3,0,256,,,,,1.0,1.0,1.0,6
musique_D4,0,256,,,,,1.0,1.0,1.1666666666666667,6
2wikimultihopqa,12,32,0.48,0.26483233433233433,0.3333333333333333,25,,,,
musique_D2,12,32,,,,,0.8333333333333334,0.9166666666666666,1.2,6
musique_D3,12,32,,,,,0.3333333333333333,0.7222222222222222,1.0,6
musique_D4,12,32,,,,,0.3333333333333333,0.7916666666666666,2.5,6
2wikimultihopqa,12,128,0.92,0.43766666666666665,0.8333333333333334,25,,,,
musique_D2,12,128,,,,,1.0,1.0,1.3333333333333333,6
musique_D3,12,128,,,,,1.0,1.0,1.1666666666666667,6
musique_D4,12,128,,,,,1.0,1.0,1.5,6
2wikimultihopqa,12,256,1.0,0.6284722222222222,0.8888888888888888,24,,,,
musique_D2,12,256,,,,,1.0,1.0,1.1666666666666667,6
musique_D3,12,256,,,,,1.0,1.0,1.0,6
musique_D4,12,256,,,,,0.8333333333333334,0.9583333333333334,1.6,6
2wikimultihopqa,27,32,0.4,0.2759929141067661,0.2222222222222222,25,,,,
musique_D2,27,32,,,,,1.0,1.0,1.0,6
musique_D3,27,32,,,,,0.16666666666666666,0.6666666666666666,1.0,6
musique_D4,27,32,,,,,0.3333333333333333,0.7916666666666666,1.5,6
2wikimultihopqa,27,128,0.88,0.4104285714285714,0.7777777777777778,25,,,,
musique_D2,27,128,,,,,1.0,1.0,1.1666666666666667,6
musique_D3,27,128,,,,,0.8333333333333334,0.9444444444444445,1.2,6
musique_D4,27,128,,,,,1.0,1.0,1.0,6
2wikimultihopqa,27,256,1.0,0.48055555555555557,0.8888888888888888,24,,,,
musique_D2,27,256,,,,,1.0,1.0,1.0,6
musique_D3,27,256,,,,,1.0,1.0,1.0,6
musique_D4,27,256,,,,,1.0,1.0,1.5,6
