dataset,example_id,partition,layer,annotated_hops,graph_type,parent_count,oracle_parent_count,minimum_native_recovery_depth,depth_contraction,complete_recovery,node_recall,mean_out_degree,effective_branching_factor,unique_neighbor_count,duplicate_neighbor_rate,connected_component_count,giant_component_fraction,graph_density,reciprocal_edge_rate,mean_evidence_native_distance,unreachable_evidence_fraction,shortcut_rate,shortcut_pairs,shortcut_eligible_pairs
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,0,1,independent,13,3,0,1,1,1.0,6.0,3.327969161492504,12.0,0.8461538461538461,1.0,1.0,0.5,0.48717948717948717,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,4,1,independent,13,3,0,1,1,1.0,6.0,2.540072005066907,7.0,0.9102564102564102,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,8,1,independent,13,3,0,1,1,1.0,6.0,2.540072005066907,7.0,0.9102564102564102,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,12,1,independent,13,3,0,1,1,1.0,6.0,2.8812187786704393,9.0,0.8846153846153846,1.0,1.0,0.5,0.5641025641025641,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,16,1,independent,13,3,0,1,1,1.0,6.0,2.5541239907347224,8.0,0.8974358974358975,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,20,1,independent,13,3,0,1,1,1.0,6.0,2.540072005066907,7.0,0.9102564102564102,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,24,1,independent,13,3,0,1,1,1.0,6.0,2.540072005066907,7.0,0.9102564102564102,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,27,1,independent,13,3,0,1,1,1.0,6.0,2.540072005066907,7.0,0.9102564102564102,1.0,1.0,0.5,0.5384615384615384,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,0,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,4,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,8,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,12,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,16,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,20,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,24,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,27,1,independent,7,2,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,0,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,4,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,8,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,12,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,16,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,20,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,24,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,27,1,independent,6,2,0,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,0,1,independent,11,2,0,1,1,1.0,6.0,2.9835574463327963,10.0,0.8484848484848485,1.0,1.0,0.6,0.6666666666666666,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,4,1,independent,11,2,0,1,1,1.0,6.0,2.6955719875232087,8.0,0.8787878787878788,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,8,1,independent,11,2,0,1,1,1.0,6.0,2.5208575857946007,7.0,0.8939393939393939,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,12,1,independent,11,2,0,1,1,1.0,6.0,2.8233803345517403,10.0,0.8484848484848485,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,16,1,independent,11,2,0,1,1,1.0,6.0,2.8596221929741557,9.0,0.8636363636363636,1.0,1.0,0.6,0.6666666666666666,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,20,1,independent,11,2,0,1,1,1.0,6.0,3.0147525145607617,10.0,0.8484848484848485,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,24,1,independent,11,2,0,1,1,1.0,6.0,2.8596221929741557,9.0,0.8636363636363636,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,27,1,independent,11,2,0,1,1,1.0,6.0,2.6955719875232087,8.0,0.8787878787878788,1.0,1.0,0.6,0.6363636363636364,,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,0,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.8333333333333334,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,4,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,8,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,12,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,16,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,20,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,24,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,27,2,branching,8,4,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,0,2,chain,9,2,1,1,1,1.0,6.0,2.747237874221035,9.0,0.8333333333333334,1.0,1.0,0.75,0.7407407407407407,1.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,4,2,chain,9,2,1,1,1,1.0,6.0,2.66604862369588,8.0,0.8518518518518519,1.0,1.0,0.75,0.7777777777777778,1.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,8,2,chain,9,2,2,0,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7407407407407407,2.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,12,2,chain,9,2,1,1,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7777777777777778,1.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,16,2,chain,9,2,1,1,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7777777777777778,1.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,20,2,chain,9,2,2,0,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7407407407407407,2.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,24,2,chain,9,2,2,0,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7777777777777778,2.0,0.0,0.0,0,0
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,27,2,chain,9,2,2,0,1,1.0,6.0,2.8284271247461903,9.0,0.8333333333333334,1.0,1.0,0.75,0.7777777777777778,2.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,0,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.8333333333333334,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,4,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,8,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.8333333333333334,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,12,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,16,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,20,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,24,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,27,2,chain,8,2,1,1,1,1.0,6.0,2.6457513110645907,8.0,0.8333333333333334,1.0,1.0,0.8571428571428571,0.875,1.0,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,0,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,4,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,8,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,12,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,16,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,20,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,24,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,27,1,independent,7,4,0,1,1,1.0,6.0,2.449489742783178,7.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.0,0.0,0,0
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,0,2,chain,15,2,2,0,1,1.0,6.0,3.6781412014959636,15.0,0.8333333333333334,1.0,1.0,0.42857142857142855,0.4444444444444444,2.0,0.0,0.0,0,0
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,4,2,chain,15,2,1,1,1,1.0,6.0,2.731000024116004,8.0,0.9111111111111111,1.0,1.0,0.42857142857142855,0.4666666666666667,1.0,0.0,0.0,0,0
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,8,2,chain,15,2,2,0,1,1.0,6.0,2.731000024116004,8.0,0.9111111111111111,1.0,1.0,0.42857142857142855,0.4444444444444444,2.0,0.0,0.0,0,0
