any_evidence,chain_completion,condition,dataset,evidence_coverage,exact_evidence_identity,examples_x_seeds,fraction,gist_comparisons,materialized_kv_fraction,materialized_kv_tokens,routing_seconds,unique_selected_chunks
0.425,0.125,chunk_closure_memory_frontier,hotpotqa,0.12011904761904761,0.0,80,0.05,149.8125,0.05743785526468975,91.2625,0.013299839996761875,2.875
0.45,0.125,chunk_closure_query_frontier,hotpotqa,0.12008928571428572,0.0,80,0.05,149.8125,0.0571194493485024,90.875,0.012821707499097102,2.875
0.4875,0.075,one_shot,hotpotqa,0.12226190476190477,0.0,80,0.05,50.125,0.05734571276479179,91.0375,0.009509222494671121,2.875
0.6625,0.15,chunk_closure_memory_frontier,hotpotqa,0.2024404761904762,0.0,80,0.1,219.5625,0.10623409872617787,168.9125,0.019039720000728268,5.3125
0.6875,0.1375,chunk_closure_query_frontier,hotpotqa,0.20127976190476188,0.0125,80,0.1,219.5625,0.10536726177007946,167.75,0.01915373124793405,5.3125
0.7,0.1375,one_shot,hotpotqa,0.20711309523809524,0.0125,80,0.1,50.125,0.10462684187874553,166.625,0.00863439625245519,5.3125
0.875,0.2125,chunk_closure_memory_frontier,hotpotqa,0.32279761904761906,0.025,80,0.2,363.4375,0.20679999533382154,328.1625,0.034444893753243375,10.375
0.9125,0.225,chunk_closure_query_frontier,hotpotqa,0.35386904761904764,0.025,80,0.2,363.4375,0.20570702668431334,326.6625,0.03258161999765434,10.375
0.925,0.1875,one_shot,hotpotqa,0.33779761904761907,0.0625,80,0.2,50.125,0.20487934677137848,325.6375,0.01100882999744499,10.375
0.9625,0.3625,chunk_closure_memory_frontier,hotpotqa,0.4783928571428572,0.1125,80,0.3,517.9375,0.307662907018574,487.9125,0.054728237503877605,15.4375
0.9875,0.3375,chunk_closure_query_frontier,hotpotqa,0.4769047619047619,0.0875,80,0.3,517.9375,0.3062802710729729,485.925,0.0534058274992276,15.4375
1.0,0.4125,one_shot,hotpotqa,0.4965773809523809,0.1,80,0.3,50.125,0.3069005746314834,486.8375,0.015186877498490504,15.4375
0.775,0.775,chunk_closure_memory_frontier,qasper,0.37725892857142856,0.1375,80,0.05,815.3125,0.05450525499195321,245.9625,0.02722248750142171,7.6875
0.875,0.875,chunk_closure_query_frontier,qasper,0.40099725274725273,0.1875,80,0.05,815.3125,0.054509297246992564,246.0,0.026450989995646525,7.6875
0.8625,0.8625,one_shot,qasper,0.37590819597069597,0.1625,80,0.05,142.625,0.054463661667835575,245.725,0.010747847503807861,7.6875
0.875,0.875,chunk_closure_memory_frontier,qasper,0.46551877289377286,0.2,80,0.1,1395.9375,0.10384397894583516,469.65,0.05326650625356706,14.6875
0.95,0.95,chunk_closure_query_frontier,qasper,0.47876900183150184,0.225,80,0.1,1395.9375,0.10383589443575647,469.575,0.05170428874916979,14.6875
0.9625,0.9625,one_shot,qasper,0.476507326007326,0.2125,80,0.1,142.625,0.10384397894583516,469.65,0.014134144998388365,14.6875
0.975,0.975,chunk_closure_memory_frontier,qasper,0.5669544413919414,0.3125,80,0.2,2541.9375,0.20428569920044987,927.5375,0.13241142374681658,29.0
1.0,1.0,chunk_closure_query_frontier,qasper,0.5821897893772894,0.35,80,0.2,2541.9375,0.2042156744973076,927.225,0.13068049124776734,29.0
0.9875,0.9875,one_shot,qasper,0.5769587912087912,0.325,80,0.2,142.625,0.20428569920044987,927.5375,0.022559943747910437,29.0
0.9875,0.9875,chunk_closure_memory_frontier,qasper,0.6508099816849817,0.4375,80,0.3,3743.8125,0.3047477513058877,1383.5375,0.24896713624693803,43.25
1.0,1.0,chunk_closure_query_frontier,qasper,0.6635277014652015,0.3875,80,0.3,3743.8125,0.30459704426065237,1383.05,0.2507748887510388,43.25
1.0,1.0,one_shot,qasper,0.6560114468864469,0.3875,80,0.3,142.625,0.30469207792306696,1383.275,0.030265326247172198,43.25
