comparison,dataset,delta_any_evidence,delta_chain_completion,delta_evidence_coverage,delta_exact_evidence_identity,delta_routing_seconds,delta_semantic_gist_comparisons,fraction,pairs
local_gist_closure_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,-0.00048763499726192097,8.0,0.1,80
local_gist_closure_minus_parent_closure,hotpotqa,-0.0375,0.0,-0.01875,0.0,0.0014171149989124388,7.0,0.1,80
parent_closure_minus_one_shot_parent,hotpotqa,0.0,0.0,0.0,0.0,-0.0019047499961743597,1.0,0.1,80
local_gist_closure_minus_one_shot_parent,hotpotqa,0.0125,-0.0125,0.0125,0.0125,0.005695011249190429,43.0,0.2,80
local_gist_closure_minus_parent_closure,hotpotqa,-0.025,-0.05,-0.00625,0.0125,0.004031253747962182,37.625,0.2,80
parent_closure_minus_one_shot_parent,hotpotqa,0.0375,0.0375,0.01875,0.0,0.001663757501228247,5.375,0.2,80
local_gist_closure_minus_one_shot_parent,hotpotqa,-0.1125,-0.1,-0.04583333333333333,0.0,0.013348554998083273,86.0,0.3,80
local_gist_closure_minus_parent_closure,hotpotqa,-0.0375,-0.0375,0.010416666666666666,0.0125,0.00913032749958802,75.25,0.3,80
parent_closure_minus_one_shot_parent,hotpotqa,-0.075,-0.0625,-0.05625,-0.0125,0.004218227498495253,10.75,0.3,80
local_gist_closure_minus_one_shot_parent,qasper,-0.025,-0.025,-0.025,-0.025,0.025605022502713837,223.0,0.1,80
local_gist_closure_minus_parent_closure,qasper,-0.0375,-0.0375,-0.025,-0.0125,0.021270077500957996,195.125,0.1,80
parent_closure_minus_one_shot_parent,qasper,0.0125,0.0125,0.0,-0.0125,0.004334945001755841,27.875,0.1,80
local_gist_closure_minus_one_shot_parent,qasper,-0.0125,-0.0125,0.01625,0.025,0.04675307124780374,387.0,0.2,80
local_gist_closure_minus_parent_closure,qasper,-0.025,-0.025,0.01,0.025,0.039716898752521955,338.625,0.2,80
parent_closure_minus_one_shot_parent,qasper,0.0125,0.0125,0.00625,0.0,0.00703617249528179,48.375,0.2,80
local_gist_closure_minus_one_shot_parent,qasper,-0.0125,-0.0125,-0.013750000000000002,-0.0125,0.06730265874648467,539.5,0.3,80
local_gist_closure_minus_parent_closure,qasper,0.025,0.025,0.01875,0.0125,0.056607803747465366,472.0625,0.3,80
parent_closure_minus_one_shot_parent,qasper,-0.0375,-0.0375,-0.0325,-0.025,0.010694854999019298,67.4375,0.3,80
local_gist_closure_minus_one_shot_parent,synthetic_local_bridge,0.0,1.0,0.5,1.0,0.007615160000023024,6.0,0.6666666666666666,320
local_gist_closure_minus_parent_closure,synthetic_local_bridge,0.0,1.0,0.5,1.0,0.0036898540614856757,3.0,0.6666666666666666,320
parent_closure_minus_one_shot_parent,synthetic_local_bridge,0.0,0.0,0.0,0.0,0.003925305938537349,3.0,0.6666666666666666,320
