any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
0.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.1,0,0,0,0,0.21035332785538208,256,0,0,1,0,0.1688709000009112,11,5,1
0.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.1,0,0,0,0,0.21035332785538208,256,0,0,1,0,0.004205000004731119,11,5,1
0.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.1,0.0,1.0,8,1.0,0.21035332785538208,256,0,1.5911517143249512,1,0,0.06633880001027137,11,5,1
0.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.2,0,0,0,0,0.21035332785538208,256,0,0,1,0,0.004358600010164082,11,5,1
0.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.2,0,0,0,0,0.21035332785538208,256,0,0,1,0,0.0037174999597482383,11,5,1
0.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.2,0.0,1.0,8,1.0,0.21035332785538208,256,0,1.5911517143249512,1,0,0.0034257000079378486,11,5,1
1.0,0,2,5,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5adc3aff5542996e685252eb,0.3,0,0,0,0,0.3689400164338537,449,0,0,1,0,0.02434890001313761,11,5,2
0.0,0,2,5,0.0,parent_closure,0,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.3,0,0,0,0,0.42070665571076415,512,0,0,2,0,0.008679699967615306,11,10,2
0.0,0.4045846313238144,2,5,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5adc3aff5542996e685252eb,0.3,3.6704635620117188,1.0,48,1.5155767665338165,0.42070665571076415,512,0,1.5967939496040344,2,1,0.011896099953446537,11,45,2
0.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5ab56db7554299494045efc6,0.1,0,0,0,0,0.2014162077104642,256,0,0,1,0,0.003066499950364232,11,5,1
