accepted_native_transitions,any_evidence,bridge_locality_score,budget_parents,candidate_fraction,candidate_local_regions,candidate_parents,candidate_parents_total,candidate_tokens,chain_budget_feasible,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_all_evidence_feasible,exact_evidence_identity,examples_x_seeds,fraction,kv_materializations_during_closure,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,native_qk_dot_products,parent_entropy,path_depth,proposed_native_transitions,repeated_parent_transitions,routing_seconds,semantic_gist_comparisons,unique_parents_selected
0.0,0.3125,0.02654893766157329,1.0625,0.0,0.0,6.5,6.5,0.0,,0.0375,local_gist_closure,0.0625,hotpotqa,0.13541666666666669,,0.0,80,0.1,0.0,0.3017247200012207,1.0,15.3125,1.048182367135337,0.1668677008612943,250.675,0.0,0.0,1.807610923051834,1.0625,0.0,0.0625,0.005819205002626404,64.5,1.0625
0.0625,0.3125,,1.0625,0.1,8.375,1.0625,6.5,32.0,0.3125,0.0375,native_qk_max_threshold1_p10,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,16384.0,16384.0,,,0.0625,,0.007788943753257627,106.75,1.0625
0.0625,0.3125,,1.0625,0.2,13.275,1.6875,6.5,61.5625,0.3125,0.0375,native_qk_max_threshold1_p20,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,31520.0,31520.0,,,0.0625,,0.008675619996938621,106.75,1.0625
0.0625,0.3125,,1.0625,0.1,8.375,1.0625,6.5,32.0,0.3125,0.0375,native_qk_max_topk_p10,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,16384.0,16384.0,,,0.0625,,0.008344238751305966,106.75,1.0625
0.0625,0.3125,,1.0625,0.2,13.275,1.6875,6.5,61.5625,0.3125,0.0375,native_qk_max_topk_p20,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,31520.0,31520.0,,,0.0625,,0.008792918748804368,106.75,1.0625
0.0625,0.3125,,1.0625,0.1,8.375,1.0625,6.5,32.0,0.3125,0.0375,native_qk_top4_topk_p10,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,16384.0,16384.0,,,0.0625,,0.008103677500184859,106.75,1.0625
0.0625,0.3125,,1.0625,0.2,13.275,1.6875,6.5,61.5625,0.3125,0.0375,native_qk_top4_topk_p20,,hotpotqa,0.13541666666666669,0.0625,0.0,80,0.1,0.0,,,,,0.1668677008612943,250.675,31520.0,31520.0,,,0.0625,,0.008786402495752554,106.75,1.0625
0.0,0.35,0.0,1.0625,0.0,0.0,6.5,6.5,0.0,,0.0375,one_shot_parent,0.0,hotpotqa,0.15416666666666667,,0.0,80,0.1,0.0,0.0,0.0,0.0,0.0,0.16626301219843148,248.2375,0.0,0.0,0.0,1.0,0.0,0.0,0.007407697499729693,6.5,1.0625
0.0,0.35,0.0,1.0625,0.0,0.0,6.5,6.5,0.0,,0.0375,parent_closure,0.0,hotpotqa,0.15416666666666667,,0.0,80,0.1,0.0,0.0,0.0,0.0,0.0,0.16626301219843148,248.2375,0.0,0.0,0.0,1.0625,0.0,0.0,0.004567750002752291,7.5,1.0625
0.0,0.4625,0.19816463449969887,1.6875,0.0,0.0,6.5,6.5,0.0,,0.125,local_gist_closure,0.75,hotpotqa,0.21666666666666665,,0.0125,80,0.2,0.0,2.2684977442026137,1.0,49.55,1.3036530400138675,0.25206588313219547,407.0125,0.0,0.0,1.80751448944211,1.5625,0.0,0.3375,0.010509594999166438,98.3125,1.6875
0.625,0.4875,,1.6875,0.1,8.475,1.075,6.5,161.2375,0.5625,0.125,native_qk_max_threshold1_p10,,hotpotqa,0.22291666666666665,0.5,0.0,80,0.2,0.0,,,,,0.2515665601802659,406.275,95712.0,95712.0,,,0.75,,0.012271178748778765,114.625,1.6875
0.625,0.4625,,1.6875,0.2,13.3,1.6875,6.5,315.35,0.5625,0.1125,native_qk_max_threshold1_p20,,hotpotqa,0.20833333333333334,0.5,0.0,80,0.2,0.0,,,,,0.25222988444360006,407.175,183667.2,183667.2,,,0.75,,0.01371720125171123,114.625,1.6875
0.625,0.4875,,1.6875,0.1,8.475,1.075,6.5,161.2375,0.5625,0.125,native_qk_max_topk_p10,,hotpotqa,0.22291666666666665,0.5,0.0,80,0.2,0.0,,,,,0.2515665601802659,406.275,95712.0,95712.0,,,0.75,,0.01207503500263556,114.625,1.6875
0.625,0.4625,,1.6875,0.2,13.3,1.6875,6.5,315.35,0.5625,0.1125,native_qk_max_topk_p20,,hotpotqa,0.20833333333333334,0.5,0.0,80,0.2,0.0,,,,,0.25222988444360006,407.175,183667.2,183667.2,,,0.75,,0.013231896252545994,114.625,1.6875
0.625,0.4875,,1.6875,0.1,8.475,1.075,6.5,161.2375,0.5625,0.125,native_qk_top4_topk_p10,,hotpotqa,0.22291666666666665,0.5,0.0,80,0.2,0.0,,,,,0.2515665601802659,406.275,95712.0,95712.0,,,0.75,,0.012649962498107925,114.625,1.6875
0.625,0.5625,,1.6875,0.2,13.3,1.6875,6.5,315.35,0.5625,0.175,native_qk_top4_topk_p20,,hotpotqa,0.26458333333333334,0.5,0.0125,80,0.2,0.0,,,,,0.2514524667968615,405.95,183667.2,183667.2,,,0.75,,0.014329943755001295,114.625,1.6875
0.0,0.475,0.0,1.6875,0.0,0.0,6.5,6.5,0.0,,0.1375,one_shot_parent,0.0,hotpotqa,0.21666666666666665,,0.0,80,0.2,0.0,0.0,0.0,0.0,0.0,0.2519055517857695,405.825,0.0,0.0,0.0,1.0,0.0,0.0,0.00460666999933892,6.5,1.6875
0.0,0.5125,0.0,1.6875,0.0,0.0,6.5,6.5,0.0,,0.175,parent_closure,0.0,hotpotqa,0.23541666666666666,,0.0,80,0.2,0.0,0.0,0.0,0.0,0.0,0.2513709285678469,405.0375,0.0,0.0,0.0,1.5625,0.0,0.0,0.006488797498604981,11.875,1.6875
0.0,0.675,0.31292679798789325,2.5,0.0,0.0,6.5,6.5,0.0,,0.225,local_gist_closure,2.4375,hotpotqa,0.39375,,0.1,80,0.3,0.0,3.844397967060407,1.0,93.75,1.463832954003108,0.39447125198524474,609.7125,0.0,0.0,1.8082573893169562,2.0,0.0,1.4375,0.01682937499936088,139.5625,2.5
1.0625,0.7,,2.5,0.1,8.975,1.1375,6.5,285.5625,1.0,0.225,native_qk_max_threshold1_p10,,hotpotqa,0.39583333333333337,0.875,0.0875,80,0.3,0.0,,,,,0.3939719290333151,608.975,220044.8,220044.8,,,1.625,,0.018696513748727737,139.5625,2.5
1.0625,0.675,,2.5,0.2,14.525,1.8375,6.5,462.625,1.0,0.225,native_qk_max_threshold1_p20,,hotpotqa,0.39166666666666666,0.875,0.1,80,0.3,0.0,,,,,0.3946352532966493,609.875,394899.2,394899.2,,,1.625,,0.021403881251171698,139.5625,2.5
1.0625,0.7,,2.5,0.1,8.975,1.1375,6.5,285.5625,1.0,0.225,native_qk_max_topk_p10,,hotpotqa,0.39583333333333337,0.875,0.0875,80,0.3,0.0,,,,,0.3939719290333151,608.975,220044.8,220044.8,,,1.625,,0.018283502499980387,139.5625,2.5
1.0625,0.675,,2.5,0.2,14.525,1.8375,6.5,462.625,1.0,0.225,native_qk_max_topk_p20,,hotpotqa,0.39166666666666666,0.875,0.1,80,0.3,0.0,,,,,0.3946352532966493,609.875,394899.2,394899.2,,,1.625,,0.019913155001268022,139.5625,2.5
1.0625,0.7,,2.5,0.1,8.975,1.1375,6.5,285.5625,1.0,0.225,native_qk_top4_topk_p10,,hotpotqa,0.39583333333333337,0.875,0.0875,80,0.3,0.0,,,,,0.3939719290333151,608.975,220044.8,220044.8,,,1.625,,0.019846359998336994,139.5625,2.5
1.0625,0.7375,,2.5,0.2,14.525,1.8375,6.5,462.625,1.0,0.2375,native_qk_top4_topk_p20,,hotpotqa,0.4229166666666667,0.875,0.1,80,0.3,0.0,,,,,0.3938578356499108,608.65,394899.2,394899.2,,,1.625,,0.022914733744983096,139.5625,2.5
0.0,0.8,0.0,2.5,0.0,0.0,6.5,6.5,0.0,,0.3,one_shot_parent,0.0,hotpotqa,0.44375,,0.0875,80,0.3,0.0,0.0,0.0,0.0,0.0,0.39125335473171824,605.65,0.0,0.0,0.0,1.0,0.0,0.0,0.005211975002021063,6.5,2.5
0.0,0.725,0.0,2.5,0.0,0.0,6.5,6.5,0.0,,0.2375,parent_closure,0.0,hotpotqa,0.3875,,0.075,80,0.3,0.0,0.0,0.0,0.0,0.0,0.39124537647478796,605.925,0.0,0.0,0.0,2.0,0.0,0.0,0.008881549997022375,17.25,2.5
0.0,0.7625,0.17133165714330972,2.375,0.0,0.0,18.1875,18.1875,0.0,,0.7625,local_gist_closure,2.1875,qasper,0.7125,,0.6625,80,0.1,0.0,4.347323772311211,1.0,229.9375,1.1800822485348512,0.13560320752403152,603.675,0.0,0.0,2.816425227622191,1.875,0.0,1.6625,0.027160802498838166,379.25,2.375
0.9375,0.7125,,2.375,0.1,22.1375,2.7875,18.1875,674.675,1.0,0.7125,native_qk_max_threshold1_p10,,qasper,0.6637500000000001,0.9375,0.625,80,0.1,0.0,,,,,0.13572788314783674,604.0375,577683.2,577683.2,,,1.4375,,0.02910827749874443,388.0,2.375
0.9375,0.6875,,2.375,0.2,37.25,4.7125,18.1875,1125.5125,1.0,0.6875,native_qk_max_threshold1_p20,,qasper,0.6375,0.9375,0.5875,80,0.1,0.0,,,,,0.1364340099817463,607.975,966201.6,966201.6,,,1.4375,,0.03429767374836956,388.0,2.375
0.9375,0.7125,,2.375,0.1,22.1375,2.7875,18.1875,674.675,1.0,0.7125,native_qk_max_topk_p10,,qasper,0.6637500000000001,0.9375,0.625,80,0.1,0.0,,,,,0.13572788314783674,604.0375,577683.2,577683.2,,,1.4375,,0.02813390874725883,388.0,2.375
0.9375,0.6875,,2.375,0.2,37.25,4.7125,18.1875,1125.5125,1.0,0.6875,native_qk_max_topk_p20,,qasper,0.6375,0.9375,0.5875,80,0.1,0.0,,,,,0.1364340099817463,607.975,966201.6,966201.6,,,1.4375,,0.03342094249965157,388.0,2.375
0.9375,0.6875,,2.375,0.1,22.1375,2.7875,18.1875,674.675,1.0,0.6875,native_qk_top4_topk_p10,,qasper,0.6375,0.9375,0.5875,80,0.1,0.0,,,,,0.13570956418864896,603.9625,577683.2,577683.2,,,1.4375,,0.03142450750019634,388.0,2.375
0.9375,0.6875,,2.375,0.2,37.25,4.7125,18.1875,1125.5125,1.0,0.6875,native_qk_top4_topk_p20,,qasper,0.63125,0.9375,0.575,80,0.1,0.0,,,,,0.13587626693421656,606.25,966201.6,966201.6,,,1.4375,,0.03833792875084328,388.0,2.375
