comparison,dataset,delta_any_evidence,delta_chain_completion,delta_evidence_coverage,delta_exact_evidence_identity,delta_native_qk_dot_products,delta_routing_seconds,delta_semantic_gist_comparisons,fraction,pairs
native_qk_max_threshold1_p10_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,16384.0,0.00038124625352793374,100.25,0.1,80
native_qk_max_threshold1_p10_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,16384.0,0.0019697387506312225,42.25,0.1,80
native_qk_max_threshold1_p20_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,31520.0,0.0012679224972089286,100.25,0.1,80
native_qk_max_threshold1_p20_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,31520.0,0.0028564149943122175,42.25,0.1,80
native_qk_max_topk_p10_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,16384.0,0.0009365412515762728,100.25,0.1,80
native_qk_max_topk_p10_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,16384.0,0.0025250337486795614,42.25,0.1,80
native_qk_max_topk_p20_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,31520.0,0.0013852212490746752,100.25,0.1,80
native_qk_max_topk_p20_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,31520.0,0.002973713746177964,42.25,0.1,80
native_qk_top4_topk_p10_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,16384.0,0.0006959800004551653,100.25,0.1,80
native_qk_top4_topk_p10_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,16384.0,0.002284472497558454,42.25,0.1,80
native_qk_top4_topk_p20_minus_one_shot_parent,hotpotqa,-0.0375,0.0,-0.01875,0.0,31520.0,0.0013787049960228615,100.25,0.1,80
native_qk_top4_topk_p20_minus_local_gist_closure,hotpotqa,0.0,0.0,0.0,0.0,31520.0,0.00296719749312615,42.25,0.1,80
native_qk_max_threshold1_p10_minus_one_shot_parent,hotpotqa,0.0125,-0.0125,0.00625,0.0,95712.0,0.0076645087494398466,108.125,0.2,80
native_qk_max_threshold1_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.00625,-0.0125,95712.0,0.0017615837496123277,16.3125,0.2,80
native_qk_max_threshold1_p20_minus_one_shot_parent,hotpotqa,-0.0125,-0.025,-0.008333333333333335,0.0,183667.2,0.009110531252372312,108.125,0.2,80
native_qk_max_threshold1_p20_minus_local_gist_closure,hotpotqa,0.0,-0.0125,-0.008333333333333335,-0.0125,183667.2,0.0032076062525447924,16.3125,0.2,80
native_qk_max_topk_p10_minus_one_shot_parent,hotpotqa,0.0125,-0.0125,0.00625,0.0,95712.0,0.00746836500329664,108.125,0.2,80
native_qk_max_topk_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.00625,-0.0125,95712.0,0.0015654400034691208,16.3125,0.2,80
native_qk_max_topk_p20_minus_one_shot_parent,hotpotqa,-0.0125,-0.025,-0.008333333333333335,0.0,183667.2,0.008625226253207075,108.125,0.2,80
native_qk_max_topk_p20_minus_local_gist_closure,hotpotqa,0.0,-0.0125,-0.008333333333333335,-0.0125,183667.2,0.0027223012533795555,16.3125,0.2,80
native_qk_top4_topk_p10_minus_one_shot_parent,hotpotqa,0.0125,-0.0125,0.00625,0.0,95712.0,0.008043292498769006,108.125,0.2,80
native_qk_top4_topk_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.00625,-0.0125,95712.0,0.002140367498941487,16.3125,0.2,80
native_qk_top4_topk_p20_minus_one_shot_parent,hotpotqa,0.0875,0.0375,0.04791666666666667,0.0125,183667.2,0.009723273755662376,108.125,0.2,80
native_qk_top4_topk_p20_minus_local_gist_closure,hotpotqa,0.1,0.05,0.04791666666666667,0.0,183667.2,0.003820348755834857,16.3125,0.2,80
native_qk_max_threshold1_p10_minus_one_shot_parent,hotpotqa,-0.1,-0.075,-0.04791666666666666,0.0,220044.8,0.013484538746706676,133.0625,0.3,80
native_qk_max_threshold1_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.0020833333333333337,-0.0125,220044.8,0.0018671387493668589,0.0,0.3,80
native_qk_max_threshold1_p20_minus_one_shot_parent,hotpotqa,-0.125,-0.075,-0.052083333333333336,0.0125,394899.2,0.016191906249150633,133.0625,0.3,80
native_qk_max_threshold1_p20_minus_local_gist_closure,hotpotqa,0.0,0.0,-0.002083333333333333,0.0,394899.2,0.004574506251810817,0.0,0.3,80
native_qk_max_topk_p10_minus_one_shot_parent,hotpotqa,-0.1,-0.075,-0.04791666666666666,0.0,220044.8,0.013071527497959323,133.0625,0.3,80
native_qk_max_topk_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.0020833333333333337,-0.0125,220044.8,0.0014541275006195065,0.0,0.3,80
native_qk_max_topk_p20_minus_one_shot_parent,hotpotqa,-0.125,-0.075,-0.052083333333333336,0.0125,394899.2,0.014701179999246961,133.0625,0.3,80
native_qk_max_topk_p20_minus_local_gist_closure,hotpotqa,0.0,0.0,-0.002083333333333333,0.0,394899.2,0.0030837800019071437,0.0,0.3,80
native_qk_top4_topk_p10_minus_one_shot_parent,hotpotqa,-0.1,-0.075,-0.04791666666666666,0.0,220044.8,0.01463438499631593,133.0625,0.3,80
native_qk_top4_topk_p10_minus_local_gist_closure,hotpotqa,0.025,0.0,0.0020833333333333337,-0.0125,220044.8,0.003016984998976113,0.0,0.3,80
native_qk_top4_topk_p20_minus_one_shot_parent,hotpotqa,-0.0625,-0.0625,-0.020833333333333332,0.0125,394899.2,0.01770275874296203,133.0625,0.3,80
native_qk_top4_topk_p20_minus_local_gist_closure,hotpotqa,0.0625,0.0125,0.029166666666666667,0.0,394899.2,0.006085358745622216,0.0,0.3,80
native_qk_max_threshold1_p10_minus_one_shot_parent,qasper,-0.075,-0.075,-0.07375000000000001,-0.0625,577683.2,0.023412916247616523,369.8125,0.1,80
native_qk_max_threshold1_p10_minus_local_gist_closure,qasper,-0.05,-0.05,-0.04875,-0.0375,577683.2,0.0019474749999062624,8.75,0.1,80
native_qk_max_threshold1_p20_minus_one_shot_parent,qasper,-0.1,-0.1,-0.1,-0.1,966201.6,0.028602312497241655,369.8125,0.1,80
native_qk_max_threshold1_p20_minus_local_gist_closure,qasper,-0.075,-0.075,-0.075,-0.075,966201.6,0.007136871249531396,8.75,0.1,80
native_qk_max_topk_p10_minus_one_shot_parent,qasper,-0.075,-0.075,-0.07375000000000001,-0.0625,577683.2,0.022438547496130924,369.8125,0.1,80
native_qk_max_topk_p10_minus_local_gist_closure,qasper,-0.05,-0.05,-0.04875,-0.0375,577683.2,0.0009731062484206632,8.75,0.1,80
native_qk_max_topk_p20_minus_one_shot_parent,qasper,-0.1,-0.1,-0.1,-0.1,966201.6,0.027725581248523666,369.8125,0.1,80
native_qk_max_topk_p20_minus_local_gist_closure,qasper,-0.075,-0.075,-0.075,-0.075,966201.6,0.0062601400008134075,8.75,0.1,80
native_qk_top4_topk_p10_minus_one_shot_parent,qasper,-0.1,-0.1,-0.1,-0.1,577683.2,0.025729146249068434,369.8125,0.1,80
native_qk_top4_topk_p10_minus_local_gist_closure,qasper,-0.075,-0.075,-0.075,-0.075,577683.2,0.004263705001358175,8.75,0.1,80
native_qk_top4_topk_p20_minus_one_shot_parent,qasper,-0.1,-0.1,-0.10625,-0.1125,966201.6,0.03264256749971537,369.8125,0.1,80
native_qk_top4_topk_p20_minus_local_gist_closure,qasper,-0.075,-0.075,-0.08125,-0.0875,966201.6,0.01117712625200511,8.75,0.1,80
native_qk_max_threshold1_p10_minus_one_shot_parent,qasper,-0.0375,-0.0375,-0.0025,0.0125,1198553.6,0.0433013275032863,521.8125,0.2,80
native_qk_max_threshold1_p10_minus_local_gist_closure,qasper,-0.025,-0.025,-0.01875,-0.0125,1198553.6,0.0029238187526061665,0.0,0.2,80
native_qk_max_threshold1_p20_minus_one_shot_parent,qasper,-0.075,-0.075,-0.01875,-0.0125,1949958.4,0.047412987502320904,521.8125,0.2,80
