dataset,example_id,partition,seed,parent_id,best_rank,winning_scale,best_score
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,0,2,1,-0.023257408291101456
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,4,1,-0.060976363718509674
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,2,2,1,-0.24905379116535187
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,5,10,global,-0.44956639409065247
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,6,3,1,-0.30438971519470215
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,7,6,global,-0.3046503961086273
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,9,6,1,-0.285466730594635
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,10,5,1,-0.406951904296875
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,11,4,1,-0.36956867575645447
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,12,3,1,-0.22573605179786682
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,0,1,1,0.2875017523765564
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,4,1,0.20096240937709808
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,2,1,1,0.1893719583749771
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,5,10,global,-0.20162725448608398
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,6,3,1,0.22355619072914124
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,7,4,1,0.017400119453668594
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,9,6,1,-0.07182194292545319
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,10,8,1,-0.13232503831386566
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,11,7,1,-0.08551466464996338
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,12,6,1,-0.06928295642137527
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,0,3,1,-0.14596153795719147
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,5,1,-0.27277612686157227
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,2,7,1,-0.31256234645843506
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,5,7,2,-0.5278641581535339
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,6,2,1,0.019797012209892273
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,7,5,global,-0.5361025333404541
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,9,6,1,-0.19805553555488586
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,10,3,1,0.011074826121330261
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,11,7,1,-0.5084605813026428
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,12,3,1,-0.26923733949661255
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,2,1,0.23880228400230408
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,2,2,0.12291249632835388
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,2,4,1,-0.03225293755531311
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,5,8,1,-0.06631601601839066
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,6,3,1,0.01475989818572998
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,7,5,1,-0.21712419390678406
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,9,6,1,-0.0030456706881523132
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,10,6,2,-0.21645063161849976
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,11,8,1,-0.13018235564231873
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,12,10,1,-0.1576799750328064
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,1,1,-0.0018568523228168488
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,2,1,0.013376743532717228
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,2,4,1,-0.12927813827991486
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,5,9,global,-0.4514318108558655
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,6,3,1,-0.10439185053110123
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,7,5,1,-0.14912892878055573
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,9,4,1,-0.06295720487833023
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,10,3,1,-0.04022339731454849
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,11,7,1,-0.1478157937526703
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,12,8,1,-0.22892436385154724
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,2,1,0.1538395881652832
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,1,1,0.17903104424476624
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,4,2,global,-0.3256710469722748
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,5,2,1,-0.04088159650564194
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,6,1,global,-0.14397835731506348
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,2,1,-0.029477927833795547
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,2,1,0.08745162934064865
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,4,2,global,-0.13417568802833557
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,5,3,1,0.027831971645355225
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,6,1,global,0.06309289485216141
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,0,2,1,0.062649667263031
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,1,4,1,0.04603733867406845
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,4,2,1,-0.07521386444568634
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,5,3,1,-0.010979879647493362
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,6,1,1,-0.20064836740493774
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,0,4,1,-0.08400901407003403
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,1,1,1,0.24812451004981995
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,4,2,1,0.04684001952409744
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,5,3,1,0.20144031941890717
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,53,6,1,global,0.09376905858516693
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,0,1,1,0.057808466255664825
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,1,4,1,0.010475188493728638
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,4,2,global,-0.27913209795951843
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,5,2,1,-0.042599767446517944
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,71,6,1,1,0.06758618354797363
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,0,4,1,-0.14719265699386597
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,1,1,1,-0.01567128673195839
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,4,1,1,-0.2570872902870178
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,5,1,1,0.11900760978460312
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,0,3,2,0.22894220054149628
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,1,1,1,0.3858179450035095
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,4,1,1,0.2351723313331604
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,5,3,1,0.20957107841968536
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,0,2,1,0.015571720898151398
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,1,1,1,0.018631013110280037
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,4,2,1,-0.26986929774284363
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,5,1,1,-0.12204544991254807
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,0,2,1,0.21094423532485962
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,1,1,1,0.062198542058467865
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,4,1,1,-0.03967074677348137
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,5,3,1,-0.03597644716501236
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,0,1,1,0.2062147855758667
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,1,1,1,0.2923911213874817
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,4,1,1,0.23031297326087952
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,5,1,global,0.08571689575910568
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,1,5,1,-0.15438583493232727
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,2,2,1,0.0996594950556755
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,3,1,1,0.09354658424854279
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,4,5,1,-0.017197970300912857
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,5,8,1,0.017384255304932594
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,6,1,global,0.30020615458488464
