dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,source_tokens,parent_count,oracle_parent_count,annotated_node_count,annotated_transition_count,preserved_parent_transition_count,collapsed_transition_count,partially_collapsed_transition_count,unmappable_transition_count,root_parent_count,evidence_group_collisions,evidence_tokens,selected_parent_tokens,selected_evidence_tokens,non_evidence_selected_tokens,evidence_density,root_evidence_fraction,root_contains_all_evidence
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,1560,98,6,2,0,0,0,0,0,2,0,48,96,48,48,0.5,0.6666666666666666,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,32,1560,49,4,2,0,0,0,0,0,2,0,48,128,48,80,0.375,0.8958333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,64,1560,25,4,2,0,0,0,0,0,2,0,48,256,48,208,0.1875,0.8958333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,128,1560,13,3,2,0,0,0,0,0,2,0,48,384,48,336,0.125,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,256,1560,7,3,2,0,0,0,0,0,2,0,48,768,48,720,0.0625,0.9583333333333334,False
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,16,777,49,6,2,0,0,0,0,0,2,0,74,96,74,22,0.7708333333333334,0.43243243243243246,False
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,32,777,25,4,2,0,0,0,0,0,2,0,74,128,74,54,0.578125,0.7432432432432432,False
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,64,777,13,3,2,0,0,0,0,0,2,0,74,192,74,118,0.3854166666666667,0.8783783783783784,False
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,128,777,7,2,2,0,0,0,0,0,2,0,74,256,74,182,0.2890625,1.0,True
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,256,777,4,1,2,0,0,0,0,0,1,1,74,256,74,182,0.2890625,1.0,True
