dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,root_mode,R_root,K,H,B,parent_count,oracle_parent_count,annotated_transition_count,preserved_transition_count,visited_count,nodes_expanded,peak_frontier,search_comparisons,duplicates,cycles,candidate_tensor_bytes,oracle_node_recall,later_evidence_recall,annotated_edge_recall,complete_graph,complete_native_path,extra_non_oracle_visited,branching_overhead,adjacency_build_seconds,search_seconds,total_routing_seconds,logical_reference_tokens,conceptual_active_parents,counterfactual_native_kv_tokens,active_kv_fraction,native_kv_tokens,materialization_performed,evidence_tokens,selected_parent_tokens,selected_evidence_tokens,non_evidence_selected_tokens,evidence_density,root_evidence_fraction,root_contains_all_evidence,minimum_recovery_depth
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,3.2100011594593525e-05,0.67341500002658,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,1,6,98,6,0,0,3,2,2,2,1,0,412,1.0,1.0,1.0,1,1,1,1.0,0.6733829000149854,0.0014516999945044518,0.6748346000094898,1560,3,48,0.03076923076923077,0,False,48,48,32,16,0.6666666666666666,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,2,6,98,6,0,0,4,3,2,3,1,0,412,1.0,1.0,1.0,1,1,2,1.0,0.6733829000149854,0.0008951000054366887,0.674278000020422,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,3,6,98,6,0,0,5,4,2,4,1,0,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0012354999780654907,0.6746183999930508,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,4,6,98,6,0,0,5,5,2,5,2,1,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.001395600032992661,0.674778500047978,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.7300015315413475e-05,0.6734002000303008,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,1,16,98,6,0,0,3,2,2,2,1,0,412,1.0,1.0,1.0,1,1,1,1.0,0.6733829000149854,0.0005907000158913434,0.6739736000308767,1560,3,48,0.03076923076923077,0,False,48,48,32,16,0.6666666666666666,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,2,16,98,6,0,0,4,3,2,3,1,0,412,1.0,1.0,1.0,1,1,2,1.0,0.6733829000149854,0.0008717000018805265,0.6742546000168659,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,3,16,98,6,0,0,5,4,2,4,1,0,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0016666000010445714,0.6750495000160299,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,4,16,98,6,0,0,5,5,2,5,2,1,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0014266999787651002,0.6748095999937505,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
