dataset,example_id,partition,seed,root_mode,R_root,K,H,B,correct_root_present,oracle_node_recall,complete_graph,conditional_complete_graph,visited_count,nodes_expanded,search_comparisons,search_seconds
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,7,7,42,0.00414839998120442
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,7,7,42,0.0029850000282749534
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,8,48,0.003230299975257367
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,7,7,42,0.004056100035086274
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,7,7,42,0.004552099970169365
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,8,48,0.0040006000199355185
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,7,7,42,0.0037893999833613634
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,7,7,42,0.004776500049047172
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,7,42,0.004385099979117513
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,7,7,42,0.003903699980583042
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,7,7,42,0.003764099965337664
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,8,48,0.006157799973152578
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,7,7,42,0.0045547999907284975
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,8,48,0.005059799994342029
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,8,48,0.005204100045375526
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.002049500006251037
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.0014043000410310924
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,bounded_contextual_facets,4,6,4,16,0,1.0,1,,7,2,12,0.0013139999937266111
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.001074699976015836
