dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
musique,16,1,6,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,1,16,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,1,none,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,4,6,0.3888888888888889,0.7175925925925926,0.037919654045710294,0.359375,2.7777777777777777
musique,16,6,6,0.3888888888888889,0.7453703703703703,0.037919654045710294,0.390625,2.0
musique,16,6,16,0.5,0.8194444444444444,0.06267558247531695,0.25808782267115604,10.0
musique,16,6,none,0.5,0.8194444444444444,0.06267558247531695,0.25808782267115604,10.0
musique,16,8,6,0.3888888888888889,0.7453703703703703,0.037919654045710294,0.390625,2.0
musique,32,8,16,0.5555555555555556,0.837962962962963,0.15160706853134842,0.2385965596903097,11.61111111111111
musique,32,8,none,0.5555555555555556,0.837962962962963,0.15160706853134842,0.2385965596903097,11.944444444444445
musique,64,6,16,0.6666666666666666,0.8796296296296297,0.26181120822448556,0.22544986095455577,10.555555555555555
musique,64,6,none,0.6666666666666666,0.8796296296296297,0.26181120822448556,0.22544986095455577,10.555555555555555
musique,64,8,16,0.7777777777777778,0.9166666666666666,0.302387272095596,0.21790409155345594,11.944444444444445
musique,64,8,none,0.7777777777777778,0.9166666666666666,0.302387272095596,0.21790409155345594,11.944444444444445
musique,128,4,16,0.8333333333333334,0.949074074074074,0.4477254637870876,0.19820752697975833,8.833333333333334
musique,128,4,none,0.8333333333333334,0.949074074074074,0.4477254637870876,0.19820752697975833,8.833333333333334
musique,128,6,16,0.9444444444444444,0.9814814814814815,0.5132330811620012,0.18442801785165894,10.333333333333334
musique,128,6,none,0.9444444444444444,0.9814814814814815,0.5132330811620012,0.18442801785165894,10.333333333333334
musique,128,8,16,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
musique,128,8,none,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
2wikimultihopqa,16,1,6,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,1,16,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,1,none,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,4,16,0.4166666666666667,0.7270833333333333,0.10385338356927544,0.21923891386375902,7.666666666666667
2wikimultihopqa,16,4,none,0.4166666666666667,0.7270833333333333,0.10385338356927544,0.21923891386375902,7.666666666666667
2wikimultihopqa,16,6,16,0.5833333333333334,0.7958333333333334,0.17204734537876765,0.15482925379279705,9.833333333333334
2wikimultihopqa,16,6,none,0.625,0.8229166666666666,0.20383830539452305,0.15370357217630318,13.583333333333334
2wikimultihopqa,16,8,none,0.7916666666666666,0.90625,0.3526975988828763,0.1100279547959279,24.666666666666668
2wikimultihopqa,32,4,6,0.4583333333333333,0.75625,0.1553758069573605,0.2283675297401884,2.5416666666666665
2wikimultihopqa,32,6,6,0.4583333333333333,0.75625,0.1553758069573605,0.22988662696241066,2.0
2wikimultihopqa,32,6,16,0.7083333333333334,0.8666666666666667,0.301908458556589,0.14791148615215835,10.875
2wikimultihopqa,32,6,none,0.7083333333333334,0.8666666666666667,0.301908458556589,0.14791148615215835,11.041666666666666
2wikimultihopqa,32,8,6,0.4583333333333333,0.75625,0.1553758069573605,0.22988662696241066,2.0
2wikimultihopqa,32,8,none,0.875,0.9375,0.47510669764853697,0.10646255417900237,17.791666666666668
2wikimultihopqa,128,4,6,0.9166666666666666,0.9583333333333334,0.5672198676984844,0.10739322740746472,3.5416666666666665
2wikimultihopqa,128,6,16,0.9583333333333334,0.9791666666666666,0.770179099254667,0.0864864815059706,6.5
2wikimultihopqa,128,6,none,0.9583333333333334,0.9791666666666666,0.770179099254667,0.0864864815059706,6.5
2wikimultihopqa,128,8,16,1.0,1.0,0.9176515178649297,0.07951169098479416,7.125
2wikimultihopqa,128,8,none,1.0,1.0,0.9176515178649297,0.07951169098479416,7.125
