dataset,chunk_size,mean_parent_count,mean_adjacency_seconds,mean_native_dot_products,mean_local_pair_count,mean_candidate_tensor_bytes,mean_cache_bytes,mean_peak_cuda_allocated,mean_peak_cuda_reserved,mean_search_seconds
musique,16,171.61111111111111,0.7458091666582428,123480845.33333333,30307.88888888889,121231.55555555556,121231.55555555556,89881230.22222222,109983971.55555555,0.004244272225251835
musique,32,85.91666666666667,0.5540263722246487,123480845.33333333,7596.527777777777,30386.11111111111,30386.11111111111,152243484.44444445,176976327.1111111,0.00433813333317327
musique,64,43.166666666666664,0.5164605444426544,123480845.33333333,7596.527777777777,7669.555555555556,7669.555555555556,152144113.7777778,175869496.8888889,0.004339549991224582
musique,128,21.77777777777778,0.5102994999987358,123480845.33333333,7596.527777777777,1953.7777777777778,1953.7777777777778,152109781.33333334,175519971.55555555,0.004214922224895822
musique,256,11.055555555555555,0.5104093361102665,123480845.33333333,7596.527777777777,502.6666666666667,502.6666666666667,152100039.1111111,175519971.55555555,0.0033127166712397915
2wikimultihopqa,16,78.0,0.19102008333114404,28034564.666666668,6908.0,27632.0,27632.0,48554122.666666664,64574805.333333336,0.0045130666718857055
2wikimultihopqa,32,39.25,0.12894719374526176,28034564.666666668,1746.2916666666667,6985.166666666667,6985.166666666667,77389621.33333333,93978624.0,0.004298379164538346
2wikimultihopqa,64,19.895833333333332,0.12599007707831333,28034564.666666668,1746.2916666666667,1789.25,1789.25,77265653.33333333,93934933.33333333,0.003921570836003714
2wikimultihopqa,128,10.229166666666666,0.12601683541288367,28034564.666666668,1746.2916666666667,468.9166666666667,468.9166666666667,77266229.33333333,92230997.33333333,0.0026371541656165696
2wikimultihopqa,256,5.354166666666667,0.12603298958129017,28034564.666666668,1746.2916666666667,127.75,127.75,77244181.33333333,92624213.33333333,0.0011937249946640804
