dataset,chunk_size,K,edge_recall,strict_complete_path_survival,preserved_path_survival,product_model_path_survival,mean_preserved_path_length
musique,16,1,0.19444444444444445,0.2777777777777778,0.2777777777777778,0.11140046296296297,2.0
musique,16,2,0.3611111111111111,0.2777777777777778,0.2777777777777778,0.19483024691358025,2.0
musique,16,4,0.5277777777777778,0.3888888888888889,0.3888888888888889,0.3264853395061728,2.0
musique,16,6,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4583333333333333,2.0
musique,16,8,0.6944444444444444,0.6111111111111112,0.6111111111111112,0.4911265432098765,2.0
musique,16,11,0.6944444444444444,0.6111111111111112,0.6111111111111112,0.4911265432098765,2.0
musique,32,1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.09375,2.0
musique,32,2,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.139917695473251,2.0
musique,32,4,0.4722222222222222,0.3333333333333333,0.3333333333333333,0.2737590020576131,2.0
musique,32,6,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.39078575102880664,2.0
musique,32,8,0.6388888888888888,0.5,0.5,0.4201388888888889,2.0
musique,32,11,0.6944444444444444,0.6111111111111112,0.6111111111111112,0.4911265432098765,2.0
musique,64,1,0.19444444444444445,0.2222222222222222,0.2222222222222222,0.09953703703703703,2.0
musique,64,2,0.3055555555555556,0.2777777777777778,0.2777777777777778,0.15020576131687244,2.0
musique,64,4,0.5,0.3888888888888889,0.3888888888888889,0.3132716049382716,2.0
musique,64,6,0.6666666666666666,0.5,0.5,0.46090534979423864,2.0
musique,64,8,0.7222222222222222,0.6111111111111112,0.6111111111111112,0.5347222222222222,2.0
musique,64,11,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.7875192901234569,2.0
musique,128,1,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.06481481481481481,2.0
musique,128,2,0.25,0.16666666666666666,0.16666666666666666,0.09114583333333333,2.0
musique,128,4,0.5833333333333334,0.3888888888888889,0.3888888888888889,0.3795331790123457,2.0
musique,128,6,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.6995884773662552,2.0
musique,128,8,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8416923868312757,2.0
musique,128,11,1.0,1.0,1.0,1.0,2.0
musique,256,1,0.30303030303030304,0.2222222222222222,0.2777777777777778,0.1484375,1.8333333333333333
musique,256,2,0.3939393939393939,0.2222222222222222,0.2777777777777778,0.18389917695473254,1.8333333333333333
musique,256,4,0.6363636363636364,0.3888888888888889,0.4444444444444444,0.38271604938271603,1.8333333333333333
musique,256,6,0.8787878787878788,0.7222222222222222,0.8333333333333334,0.6558641975308643,1.8333333333333333
musique,256,8,0.9090909090909091,0.7222222222222222,0.8888888888888888,0.6987847222222222,1.8333333333333333
musique,256,11,1.0,0.8333333333333334,1.0,0.8400205761316873,1.8333333333333333
2wikimultihopqa,16,1,0.2,0.05555555555555555,0.058823529411764705,0.13721362463966014,1.3888888888888888
2wikimultihopqa,16,2,0.2,0.05555555555555555,0.058823529411764705,0.13721362463966014,1.3888888888888888
2wikimultihopqa,16,4,0.24,0.1111111111111111,0.11764705882352941,0.1670459717796996,1.3888888888888888
2wikimultihopqa,16,6,0.4,0.2222222222222222,0.23529411764705882,0.2956051180903252,1.3888888888888888
2wikimultihopqa,16,8,0.56,0.4444444444444444,0.47058823529411764,0.4407525413442573,1.3888888888888888
2wikimultihopqa,16,11,0.68,0.6111111111111112,0.6470588235294118,0.5619594902139281,1.3888888888888888
2wikimultihopqa,32,1,0.12,0.0,0.0,0.08005234410559854,1.3888888888888888
2wikimultihopqa,32,2,0.24,0.1111111111111111,0.11764705882352941,0.1670459717796996,1.3888888888888888
2wikimultihopqa,32,4,0.28,0.16666666666666666,0.17647058823529413,0.1977633641834825,1.3888888888888888
2wikimultihopqa,32,6,0.4,0.2222222222222222,0.23529411764705882,0.2956051180903252,1.3888888888888888
2wikimultihopqa,32,8,0.68,0.5555555555555556,0.5882352941176471,0.5619594902139281,1.3888888888888888
2wikimultihopqa,32,11,0.8,0.6666666666666666,0.7058823529411765,0.6948869670763163,1.3888888888888888
2wikimultihopqa,64,1,0.08,0.0,0.0,0.052647549688969814,1.3888888888888888
2wikimultihopqa,64,2,0.2,0.1111111111111111,0.11764705882352941,0.13721362463966014,1.3888888888888888
