dataset,entry_mode,operating_point,R_root,chunk_size,native_K,B,complete_recovery,node_recall,root_recall,selected_source_fraction,oracle_entry
musique,oracle_annotated_entry,conservative,oracle_group_count,16,6,16,0.5,0.8194444444444444,1.0,0.06267558247531695,True
musique,oracle_annotated_entry,balanced,oracle_group_count,128,8,16,1.0,1.0,1.0,0.5726151613142858,True
musique,oracle_annotated_entry,high_recall,oracle_group_count,128,8,16,1.0,1.0,1.0,0.5726151613142858,True
2wikimultihopqa,oracle_annotated_entry,conservative,oracle_group_count,16,6,16,0.5833333333333334,0.7958333333333334,1.0,0.17204734537876765,True
2wikimultihopqa,oracle_annotated_entry,balanced,oracle_group_count,32,8,none,0.875,0.9375,1.0,0.47510669764853697,True
2wikimultihopqa,oracle_annotated_entry,high_recall,oracle_group_count,128,8,16,1.0,1.0,1.0,0.9176515178649297,True
musique,bounded_multiscale_union,executable_diagnostic,1,128,6,16,0.7333333333333333,0.9194444444444444,0.2111111111111111,0.5024560672901468,False
musique,bounded_multiscale_union,executable_diagnostic,2,128,6,16,0.8,0.9398148148148148,0.25555555555555554,0.5351583897194933,False
musique,bounded_multiscale_union,executable_diagnostic,4,128,6,16,0.8333333333333334,0.95,0.4111111111111111,0.5874901046537255,False
musique,bounded_multiscale_union,executable_diagnostic,8,128,6,16,0.8333333333333334,0.95,0.5111111111111111,0.616573561292549,False
2wikimultihopqa,bounded_multiscale_union,executable_diagnostic,1,128,6,16,0.875,0.9166666666666666,0.2916666666666667,0.7626704687936119,False
2wikimultihopqa,bounded_multiscale_union,executable_diagnostic,2,128,6,16,0.875,0.9166666666666666,0.375,0.7777008664605224,False
2wikimultihopqa,bounded_multiscale_union,executable_diagnostic,4,128,6,16,0.8833333333333333,0.925,0.475,0.7982755500109119,False
2wikimultihopqa,bounded_multiscale_union,executable_diagnostic,8,128,6,16,0.8916666666666667,0.9416666666666667,0.5083333333333333,0.8045075190441793,False
