dataset,policy,N,examples,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
hotpotqa,iterative,126.0,20,4.0,21.0,1.3,0.325,0.046052631578947366,0.1,0.16666666666666666,5.25,0.8333333333333334,1.450657894736842
hotpotqa,iterative,29.0,20,4.0,5.0,1.0,0.25,0.2111111111111111,0.0,0.1724137931034483,1.25,0.8275862068965518,1.5305555555555554
hotpotqa,iterative,36.0,20,4.0,6.25,2.95,0.7375,0.6051136363636364,0.3,0.1736111111111111,1.5625,0.826388888888889,5.4460227272727275
hotpotqa,iterative,38.0,20,5.0,6.5,0.85,0.17,0.16458333333333333,0.0,0.17105263157894737,1.3,0.8289473684210528,1.2508333333333335
hotpotqa,iterative,39.0,40,4.0,6.5,1.6,0.4,0.30833333333333335,0.025,0.16666666666666669,1.625,0.8333333333333334,3.00625
hotpotqa,iterative,40.0,40,4.5,6.5,1.525,0.34875,0.259375,0.05,0.1625,1.4625,0.8375,2.39375
hotpotqa,iterative,47.0,40,5.5,8.25,0.6,0.12053571428571427,0.065,0.0,0.17553191489361702,1.6205357142857142,0.824468085106383,0.5623214285714286
hotpotqa,iterative,48.0,20,3.0,8.25,0.7,0.2333333333333333,0.058333333333333334,0.0,0.171875,2.75,0.828125,0.9333333333333332
hotpotqa,iterative,50.0,20,7.0,8.25,2.6,0.3714285714285714,0.33666666666666667,0.0,0.16499999999999998,1.1785714285714286,0.835,2.4047619047619047
hotpotqa,iterative,51.0,20,4.0,9.0,0.65,0.1625,0.05293560606060606,0.0,0.1764705882352941,2.25,0.8235294117647058,0.6749289772727273
hotpotqa,iterative,55.0,40,5.0,9.25,0.975,0.195,0.12475490196078431,0.0,0.16818181818181818,1.85,0.8318181818181818,1.3723039215686277
hotpotqa,iterative,62.0,20,6.0,10.75,0.7,0.11666666666666665,0.060591382301908615,0.0,0.17338709677419356,1.7916666666666665,0.8266129032258064,0.6261109504530558
hotpotqa,one_shot,126.0,20,4.0,21.0,1.35,0.3375,0.04736842105263158,0.1,0.16666666666666666,5.25,0.8333333333333334,1.4921052631578948
hotpotqa,one_shot,29.0,20,4.0,5.0,1.2,0.3,0.25555555555555554,0.0,0.1724137931034483,1.25,0.8275862068965518,1.8527777777777779
hotpotqa,one_shot,36.0,20,4.0,6.25,3.2,0.8,0.6284090909090909,0.55,0.1736111111111111,1.5625,0.826388888888889,5.655681818181818
hotpotqa,one_shot,38.0,20,5.0,6.5,0.9,0.18,0.18958333333333333,0.0,0.17105263157894737,1.3,0.8289473684210528,1.4408333333333334
hotpotqa,one_shot,39.0,40,4.0,6.5,1.55,0.3875,0.271875,0.025,0.16666666666666669,1.625,0.8333333333333334,2.65078125
hotpotqa,one_shot,40.0,40,4.5,6.5,1.325,0.29874999999999996,0.23854166666666665,0.0,0.1625,1.4625,0.8375,2.1791666666666667
hotpotqa,one_shot,47.0,40,5.5,8.25,0.75,0.15,0.06916666666666667,0.0,0.17553191489361702,1.6205357142857142,0.824468085106383,0.6238690476190476
hotpotqa,one_shot,48.0,20,3.0,8.25,0.85,0.2833333333333333,0.09833333333333334,0.0,0.171875,2.75,0.828125,1.5733333333333333
hotpotqa,one_shot,50.0,20,7.0,8.25,2.45,0.35,0.29500000000000004,0.0,0.16499999999999998,1.1785714285714286,0.835,2.1071428571428568
