candidate_parent,dataset,example_id,is_oracle,method,partition,raw_score,score_family,seed,selected_by_iterative,selected_by_one_shot,source
3,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,validation,-0.08719231933355331,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,validation,-0.08719231933355331,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_max_topk_p20,validation,-0.08719231933355331,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_top4_topk_p20,validation,-0.08719231933355331,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,validation,-0.4988010823726654,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5ab56db7554299494045efc6,0.0,local_gist_closure,validation,-0.4988010823726654,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5ab56db7554299494045efc6,0.0,native_qk_max_topk_p20,validation,-0.4988010823726654,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5ab56db7554299494045efc6,0.0,native_qk_top4_topk_p20,validation,-0.4988010823726654,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5ab2b863554299295394685a,0.0,parent_closure,test,-0.4566953778266907,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,parent_closure,test,-0.46591776609420776,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,parent_closure,test,-0.34577447175979614,propagated_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5ab2b863554299295394685a,0.0,local_gist_closure,test,-0.4566953778266907,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,local_gist_closure,test,-0.46591776609420776,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,local_gist_closure,test,-0.1556161344051361,propagated_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5ab2b863554299295394685a,0.0,native_qk_max_topk_p20,test,-0.4566953778266907,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,native_qk_max_topk_p20,test,-0.46591776609420776,root_semantic,11,0.0,1.0,frozen_selected_union
4,hotpotqa,5ab2b863554299295394685a,1.0,native_qk_max_topk_p20,test,16.043691635131836,native_qk,11,1.0,0.0,frozen_selected_union
1,hotpotqa,5ab2b863554299295394685a,0.0,native_qk_top4_topk_p20,test,-0.4566953778266907,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ab2b863554299295394685a,1.0,native_qk_top4_topk_p20,test,-0.46591776609420776,root_semantic,11,0.0,1.0,frozen_selected_union
4,hotpotqa,5ab2b863554299295394685a,1.0,native_qk_top4_topk_p20,test,12.771429061889648,native_qk,11,1.0,0.0,frozen_selected_union
0,hotpotqa,5a710a915542994082a3e504,0.0,parent_closure,test,-0.02130225859582424,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a710a915542994082a3e504,0.0,local_gist_closure,test,-0.02130225859582424,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a710a915542994082a3e504,0.0,native_qk_max_topk_p20,test,-0.02130225859582424,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a710a915542994082a3e504,0.0,native_qk_top4_topk_p20,test,-0.02130225859582424,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5adc93a4554299438c868e01,1.0,parent_closure,test,0.27405017614364624,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5adc93a4554299438c868e01,1.0,local_gist_closure,test,0.27405017614364624,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5adc93a4554299438c868e01,1.0,native_qk_max_topk_p20,test,0.27405017614364624,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5adc93a4554299438c868e01,1.0,native_qk_top4_topk_p20,test,0.27405017614364624,root_semantic,11,1.0,1.0,frozen_selected_union
13,hotpotqa,5ab7f97a5542991d322237ef,0.0,parent_closure,validation,-0.2844828963279724,root_semantic,11,1.0,1.0,frozen_selected_union
15,hotpotqa,5ab7f97a5542991d322237ef,1.0,parent_closure,validation,-0.28513339161872864,root_semantic,11,1.0,1.0,frozen_selected_union
14,hotpotqa,5ab7f97a5542991d322237ef,0.0,parent_closure,validation,-0.4190755784511566,root_semantic,11,0.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,parent_closure,validation,-0.46154168248176575,root_semantic,11,1.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,parent_closure,validation,-0.5393242835998535,propagated_semantic,11,1.0,1.0,frozen_selected_union
6,hotpotqa,5ab7f97a5542991d322237ef,0.0,parent_closure,validation,-0.4961903393268585,propagated_semantic,11,1.0,0.0,frozen_selected_union
13,hotpotqa,5ab7f97a5542991d322237ef,0.0,local_gist_closure,validation,-0.2844828963279724,root_semantic,11,1.0,1.0,frozen_selected_union
15,hotpotqa,5ab7f97a5542991d322237ef,1.0,local_gist_closure,validation,-0.28513339161872864,root_semantic,11,1.0,1.0,frozen_selected_union
14,hotpotqa,5ab7f97a5542991d322237ef,0.0,local_gist_closure,validation,-0.4190755784511566,root_semantic,11,0.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,local_gist_closure,validation,-0.46154168248176575,root_semantic,11,1.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,local_gist_closure,validation,-0.20037388801574707,propagated_semantic,11,1.0,1.0,frozen_selected_union
11,hotpotqa,5ab7f97a5542991d322237ef,0.0,local_gist_closure,validation,-0.22017943859100342,propagated_semantic,11,1.0,0.0,frozen_selected_union
13,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_max_topk_p20,validation,-0.2844828963279724,root_semantic,11,1.0,1.0,frozen_selected_union
15,hotpotqa,5ab7f97a5542991d322237ef,1.0,native_qk_max_topk_p20,validation,-0.28513339161872864,root_semantic,11,1.0,1.0,frozen_selected_union
14,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_max_topk_p20,validation,-0.4190755784511566,root_semantic,11,0.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_max_topk_p20,validation,-0.46154168248176575,root_semantic,11,0.0,1.0,frozen_selected_union
11,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_max_topk_p20,validation,13.765511512756348,native_qk,11,1.0,0.0,frozen_selected_union
1,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_max_topk_p20,validation,13.717329025268555,native_qk,11,1.0,0.0,frozen_selected_union
13,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_top4_topk_p20,validation,-0.2844828963279724,root_semantic,11,1.0,1.0,frozen_selected_union
15,hotpotqa,5ab7f97a5542991d322237ef,1.0,native_qk_top4_topk_p20,validation,-0.28513339161872864,root_semantic,11,1.0,1.0,frozen_selected_union
14,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_top4_topk_p20,validation,-0.4190755784511566,root_semantic,11,0.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_top4_topk_p20,validation,-0.46154168248176575,root_semantic,11,1.0,1.0,frozen_selected_union
12,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_top4_topk_p20,validation,11.591724395751953,native_qk,11,1.0,1.0,frozen_selected_union
11,hotpotqa,5ab7f97a5542991d322237ef,0.0,native_qk_top4_topk_p20,validation,12.337677955627441,native_qk,11,1.0,0.0,frozen_selected_union
4,hotpotqa,5a8888e35542997e5c09a5f6,1.0,parent_closure,test,-0.5713778734207153,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a8888e35542997e5c09a5f6,1.0,local_gist_closure,test,-0.5713778734207153,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a8888e35542997e5c09a5f6,1.0,native_qk_max_topk_p20,test,-0.5713778734207153,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a8888e35542997e5c09a5f6,1.0,native_qk_top4_topk_p20,test,-0.5713778734207153,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a8c8502554299585d9e36d0,0.0,parent_closure,test,-0.6075038313865662,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5a8c8502554299585d9e36d0,0.0,parent_closure,test,-0.6195952892303467,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5a8c8502554299585d9e36d0,0.0,parent_closure,test,-0.40255701541900635,propagated_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a8c8502554299585d9e36d0,0.0,local_gist_closure,test,-0.6075038313865662,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5a8c8502554299585d9e36d0,0.0,local_gist_closure,test,-0.6195952892303467,root_semantic,11,0.0,1.0,frozen_selected_union
0,hotpotqa,5a8c8502554299585d9e36d0,0.0,local_gist_closure,test,0.061475154012441635,propagated_semantic,11,1.0,0.0,frozen_selected_union
1,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_max_topk_p20,test,-0.6075038313865662,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_max_topk_p20,test,-0.6195952892303467,root_semantic,11,0.0,1.0,frozen_selected_union
0,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_max_topk_p20,test,14.130678176879883,native_qk,11,1.0,0.0,frozen_selected_union
1,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_top4_topk_p20,test,-0.6075038313865662,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_top4_topk_p20,test,-0.6195952892303467,root_semantic,11,0.0,1.0,frozen_selected_union
0,hotpotqa,5a8c8502554299585d9e36d0,0.0,native_qk_top4_topk_p20,test,12.67516040802002,native_qk,11,1.0,0.0,frozen_selected_union
3,hotpotqa,5a84c4bb5542991dd0999dec,0.0,parent_closure,validation,0.3065039813518524,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,parent_closure,validation,0.23999083042144775,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,parent_closure,validation,0.04198361188173294,propagated_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a84c4bb5542991dd0999dec,0.0,local_gist_closure,validation,0.3065039813518524,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,local_gist_closure,validation,0.23999083042144775,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,local_gist_closure,validation,0.08015047013759613,propagated_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_max_topk_p20,validation,0.3065039813518524,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_max_topk_p20,validation,0.23999083042144775,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_max_topk_p20,validation,14.819657325744629,native_qk,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_top4_topk_p20,validation,0.3065039813518524,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_top4_topk_p20,validation,0.23999083042144775,root_semantic,11,1.0,1.0,frozen_selected_union
4,hotpotqa,5a84c4bb5542991dd0999dec,0.0,native_qk_top4_topk_p20,validation,12.586612701416016,native_qk,11,1.0,1.0,frozen_selected_union
6,hotpotqa,5abbd4035542993f40c73bcb,0.0,parent_closure,validation,0.04691172391176224,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,parent_closure,validation,-0.17255248129367828,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,parent_closure,validation,-0.3736240863800049,propagated_semantic,11,1.0,1.0,frozen_selected_union
6,hotpotqa,5abbd4035542993f40c73bcb,0.0,local_gist_closure,validation,0.04691172391176224,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,local_gist_closure,validation,-0.17255248129367828,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,local_gist_closure,validation,0.010170146822929382,propagated_semantic,11,1.0,1.0,frozen_selected_union
6,hotpotqa,5abbd4035542993f40c73bcb,0.0,native_qk_max_topk_p20,validation,0.04691172391176224,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,native_qk_max_topk_p20,validation,-0.17255248129367828,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,native_qk_max_topk_p20,validation,13.662693977355957,native_qk,11,1.0,1.0,frozen_selected_union
6,hotpotqa,5abbd4035542993f40c73bcb,0.0,native_qk_top4_topk_p20,validation,0.04691172391176224,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,native_qk_top4_topk_p20,validation,-0.17255248129367828,root_semantic,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5abbd4035542993f40c73bcb,1.0,native_qk_top4_topk_p20,validation,11.830741882324219,native_qk,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5ae6143f5542996de7b71b2d,0.0,parent_closure,validation,-0.1352088451385498,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ae6143f5542996de7b71b2d,0.0,parent_closure,validation,-0.18331457674503326,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ae6143f5542996de7b71b2d,0.0,parent_closure,validation,-0.3721548020839691,propagated_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5ae6143f5542996de7b71b2d,0.0,local_gist_closure,validation,-0.1352088451385498,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ae6143f5542996de7b71b2d,0.0,local_gist_closure,validation,-0.18331457674503326,root_semantic,11,0.0,1.0,frozen_selected_union
4,hotpotqa,5ae6143f5542996de7b71b2d,0.0,local_gist_closure,validation,0.14052382111549377,propagated_semantic,11,1.0,0.0,frozen_selected_union
0,hotpotqa,5ae6143f5542996de7b71b2d,0.0,native_qk_max_topk_p20,validation,-0.1352088451385498,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ae6143f5542996de7b71b2d,0.0,native_qk_max_topk_p20,validation,-0.18331457674503326,root_semantic,11,0.0,1.0,frozen_selected_union
6,hotpotqa,5ae6143f5542996de7b71b2d,1.0,native_qk_max_topk_p20,validation,14.78629207611084,native_qk,11,1.0,0.0,frozen_selected_union
0,hotpotqa,5ae6143f5542996de7b71b2d,0.0,native_qk_top4_topk_p20,validation,-0.1352088451385498,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5ae6143f5542996de7b71b2d,0.0,native_qk_top4_topk_p20,validation,-0.18331457674503326,root_semantic,11,0.0,1.0,frozen_selected_union
6,hotpotqa,5ae6143f5542996de7b71b2d,1.0,native_qk_top4_topk_p20,validation,12.686075210571289,native_qk,11,1.0,0.0,frozen_selected_union
3,hotpotqa,5a7e513a5542994959419996,1.0,parent_closure,validation,-0.33146223425865173,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a7e513a5542994959419996,1.0,local_gist_closure,validation,-0.33146223425865173,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a7e513a5542994959419996,1.0,native_qk_max_topk_p20,validation,-0.33146223425865173,root_semantic,11,1.0,1.0,frozen_selected_union
3,hotpotqa,5a7e513a5542994959419996,1.0,native_qk_top4_topk_p20,validation,-0.33146223425865173,root_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a80d6be55429938b6142206,0.0,parent_closure,test,-0.3971523940563202,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,parent_closure,test,-0.5010772347450256,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,parent_closure,test,-0.5562809109687805,propagated_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a80d6be55429938b6142206,0.0,local_gist_closure,test,-0.3971523940563202,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,local_gist_closure,test,-0.5010772347450256,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,local_gist_closure,test,0.0220692977309227,propagated_semantic,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_max_topk_p20,test,-0.3971523940563202,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_max_topk_p20,test,-0.5010772347450256,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_max_topk_p20,test,14.66147232055664,native_qk,11,1.0,1.0,frozen_selected_union
0,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_top4_topk_p20,test,-0.3971523940563202,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_top4_topk_p20,test,-0.5010772347450256,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5a80d6be55429938b6142206,0.0,native_qk_top4_topk_p20,test,12.62945556640625,native_qk,11,1.0,1.0,frozen_selected_union
2,hotpotqa,5ab88c075542991b5579efbe,0.0,parent_closure,test,-0.2240108847618103,root_semantic,11,1.0,1.0,frozen_selected_union
1,hotpotqa,5ab88c075542991b5579efbe,0.0,parent_closure,test,-0.29415056109428406,root_semantic,11,0.0,1.0,frozen_selected_union
0,hotpotqa,5ab88c075542991b5579efbe,0.0,parent_closure,test,-0.3113110065460205,propagated_semantic,11,1.0,0.0,frozen_selected_union
