chain_completion,complete_oracle,dataset,method,mode,one_shot_oracle_hit_preservation,oracle_jaccard,oracle_precision,oracle_recall,rows
0.08571428571428572,0.02857142857142857,hotpotqa,local_gist_closure,actual,0.9142857142857143,0.16666666666666666,0.32857142857142857,0.1904761904761905,35
0.08571428571428572,0.0,hotpotqa,local_gist_closure,family_quantile,0.9142857142857143,0.1476190476190476,0.3142857142857143,0.1761904761904762,35
0.11428571428571428,0.0,hotpotqa,local_gist_closure,family_zscore,0.9428571428571428,0.15714285714285714,0.32857142857142857,0.1904761904761905,35
0.05714285714285714,0.0,hotpotqa,native_qk_max_topk_p20,actual,0.8857142857142857,0.15714285714285714,0.32857142857142857,0.1904761904761905,35
0.02857142857142857,0.0,hotpotqa,native_qk_max_topk_p20,family_quantile,0.8571428571428571,0.1476190476190476,0.3142857142857143,0.1761904761904762,35
0.05714285714285714,0.0,hotpotqa,native_qk_max_topk_p20,family_zscore,0.8857142857142857,0.15714285714285714,0.32857142857142857,0.1904761904761905,35
0.05714285714285714,0.0,hotpotqa,native_qk_top4_topk_p20,actual,0.8857142857142857,0.16666666666666666,0.34285714285714286,0.20476190476190478,35
0.02857142857142857,0.0,hotpotqa,native_qk_top4_topk_p20,family_quantile,0.8571428571428571,0.1476190476190476,0.3142857142857143,0.1761904761904762,35
0.05714285714285714,0.0,hotpotqa,native_qk_top4_topk_p20,family_zscore,0.8857142857142857,0.16666666666666666,0.34285714285714286,0.20476190476190478,35
0.17142857142857143,0.0,hotpotqa,parent_closure,actual,1.0,0.19523809523809524,0.38571428571428573,0.2476190476190476,35
0.14285714285714285,0.0,hotpotqa,parent_closure,family_quantile,1.0,0.17619047619047618,0.35714285714285715,0.21904761904761905,35
0.17142857142857143,0.0,hotpotqa,parent_closure,family_zscore,1.0,0.18571428571428572,0.37142857142857144,0.2333333333333333,35
0.8333333333333334,0.8333333333333334,qasper,local_gist_closure,actual,1.0,0.2977777777777778,0.3044444444444444,0.9,30
0.8333333333333334,0.8333333333333334,qasper,local_gist_closure,family_quantile,1.0,0.2977777777777778,0.3044444444444444,0.9,30
0.8333333333333334,0.8333333333333334,qasper,local_gist_closure,family_zscore,1.0,0.2977777777777778,0.3044444444444444,0.9,30
0.8,0.8,qasper,native_qk_max_topk_p20,actual,0.9666666666666667,0.28111111111111114,0.28777777777777774,0.8666666666666667,30
0.8,0.8,qasper,native_qk_max_topk_p20,family_quantile,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
0.8,0.8,qasper,native_qk_max_topk_p20,family_zscore,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
0.8,0.8,qasper,native_qk_top4_topk_p20,actual,0.9,0.2677777777777778,0.2711111111111111,0.8333333333333334,30
0.8,0.8,qasper,native_qk_top4_topk_p20,family_quantile,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
0.8,0.8,qasper,native_qk_top4_topk_p20,family_zscore,0.9666666666666667,0.28111111111111114,0.28777777777777774,0.8666666666666667,30
0.8,0.8,qasper,parent_closure,actual,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
0.8,0.8,qasper,parent_closure,family_quantile,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
0.8,0.8,qasper,parent_closure,family_zscore,1.0,0.28777777777777774,0.2961111111111111,0.8833333333333333,30
