candidate_pool_fraction,dataset,fraction,method,replacement_hop2_fraction,root_selected_entropy,root_top1_top2_margin,rows,status
1.0,hotpotqa,0.05,local_gist_closure,0.0,0.0,,25,preserved
0.2,hotpotqa,0.05,native_qk_max_topk_p20,0.0,0.0,,25,preserved
0.2,hotpotqa,0.05,native_qk_top4_topk_p20,0.0,0.0,,25,preserved
1.0,hotpotqa,0.05,parent_closure,0.0,0.0,,25,preserved
1.0,hotpotqa,0.1,local_gist_closure,1.0,0.6926060120264689,0.0444742813706398,3,displaced
1.0,hotpotqa,0.1,local_gist_closure,0.0,0.0,,25,preserved
0.20000000000000004,hotpotqa,0.1,native_qk_max_topk_p20,1.0,0.6926060120264689,0.0444742813706398,3,displaced
0.2,hotpotqa,0.1,native_qk_max_topk_p20,0.0,0.0,,25,preserved
0.20000000000000004,hotpotqa,0.1,native_qk_top4_topk_p20,1.0,0.6926060120264689,0.0444742813706398,3,displaced
0.2,hotpotqa,0.1,native_qk_top4_topk_p20,0.0,0.0,,25,preserved
1.0,hotpotqa,0.1,parent_closure,0.0,0.07420778700283595,0.0444742813706398,28,preserved
1.0,hotpotqa,0.2,local_gist_closure,1.0,0.9679681777954101,0.044187995791435244,5,displaced
1.0,hotpotqa,0.2,local_gist_closure,0.15151515151515152,0.3355813225110372,0.0496552878847489,33,preserved
0.2,hotpotqa,0.2,native_qk_max_topk_p20,1.0,0.8893135615757534,0.04520631794418607,7,displaced
0.2,hotpotqa,0.2,native_qk_max_topk_p20,0.1935483870967742,0.3125428903487421,0.05000131780450994,31,preserved
0.20000000000000004,hotpotqa,0.2,native_qk_top4_topk_p20,1.0,0.9221629103024801,0.03836039453744888,6,displaced
0.2,hotpotqa,0.2,native_qk_top4_topk_p20,0.21875,0.32440772093832493,0.05302469618618488,32,preserved
1.0,hotpotqa,0.2,parent_closure,0.05263157894736842,0.418790119258981,0.048136595636606216,38,preserved
1.0,hotpotqa,0.3,local_gist_closure,1.0,0.9649039552761958,0.05240360131630531,26,displaced
1.0,hotpotqa,0.3,local_gist_closure,0.40384615384615385,0.880604510123913,0.06215771961097534,52,preserved
0.20000000000000004,hotpotqa,0.3,native_qk_max_topk_p20,1.0,0.919994498292605,0.05458990142991146,24,displaced
0.2,hotpotqa,0.3,native_qk_max_topk_p20,0.42592592592592593,0.9036864704555936,0.060824767031051497,54,preserved
0.2,hotpotqa,0.3,native_qk_top4_topk_p20,1.0,0.9122402357018512,0.05667687013097431,23,displaced
0.2,hotpotqa,0.3,native_qk_top4_topk_p20,0.4,0.9072256716814908,0.05983867347240448,55,preserved
1.0,hotpotqa,0.3,parent_closure,1.0,0.9575188867747784,0.06992981815710664,16,displaced
1.0,hotpotqa,0.3,parent_closure,0.20967741935483872,0.8961070189552922,0.056061580056144346,62,preserved
