classification,example_id,local_semantic_rank,native_qk_rank,parent_semantic_rank,seed,transition
both_near_top,5adc3aff5542996e685252eb,3,3,3,11,0
both_near_top,5ab56db7554299494045efc6,1,1,2,11,0
semantic_wins,5ab2b863554299295394685a,1,5,1,11,0
both_near_top,5a710a915542994082a3e504,1,2,4,11,0
both_near_top,5adc93a4554299438c868e01,3,1,3,11,0
semantic_wins,5ab7f97a5542991d322237ef,3,14,1,11,0
both_near_top,5a8888e35542997e5c09a5f6,2,3,2,11,0
native_qk_wins,5a8c8502554299585d9e36d0,6,3,6,11,0
both_near_top,5a84c4bb5542991dd0999dec,1,4,3,11,0
semantic_wins,5abbd4035542993f40c73bcb,6,6,4,11,0
both_near_top,5ae6143f5542996de7b71b2d,4,2,4,11,0
both_near_top,5a7e513a5542994959419996,1,3,1,11,0
both_poor,5a80d6be55429938b6142206,5,5,5,11,0
native_qk_wins,5ab88c075542991b5579efbe,5,1,5,11,0
both_near_top,5a714b645542994082a3e78b,1,2,2,11,0
native_qk_wins,5abce85755429959677d6b3e,5,4,5,11,0
both_near_top,5abce85755429959677d6b3e,4,1,3,11,1
both_near_top,5adc3aff5542996e685252eb,4,3,3,23,0
both_near_top,5ab56db7554299494045efc6,1,1,2,23,0
semantic_wins,5ab2b863554299295394685a,3,5,1,23,0
both_near_top,5a710a915542994082a3e504,1,2,4,23,0
both_near_top,5adc93a4554299438c868e01,3,1,3,23,0
semantic_wins,5ab7f97a5542991d322237ef,4,14,3,23,0
both_near_top,5a8888e35542997e5c09a5f6,3,3,3,23,0
native_qk_wins,5a8c8502554299585d9e36d0,5,3,5,23,0
both_near_top,5a84c4bb5542991dd0999dec,1,4,3,23,0
semantic_wins,5abbd4035542993f40c73bcb,6,6,4,23,0
both_near_top,5ae6143f5542996de7b71b2d,3,2,4,23,0
both_near_top,5a7e513a5542994959419996,1,3,1,23,0
both_poor,5a80d6be55429938b6142206,5,5,5,23,0
both_near_top,5ab88c075542991b5579efbe,3,1,3,23,0
both_near_top,5a714b645542994082a3e78b,2,2,2,23,0
both_near_top,5abce85755429959677d6b3e,4,4,6,23,0
native_qk_wins,5abce85755429959677d6b3e,7,1,6,23,1
both_near_top,5adc3aff5542996e685252eb,2,3,1,37,0
both_near_top,5ab56db7554299494045efc6,1,1,2,37,0
semantic_wins,5ab2b863554299295394685a,4,5,2,37,0
both_near_top,5a710a915542994082a3e504,1,2,4,37,0
both_near_top,5adc93a4554299438c868e01,2,1,3,37,0
semantic_wins,5ab7f97a5542991d322237ef,4,14,2,37,0
both_near_top,5a8888e35542997e5c09a5f6,3,3,2,37,0
native_qk_wins,5a8c8502554299585d9e36d0,5,3,6,37,0
both_near_top,5a84c4bb5542991dd0999dec,3,4,5,37,0
semantic_wins,5abbd4035542993f40c73bcb,3,6,5,37,0
both_near_top,5ae6143f5542996de7b71b2d,1,2,1,37,0
both_near_top,5a7e513a5542994959419996,2,3,2,37,0
both_poor,5a80d6be55429938b6142206,5,5,5,37,0
both_near_top,5ab88c075542991b5579efbe,4,1,1,37,0
both_near_top,5a714b645542994082a3e78b,3,2,2,37,0
both_near_top,5abce85755429959677d6b3e,5,4,3,37,0
native_qk_wins,5abce85755429959677d6b3e,7,1,7,37,1
both_near_top,5adc3aff5542996e685252eb,3,3,3,53,0
both_near_top,5ab56db7554299494045efc6,1,1,1,53,0
semantic_wins,5ab2b863554299295394685a,2,5,2,53,0
both_near_top,5a710a915542994082a3e504,1,2,4,53,0
both_near_top,5adc93a4554299438c868e01,1,1,3,53,0
semantic_wins,5ab7f97a5542991d322237ef,2,14,2,53,0
both_near_top,5a8888e35542997e5c09a5f6,1,3,2,53,0
native_qk_wins,5a8c8502554299585d9e36d0,5,3,6,53,0
both_near_top,5a84c4bb5542991dd0999dec,2,4,3,53,0
both_poor,5abbd4035542993f40c73bcb,6,6,5,53,0
both_near_top,5ae6143f5542996de7b71b2d,3,2,4,53,0
both_near_top,5a7e513a5542994959419996,2,3,2,53,0
both_poor,5a80d6be55429938b6142206,5,5,5,53,0
both_near_top,5ab88c075542991b5579efbe,5,1,3,53,0
both_near_top,5a714b645542994082a3e78b,3,2,2,53,0
native_qk_wins,5abce85755429959677d6b3e,5,4,6,53,0
both_near_top,5abce85755429959677d6b3e,4,1,4,53,1
both_near_top,5adc3aff5542996e685252eb,3,3,2,71,0
both_near_top,5ab56db7554299494045efc6,1,1,2,71,0
semantic_wins,5ab2b863554299295394685a,4,5,2,71,0
both_near_top,5a710a915542994082a3e504,1,2,4,71,0
both_near_top,5adc93a4554299438c868e01,3,1,3,71,0
semantic_wins,5ab7f97a5542991d322237ef,5,14,2,71,0
both_near_top,5a8888e35542997e5c09a5f6,2,3,2,71,0
both_near_top,5a8c8502554299585d9e36d0,4,3,5,71,0
both_near_top,5a84c4bb5542991dd0999dec,4,4,3,71,0
semantic_wins,5abbd4035542993f40c73bcb,5,6,3,71,0
both_near_top,5ae6143f5542996de7b71b2d,1,2,2,71,0
both_near_top,5a7e513a5542994959419996,2,3,1,71,0
both_poor,5a80d6be55429938b6142206,5,5,5,71,0
both_near_top,5ab88c075542991b5579efbe,1,1,1,71,0
both_near_top,5a714b645542994082a3e78b,1,2,1,71,0
both_near_top,5abce85755429959677d6b3e,6,4,4,71,0
both_near_top,5abce85755429959677d6b3e,2,1,5,71,1
