dataset,example_id,interaction_class,E_global_native_mean,F_multi_span_native_mean,C_global_split_head,D_multi_span_split_head
hotpotqa,5a710a915542994082a3e504,no_unique_gain,0.0,1.0,1.0,1.0
hotpotqa,5a80d6be55429938b6142206,head_only_gain,0.0,0.0,1.0,0.0
hotpotqa,5a8888e35542997e5c09a5f6,no_unique_gain,0.0,0.0,0.0,0.0
hotpotqa,5a8c8502554299585d9e36d0,no_unique_gain,1.0,1.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,no_unique_gain,1.0,1.0,1.0,0.0
hotpotqa,5ab88c075542991b5579efbe,no_unique_gain,0.0,0.0,0.0,0.0
hotpotqa,5adc93a4554299438c868e01,no_unique_gain,0.0,0.0,0.0,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,no_unique_gain,1.0,1.0,1.0,1.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,no_unique_gain,0.0,1.0,1.0,1.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,head_only_gain,0.0,0.0,1.0,1.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,no_unique_gain,1.0,1.0,1.0,1.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,no_unique_gain,0.0,0.0,0.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,no_unique_gain,0.0,0.0,0.0,0.0
