dataset,seed,example_id,relational_gap,delta_any,delta_all,delta_chain,delta_coverage,gap_quartile
hotpotqa,11,5a710a915542994082a3e504,0.09854746237397194,0.0,0.0,0.0,-0.25,1
hotpotqa,23,5a710a915542994082a3e504,0.22311802953481674,0.0,0.0,0.0,0.0,1
hotpotqa,53,5a710a915542994082a3e504,0.3436364307999611,0.0,-1.0,0.0,-0.25,1
hotpotqa,23,5abbd4035542993f40c73bcb,0.47169986526880947,0.0,0.0,0.0,0.14285714285714285,1
hotpotqa,23,5adc3aff5542996e685252eb,0.5348006784915924,0.0,0.0,0.0,0.0,1
hotpotqa,23,5a714b645542994082a3e78b,0.5604504391551017,0.0,0.0,0.0,-0.2,1
hotpotqa,23,5a84c4bb5542991dd0999dec,0.5810711150988936,0.0,0.0,0.0,0.0,1
hotpotqa,11,5a714b645542994082a3e78b,0.5864728644490242,0.0,0.0,0.0,0.0,1
hotpotqa,23,5adc93a4554299438c868e01,0.6255496636033058,0.0,0.0,0.0,0.0,1
hotpotqa,11,5adc3aff5542996e685252eb,0.634968101978302,0.0,0.0,0.0,0.0,1
hotpotqa,53,5adc3aff5542996e685252eb,0.6527511654421687,0.0,0.0,0.0,0.0,1
hotpotqa,53,5adc93a4554299438c868e01,0.6697402141988278,0.0,0.0,0.0,0.0,1
hotpotqa,11,5adc93a4554299438c868e01,0.6868209347128869,0.0,0.0,0.0,0.0,1
hotpotqa,23,5abce85755429959677d6b3e,0.7084071710705757,0.0,0.0,0.0,0.0,1
hotpotqa,23,5ae6143f5542996de7b71b2d,0.7153503745794296,0.0,0.0,0.0,0.0,1
hotpotqa,53,5a84c4bb5542991dd0999dec,0.7361563501347389,1.0,0.0,0.0,0.14285714285714285,1
hotpotqa,71,5adc3aff5542996e685252eb,0.7371032889932394,0.0,0.0,0.0,-0.25,1
hotpotqa,53,5abbd4035542993f40c73bcb,0.738583390201841,0.0,0.0,0.0,0.0,1
hotpotqa,11,5abbd4035542993f40c73bcb,0.763619724927204,0.0,0.0,0.0,0.0,1
hotpotqa,11,5a84c4bb5542991dd0999dec,0.8330384290644101,0.0,0.0,0.0,0.0,1
hotpotqa,71,5a710a915542994082a3e504,0.8771988488733768,0.0,0.0,0.0,0.0,2
hotpotqa,71,5abbd4035542993f40c73bcb,0.8901876509189606,0.0,0.0,0.0,-0.14285714285714285,2
hotpotqa,53,5a714b645542994082a3e78b,0.8956335876137018,0.0,0.0,0.0,0.2,2
hotpotqa,53,5abce85755429959677d6b3e,0.8986614880462488,0.0,0.0,0.0,0.0,2
hotpotqa,71,5a84c4bb5542991dd0999dec,0.9258806673543793,0.0,0.0,0.0,0.0,2
hotpotqa,71,5a714b645542994082a3e78b,0.9390390187501907,-1.0,0.0,0.0,-0.2,2
hotpotqa,71,5adc93a4554299438c868e01,0.9415298253297806,0.0,0.0,0.0,0.0,2
hotpotqa,71,5ae6143f5542996de7b71b2d,0.9455282501876354,0.0,0.0,0.0,0.0,2
hotpotqa,53,5ae6143f5542996de7b71b2d,0.9588897570967674,0.0,0.0,0.0,-0.2,2
hotpotqa,23,5a7e513a5542994959419996,0.9765590634196997,0.0,0.0,0.0,0.0,2
hotpotqa,53,5ab7f97a5542991d322237ef,0.9817674150690436,0.0,0.0,0.0,0.0,2
hotpotqa,37,5a710a915542994082a3e504,0.9875218570232391,0.0,0.0,0.0,0.0,2
hotpotqa,11,5ae6143f5542996de7b71b2d,0.9889672100543976,-1.0,0.0,0.0,-0.2,2
hotpotqa,23,5a80d6be55429938b6142206,1.0134524665772915,0.0,0.0,0.0,0.0,2
hotpotqa,53,5a7e513a5542994959419996,1.0247195400297642,0.0,0.0,0.0,0.0,2
hotpotqa,53,5ab88c075542991b5579efbe,1.0504227979108691,0.0,0.0,0.0,0.0,2
hotpotqa,11,5ab88c075542991b5579efbe,1.0538356956094503,0.0,0.0,0.0,0.0,2
hotpotqa,23,5ab7f97a5542991d322237ef,1.0581833068281412,0.0,0.0,0.0,0.0,2
hotpotqa,23,5ab88c075542991b5579efbe,1.0750053832307458,0.0,0.0,0.0,0.0,2
hotpotqa,37,5adc3aff5542996e685252eb,1.0853796042501926,0.0,0.0,0.0,0.0,2
hotpotqa,53,5ab2b863554299295394685a,1.1047613670428593,0.0,0.0,0.0,0.0,3
hotpotqa,11,5a7e513a5542994959419996,1.1180384941399097,0.0,0.0,0.0,0.0,3
hotpotqa,71,5ab88c075542991b5579efbe,1.1275261398404837,1.0,0.0,0.0,0.25,3
hotpotqa,37,5abbd4035542993f40c73bcb,1.1280808065618788,0.0,0.0,0.0,0.0,3
hotpotqa,71,5abce85755429959677d6b3e,1.1424411162734032,0.0,0.0,0.0,0.0,3
hotpotqa,11,5ab7f97a5542991d322237ef,1.1446310244500637,-1.0,0.0,0.0,-0.25,3
hotpotqa,53,5a8888e35542997e5c09a5f6,1.1448607053607702,0.0,0.0,0.0,0.25,3
hotpotqa,23,5a8888e35542997e5c09a5f6,1.145817592740059,0.0,0.0,0.0,0.0,3
hotpotqa,11,5abce85755429959677d6b3e,1.1552633792161942,0.0,0.0,0.0,0.0,3
hotpotqa,53,5a80d6be55429938b6142206,1.1552850008010864,0.0,0.0,0.0,0.0,3
hotpotqa,53,5ab56db7554299494045efc6,1.162286689504981,0.0,0.0,0.0,0.0,3
hotpotqa,37,5adc93a4554299438c868e01,1.1757308423519135,0.0,0.0,0.0,0.0,3
hotpotqa,11,5ab2b863554299295394685a,1.231507768233617,0.0,0.0,0.0,0.0,3
hotpotqa,11,5ab56db7554299494045efc6,1.2364094518125057,0.0,0.0,1.0,0.25,3
hotpotqa,23,5a8c8502554299585d9e36d0,1.2445933245122434,0.0,0.0,0.0,0.0,3
hotpotqa,37,5a84c4bb5542991dd0999dec,1.2478185083184923,0.0,0.0,0.0,0.0,3
hotpotqa,23,5ab56db7554299494045efc6,1.2753460928797722,0.0,0.0,0.0,0.0,3
hotpotqa,71,5a7e513a5542994959419996,1.2806060910224915,0.0,0.0,0.0,0.0,3
hotpotqa,37,5a714b645542994082a3e78b,1.3021644294261931,0.0,0.0,0.0,0.0,3
hotpotqa,37,5ae6143f5542996de7b71b2d,1.306356319785118,0.0,0.0,0.0,0.0,3
hotpotqa,23,5ab2b863554299295394685a,1.314241091410319,-1.0,0.0,0.0,-0.3333333333333333,4
hotpotqa,71,5a8c8502554299585d9e36d0,1.314246368408203,0.0,0.0,0.0,0.0,4
hotpotqa,11,5a80d6be55429938b6142206,1.3188709393143654,0.0,0.0,0.0,0.0,4
hotpotqa,11,5a8888e35542997e5c09a5f6,1.3226497918367386,0.0,0.0,0.0,0.25,4
hotpotqa,37,5ab88c075542991b5579efbe,1.324038565158844,0.0,0.0,0.0,0.0,4
hotpotqa,53,5a8c8502554299585d9e36d0,1.350946444272995,0.0,0.0,0.0,0.0,4
hotpotqa,71,5ab7f97a5542991d322237ef,1.3670279383659363,0.0,0.0,0.0,0.0,4
hotpotqa,37,5abce85755429959677d6b3e,1.3801676481962204,0.0,0.0,0.0,0.0,4
hotpotqa,71,5a80d6be55429938b6142206,1.398620031774044,0.0,0.0,0.0,0.0,4
hotpotqa,71,5ab2b863554299295394685a,1.401290277640025,-1.0,0.0,0.0,-0.3333333333333333,4
hotpotqa,37,5a7e513a5542994959419996,1.4444897323846817,0.0,0.0,0.0,0.0,4
hotpotqa,71,5ab56db7554299494045efc6,1.458578735589981,0.0,0.0,0.0,0.0,4
hotpotqa,11,5a8c8502554299585d9e36d0,1.4588718950748443,0.0,0.0,0.0,0.0,4
hotpotqa,71,5a8888e35542997e5c09a5f6,1.459407314658165,0.0,0.0,0.0,0.5,4
hotpotqa,37,5ab2b863554299295394685a,1.473169356584549,0.0,0.0,0.0,0.0,4
hotpotqa,37,5ab56db7554299494045efc6,1.4974578320980072,0.0,0.0,0.0,0.0,4
hotpotqa,37,5a80d6be55429938b6142206,1.5136821120977402,0.0,0.0,0.0,0.0,4
hotpotqa,37,5a8c8502554299585d9e36d0,1.522042989730835,0.0,0.0,0.0,0.0,4
hotpotqa,37,5ab7f97a5542991d322237ef,1.5659890323877335,0.0,0.0,0.0,0.25,4
hotpotqa,37,5a8888e35542997e5c09a5f6,1.616993859410286,0.0,0.0,0.0,0.0,4
qasper,11,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.06944374243418376,0.0,0.0,0.0,0.0,1
qasper,53,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.26998119552930194,0.0,0.0,0.0,0.0,1
qasper,23,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.34110547105471295,0.0,0.0,0.0,0.0,1
qasper,11,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.372746741771698,0.0,0.0,0.0,0.0,1
qasper,71,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.4521530518929164,0.0,0.0,0.0,0.0,1
qasper,23,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.4544677555561066,0.0,-1.0,0.0,-0.19999999999999996,1
qasper,11,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.46773410169407725,0.0,0.0,0.0,0.0,1
qasper,11,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.46892849530559033,0.0,0.0,0.0,0.0,1
qasper,53,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.5141143798828125,0.0,0.0,0.0,0.0,1
qasper,11,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.5270646413167318,0.0,0.0,0.0,-0.06666666666666668,1
qasper,37,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.52820885181427,0.0,0.0,0.0,0.0,1
qasper,11,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.5312073986445155,0.0,0.0,0.0,0.0,1
qasper,53,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.5546488799154758,0.0,0.0,0.0,-0.25,1
qasper,71,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.5738397657871246,0.0,0.0,0.0,0.0,1
qasper,11,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,0.5924366414546967,0.0,0.0,0.0,0.0,1
qasper,11,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.6160019516944886,0.0,0.0,0.0,0.0,1
qasper,23,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.624448861926794,0.0,0.0,0.0,0.0,1
qasper,23,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.6653600686362812,0.0,0.0,0.0,-0.14285714285714285,1
qasper,23,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,0.6728686697781086,0.0,0.0,0.0,0.20000000000000007,2
qasper,71,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.7100118268281221,0.0,0.0,0.0,0.0,2
qasper,23,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.7298775464296341,0.0,0.0,0.0,0.25,2
qasper,53,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.7340848796069622,0.0,0.0,0.0,0.0,2
qasper,11,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.7346926336841924,0.0,0.0,0.0,0.0,2
qasper,53,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,0.7404183633625507,0.0,1.0,0.0,0.19999999999999996,2
qasper,23,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.7452576220035553,0.0,0.0,0.0,0.06666666666666665,2
qasper,53,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.7613808097583907,0.0,0.0,0.0,0.14285714285714285,2
qasper,53,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.7852219836786389,0.0,0.0,0.0,0.125,2
qasper,11,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0.7863001488149166,-1.0,0.0,-1.0,-0.125,2
qasper,37,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.7906883083283901,0.0,0.0,0.0,0.0,2
qasper,53,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,0.7909039010604223,0.0,0.0,0.0,0.0,2
qasper,53,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.793329199962318,0.0,0.0,0.0,0.0,2
qasper,53,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0.8167360606603324,0.0,0.0,0.0,0.0,2
qasper,23,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.8317976828132357,0.0,0.0,0.0,0.0,2
