dataset,example_id,best_fixed_channel,best_fixed_recall,oracle_channel,oracle_recall,headroom,static_hybrid_recall,adaptive_channel,adaptive_recall
hotpotqa,5adc3aff5542996e685252eb,gist,0.0,exact,0.5,0.5,0.25,iterative_hybrid,0.25
hotpotqa,5ab56db7554299494045efc6,gist,0.25,exact,0.75,0.5,0.75,exact,0.75
hotpotqa,5ab2b863554299295394685a,gist,0.3333333333333333,gist,0.3333333333333333,0.0,0.3333333333333333,exact,0.3333333333333333
hotpotqa,5a710a915542994082a3e504,gist,0.5,bm25,0.75,0.25,0.25,bm25,0.75
hotpotqa,5adc93a4554299438c868e01,gist,0.0,bm25,0.4,0.4,0.0,bm25,0.4
hotpotqa,5ab7f97a5542991d322237ef,gist,0.5,bm25,0.75,0.25,0.5,iterative_hybrid,0.75
hotpotqa,5a8888e35542997e5c09a5f6,gist,0.0,exact,0.25,0.25,0.0,hybrid,0.0
hotpotqa,5a8c8502554299585d9e36d0,gist,0.0,bm25,0.6,0.6,0.4,iterative_hybrid,0.2
hotpotqa,5a84c4bb5542991dd0999dec,gist,0.2857142857142857,hybrid,0.42857142857142855,0.14285714285714285,0.42857142857142855,iterative_hybrid,0.14285714285714285
hotpotqa,5abbd4035542993f40c73bcb,gist,0.14285714285714285,exact,0.5714285714285714,0.42857142857142855,0.5714285714285714,exact,0.5714285714285714
hotpotqa,5ae6143f5542996de7b71b2d,gist,0.2,gist,0.2,0.0,0.0,hybrid,0.0
hotpotqa,5a7e513a5542994959419996,gist,0.0,bm25,0.75,0.75,0.5,iterative_hybrid,0.5
hotpotqa,5a80d6be55429938b6142206,gist,0.0,exact,0.25,0.25,0.25,hybrid,0.25
hotpotqa,5ab88c075542991b5579efbe,gist,0.0,bm25,0.75,0.75,0.0,exact,0.0
hotpotqa,5a714b645542994082a3e78b,gist,0.2,gist,0.2,0.0,0.2,hybrid,0.2
hotpotqa,5abce85755429959677d6b3e,gist,0.0,approx,0.3333333333333333,0.3333333333333333,0.16666666666666666,bm25,0.16666666666666666
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,exact,0.6666666666666666,exact,0.6666666666666666,0.0,0.0,hybrid,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,exact,0.0,gist,0.14285714285714285,0.14285714285714285,0.0,hybrid,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,exact,0.07692307692307693,exact,0.07692307692307693,0.0,0.0,hybrid,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,exact,0.2857142857142857,exact,0.2857142857142857,0.0,0.0,iterative_hybrid,0.0
