split,dataset,example_id,left_channel,right_channel,selected_jaccard,shared_gold_chunks
validation,hotpotqa,5a8cefc155429941ae14df55,gist,exact,0.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,gist,bm25,0.3333333333333333,1
validation,hotpotqa,5a8cefc155429941ae14df55,gist,approx,0.14285714285714285,0
validation,hotpotqa,5a8cefc155429941ae14df55,gist,hybrid,0.14285714285714285,0
validation,hotpotqa,5a8cefc155429941ae14df55,gist,iterative_hybrid,0.14285714285714285,0
validation,hotpotqa,5a8cefc155429941ae14df55,exact,bm25,0.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,exact,approx,0.3333333333333333,0
validation,hotpotqa,5a8cefc155429941ae14df55,exact,hybrid,0.3333333333333333,0
validation,hotpotqa,5a8cefc155429941ae14df55,exact,iterative_hybrid,0.14285714285714285,0
validation,hotpotqa,5a8cefc155429941ae14df55,bm25,approx,0.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,bm25,hybrid,0.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,bm25,iterative_hybrid,0.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,approx,hybrid,1.0,0
validation,hotpotqa,5a8cefc155429941ae14df55,approx,iterative_hybrid,0.3333333333333333,0
validation,hotpotqa,5a8cefc155429941ae14df55,hybrid,iterative_hybrid,0.3333333333333333,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,exact,0.0,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,bm25,0.14285714285714285,1
validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,approx,0.14285714285714285,1
validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,hybrid,0.14285714285714285,1
validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,iterative_hybrid,0.14285714285714285,1
validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,bm25,0.3333333333333333,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,approx,0.6,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,hybrid,0.6,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,iterative_hybrid,0.3333333333333333,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,bm25,approx,0.6,1
