dataset,channel,examples,evidence_recall,recall_ci95_low,recall_ci95_high,precision,precision_ci95_low,precision_ci95_high,mrr,complete_path,mean_requested_chunks,mean_search_comparisons
qasper,gist,16,0.03794642857142857,0.004464285714285714,0.07589285714285714,0.0625,0.015625,0.125,0.13020833333333331,0.0,4.0,142.625
qasper,exact,16,0.17762019230769233,0.09626488095238095,0.2709684065934066,0.3125,0.1875,0.4375,0.4427083333333333,0.0,4.0,285.25
qasper,bm25,16,0.04163804945054945,0.004807692307692308,0.09297733516483517,0.09375,0.015625,0.203125,0.13541666666666666,0.0,4.0,285.25
qasper,approx,16,0.03739697802197803,0.004807692307692308,0.078125,0.078125,0.015625,0.15625,0.140625,0.0,4.0,285.25
qasper,hybrid,16,0.04352678571428571,0.0078125,0.09040178571428571,0.078125,0.015625,0.15625,0.125,0.0,4.0,285.25
qasper,iterative_hybrid,16,0.08102678571428572,0.028125,0.14174107142857142,0.125,0.046875,0.234375,0.17708333333333331,0.0,4.0,855.75
hotpotqa,gist,16,0.15074404761904764,0.06979166666666665,0.24107142857142855,0.171875,0.078125,0.265625,0.2760416666666667,0.0,4.0,50.125
hotpotqa,exact,16,0.2869047619047619,0.178125,0.3927083333333333,0.328125,0.203125,0.46875,0.5677083333333333,0.0,4.0,100.25
hotpotqa,bm25,16,0.3977678571428572,0.2824404761904762,0.5163690476190476,0.453125,0.328125,0.578125,0.875,0.0,4.0,100.25
hotpotqa,approx,16,0.3014880952380952,0.21502976190476192,0.39508928571428575,0.359375,0.25,0.484375,0.734375,0.0,4.0,100.25
hotpotqa,hybrid,16,0.2875,0.18050595238095238,0.3976190476190476,0.34375,0.203125,0.484375,0.6354166666666666,0.0,4.0,100.25
hotpotqa,iterative_hybrid,16,0.2794642857142857,0.1797619047619048,0.396875,0.3125,0.203125,0.4375,0.6458333333333334,0.0,4.0,300.75
2wikimultihopqa,gist,24,0.13182870370370373,0.08055555555555555,0.18252314814814818,0.1875,0.11458333333333333,0.2708333333333333,0.3020833333333333,0.0,4.0,41.875
2wikimultihopqa,exact,24,0.19606481481481483,0.1298611111111111,0.2728009259259259,0.23958333333333334,0.15625,0.3333333333333333,0.4895833333333334,0.0,4.0,83.75
2wikimultihopqa,bm25,24,0.26168981481481485,0.1761574074074074,0.3531250000000001,0.3125,0.21875,0.40625,0.6111111111111112,0.0,4.0,83.75
2wikimultihopqa,approx,24,0.20300925925925928,0.13877314814814817,0.2693287037037037,0.25,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.0,4.0,83.75
2wikimultihopqa,hybrid,24,0.20335648148148147,0.1255787037037037,0.2837962962962963,0.25,0.15625,0.34375,0.46527777777777773,0.0,4.0,83.75
2wikimultihopqa,iterative_hybrid,24,0.18564814814814815,0.11365740740740742,0.26064814814814813,0.25,0.15625,0.3541666666666667,0.4583333333333333,0.0,4.0,251.25
musique,gist,18,0.10842444592444593,0.07209757834757834,0.14875841750841748,0.3333333333333333,0.25,0.4166666666666667,0.5462962962962963,0.0,4.0,81.61111111111111
musique,exact,18,0.13583095145595148,0.086895165020165,0.1908790283790284,0.4166666666666667,0.3055555555555556,0.5277777777777778,0.8333333333333334,0.0,4.0,163.22222222222223
musique,bm25,18,0.13214759777259777,0.09486774799274801,0.16995041995041998,0.4305555555555556,0.3194444444444444,0.5416666666666666,0.7962962962962963,0.0,4.0,163.22222222222223
musique,approx,18,0.15585271210271212,0.1215351777851778,0.19412740037740034,0.5138888888888888,0.4166666666666667,0.625,0.8333333333333334,0.0,4.0,163.22222222222223
musique,hybrid,18,0.15068646631146634,0.11336071336071335,0.18942400192400197,0.5,0.3888888888888889,0.6111111111111112,0.8055555555555556,0.0,4.0,163.22222222222223
musique,iterative_hybrid,18,0.146222064972065,0.09590201465201466,0.1998408998408999,0.4722222222222222,0.3333333333333333,0.6111111111111112,0.7777777777777778,0.0,4.0,489.6666666666667
