split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons,selected_chunk_ids,positive_chunk_ids,selected_hops,selected_hop_pairs,channel
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49,4,49,0,0,0.0,4,1.8053001258522272,3.7313001230359077,0.0,5.536600248888135,49,0,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=24|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=25,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|1|1,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=24@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=25@1,gist
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,B2_exact,0.25,0.25,0.25,0.16812753627111746,1.0,0.0,0.75,49,4,49,0,0,0.0,3,39.39589997753501,3.145799972116947,23.976899916306138,66.5185998659581,49,49,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=0|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=12|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|1|1,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=0@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=1@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=12@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15@1,exact
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,B1_bm25,0.75,0.75,1.0,0.75369761125927,1.0,0.0,0.25,49,4,49,0,0,0.0,1,39.454700192436576,3.3587999641895294,20.79760003834963,63.611100194975734,49,49,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|1|1,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33@1,bm25
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,B4_approx,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,49,4,49,0,0,0.0,2,32.24910004064441,3.4702999982982874,23.061800049617887,58.78120008856058,49,49,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=12|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=8,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|1|1,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=12@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=8@1,approx
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49,4,49,0,0,0.0,4,42.43350005708635,4.126299871131778,25.76359990052879,72.32339982874691,49,49,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=24|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=40,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|1|1,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=24@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=40@1,hybrid
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,H5_iterative_hybrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49,4,49,0,0,0.0,4,93.1468999478966,4.124200204387307,25.07240022532642,122.34350037761033,147,147,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=44|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=29,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=16|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=33|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=34,1|1|2|2,benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=27@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=30@1|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=44@2|benchmark://2wikimultihopqa/0008d48808a011ebbd78ac1f6bf848b6#chunk=29@2,iterative_hybrid
test,2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,B0_gist,0.25,0.25,0.5,0.24630238874073,1.0,0.0,0.75,25,4,25,0,0,0.0,3,2.0539001561701298,2.8911998961120844,0.0,4.945100052282214,25,0,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=18|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=13,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=10|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9,1|1|1|1,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=18@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=13@1,gist
test,2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,B2_exact,0.75,0.75,1.0,0.8048099750039491,1.0,0.0,0.25,25,4,25,0,0,0.0,1,36.13459994085133,2.3040000814944506,13.365099905058742,51.80369992740452,25,25,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=10|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9,1|1|1|1,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11@1,exact
test,2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,B1_bm25,0.75,0.75,1.0,0.75369761125927,1.0,0.0,0.25,25,4,25,0,0,0.0,1,36.29449987784028,2.512000035494566,14.319200068712234,53.12569998204708,25,25,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=12|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=10|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9,1|1|1|1,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=12@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11@1,bm25
test,2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,B4_approx,0.5,0.5,1.0,0.6366824387328317,1.0,0.0,0.5,25,4,25,0,0,0.0,2,39.809700101614,2.5747998151928186,13.362899888306856,55.74739980511367,25,25,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=12,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=10|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=11|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9,1|1|1|1,benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=9@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=15@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=0@1|benchmark://2wikimultihopqa/0017cac508be11ebbd8aac1f6bf848b6#chunk=12@1,approx
