split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons,selected_chunk_ids,positive_chunk_ids,selected_hops,selected_hop_pairs,channel
validation,hotpotqa,5a8cefc155429941ae14df55,B0_gist,0.2,0.25,0.25,0.16812753627111746,1.0,0.0,0.8,60,4,60,0,0,0.0,3,3.0241000931710005,5.112999817356467,0.0,8.137099910527468,60,0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|1|1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52@1,gist
validation,hotpotqa,5a8cefc155429941ae14df55,B2_exact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,70.33849996514618,4.525900119915605,27.238900074735284,102.10330015979707,60,60,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=43|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|1|1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=43@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45@1,exact
validation,hotpotqa,5a8cefc155429941ae14df55,B1_bm25,0.4,0.5,0.5,0.4144299250118475,1.0,0.0,0.6,60,4,60,0,0,0.0,2,71.6512999497354,4.823399940505624,28.375699883326888,104.85039977356791,60,60,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=16|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|1|1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=16@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50@1,bm25
validation,hotpotqa,5a8cefc155429941ae14df55,B4_approx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,170.3630001284182,7.7349001076072454,28.311100089922547,206.409000325948,60,60,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=49,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|1|1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=49@1,approx
validation,hotpotqa,5a8cefc155429941ae14df55,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,69.88359987735748,4.7645000740885735,27.893400052562356,102.54150000400841,60,60,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=49|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|1|1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=49@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45@1,hybrid
validation,hotpotqa,5a8cefc155429941ae14df55,H5_iterative_hybrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,166.99569998309016,4.840500187128782,28.331799898296595,200.16800006851554,180,180,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=18|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=19|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=50|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=51|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|1|2|2,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48@1|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2@2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0@2,iterative_hybrid
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B0_gist,0.2,0.25,1.0,0.3903800499921017,1.0,0.0,0.8,65,4,65,0,0,0.0,3,1.7949999310076237,5.147300194948912,0.0,6.942300125956535,65,0,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=51|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=52|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=28,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=19|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=2,1|1|1|1,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=51@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=52@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=28@1,gist
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B2_exact,0.2,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8,65,4,65,0,0,0.0,3,84.00719985365868,5.897199967876077,27.74569997563958,117.65009979717433,65,65,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=21,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=19|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=2,1|1|1|1,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=21@1,exact
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B1_bm25,0.2,0.25,1.0,0.3903800499921017,1.0,0.0,0.8,65,4,65,0,0,0.0,3,95.69490002468228,6.4246999099850655,28.879099991172552,130.9986999258399,65,65,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=22|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=19|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=2,1|1|1|1,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=22@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16@1,bm25
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B4_approx,0.2,0.25,0.5,0.24630238874073,1.0,0.0,0.8,65,4,65,0,0,0.0,3,84.67969996854663,6.596400169655681,29.610800091177225,120.88690022937953,65,65,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=21,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=0|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=19|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=2,1|1|1|1,benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=17@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=18@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=16@1|benchmark://hotpotqa/5ac4f8705542995c82c4ad8d#chunk=21@1,approx
