split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons,selected_chunk_ids,positive_chunk_ids,selected_hops,selected_hop_pairs,channel
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,3.221099963411689,7.493600016459823,0.0,10.714699979871511,167,0,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=165|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=134|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=133,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|1|1,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=165@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=134@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=133@1,gist
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B2_exact,0.125,0.25,1.0,0.3903800499921017,1.0,0.0,0.875,167,4,167,0,0,0.0,3,111.99550004675984,12.105099856853485,71.93219987675548,196.0327997803688,167,167,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=27|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|1|1,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=27@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29@1,exact
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B1_bm25,0.125,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.875,167,4,167,0,0,0.0,3,99.86829990521073,14.931200072169304,76.44870015792549,191.24820013530552,167,167,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=90,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|1|1,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=90@1,bm25
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B4_approx,0.125,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.875,167,4,167,0,0,0.0,3,232.8329998999834,13.320599915459752,76.37420017272234,322.5277999881655,167,167,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|1|1,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29@1,approx
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,140.44820005074143,17.734399996697903,95.11979995295405,253.3024000003934,167,167,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=27|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|1|1,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=27@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29@1,hybrid
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H5_iterative_hybrid,0.125,0.25,0.25,0.16812753627111746,1.0,0.0,0.875,167,4,167,0,0,0.0,3,397.5585999432951,15.913999872282147,53.82219981402159,467.29479962959886,501,501,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=0|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=3|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=4|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=6|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=7,1|1|2|2,benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=8@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=23@1|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=29@2|benchmark://qasper/1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36#chunk=5@2,iterative_hybrid
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182,4,182,0,0,0.0,4,1.4868001453578472,8.920300053432584,0.0,10.407100198790431,182,0,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=22|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=136|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=36,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=0|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=2|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=3|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=4|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=5|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=6|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=7|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=8|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=9,1|1|1|1,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=22@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=136@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=36@1,gist
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,B2_exact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182,4,182,0,0,0.0,4,185.61729998327792,12.53470010124147,58.170999865978956,256.32299995049834,182,182,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=175|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=179,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=0|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=2|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=3|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=4|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=5|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=6|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=7|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=8|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=9,1|1|1|1,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=175@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=179@1,exact
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,B1_bm25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182,4,182,0,0,0.0,4,179.14010002277792,14.654099941253662,71.67510013096035,265.4693000949919,182,182,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=162|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=69,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=0|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=2|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=3|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=4|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=5|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=6|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=7|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=8|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=9,1|1|1|1,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=162@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=69@1,bm25
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,B4_approx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182,4,182,0,0,0.0,4,197.02109997160733,16.0415000282228,73.15660011954606,286.2192001193762,182,182,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=179|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=23|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=0|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=2|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=3|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=4|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=5|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=6|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=7|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=8|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=9,1|1|1|1,benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=10@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=179@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=23@1|benchmark://qasper/1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b#chunk=155@1,approx
