split,dataset,example_id,token,idf,candidate_count,successor_rank,useful
validation,hotpotqa,5ae4be5c5542995ad6573e3a,charts,2.8678989020441064,2,9,0
validation,hotpotqa,5adf5cd25542992d7e9f9320,has,2.575878427993727,3,2,1
validation,hotpotqa,5adf5cd25542992d7e9f9320,hectares,2.91235066461494,2,2,1
validation,hotpotqa,5adf5cd25542992d7e9f9320,ort,2.575878427993727,3,2,1
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,networks,3.956723184346053,3,7,0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,integrate,3.956723184346053,3,7,0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,explore,4.293195420967266,2,7,0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,how,4.804021044733257,1,7,0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,experiment,3.9457340627704576,3,2,1
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,evaluated,3.9457340627704576,3,2,1
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,test,3.3081069585961433,4,17,0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,micro,3.6744907166618366,3,9,0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,selected,3.9740583963475986,2,5,0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,parameters,3.7534179752515073,4,5,0
test,hotpotqa,5a710a915542994082a3e504,including,2.6946271807700692,2,6,0
test,hotpotqa,5a710a915542994082a3e504,her,2.6946271807700692,2,6,0
test,hotpotqa,5a710a915542994082a3e504,eldest,2.6946271807700692,2,6,0
test,hotpotqa,5a8c8502554299585d9e36d0,supervisor,3.109060958860994,2,8,0
test,hotpotqa,5a7e513a5542994959419996,academy,2.4849066497880004,2,2,1
test,hotpotqa,5a7e513a5542994959419996,zealand,2.4849066497880004,2,2,1
test,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,natural,3.4746248502169728,3,16,0
test,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,train,3.3011139231051727,3,2,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,between,3.572345637857985,2,11,0
test,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,multiple,3.968575174933067,5,1,1
test,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,resources,3.968575174933067,5,1,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,audiences,3.751183337450091,3,3,1
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,accuracy,2.9813435361018916,3,1,1
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,period,2.9813435361018916,3,1,1
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,time,2.9813435361018916,3,1,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,chinese,3.994261103665118,3,21,0
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,love,2.517696472610991,2,7,0
validation,2wikimultihopqa,002e925e0bde11eba7f7acde48001122,professional,3.1780538303479458,1,8,0
validation,2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,garden,2.5494451709255714,2,2,1
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,studies,3.0349529867072724,2,28,0
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,women,3.545778610473263,1,28,0
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,comedy,2.8134107167600364,1,6,0
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,romantic,2.8134107167600364,1,6,0
validation,2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,finds,2.379546134130174,2,2,1
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,israeli,2.5494451709255714,2,7,0
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,television,2.302585092994046,2,2,1
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,has,2.8134107167600364,1,2,1
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,chinese,2.302585092994046,2,2,1
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,enny,2.302585092994046,2,2,1
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,appeared,2.8134107167600364,1,2,1
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,swedish,2.517696472610991,2,9,0
validation,2wikimultihopqa,024207d40bb011ebab90acde48001122,caroline,2.8678989020441064,2,9,0
validation,2wikimultihopqa,024207d40bb011ebab90acde48001122,may,2.8678989020441064,2,9,0
validation,2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,appeared,2.9267394020670396,1,7,0
validation,2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,has,2.9267394020670396,1,7,0
validation,2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,series,2.4159137783010487,2,7,0
test,musique,2hop__104095_40501,became,3.2358734012367716,3,3,1
test,musique,2hop__104095_40502,ara,3.374168709274236,2,17,0
validation,musique,2hop__107185_64006,introduction,3.9815490680767565,2,43,0
validation,musique,2hop__107185_64006,since,3.6450768314555435,3,43,0
test,musique,3hop1__102087_214799_259594,act,3.2108436531709366,2,1,1
test,musique,3hop1__102087_214799_259594,adults,3.721669276936927,1,1,1
test,musique,3hop1__102087_214799_259594,children,3.721669276936927,1,1,1
test,musique,3hop1__102087_214799_259594,cision,3.721669276936927,1,1,1
test,musique,3hop1__102087_214799_259594,made,3.2108436531709366,2,1,1
test,musique,3hop1__102087_214799_259594,util,3.2108436531709366,2,1,1
test,musique,3hop1__102087_214799_259594,circ,3.721669276936927,1,1,1
test,musique,3hop1__102087_214799_259594,female,2.8743714165497236,3,1,1
test,musique,3hop1__102087_214799_259594,ation,2.8743714165497236,3,1,1
test,musique,3hop1__102087_214799_259594,perform,3.721669276936927,1,1,1
test,musique,3hop1__102087_214799_259594,ital,3.2108436531709366,2,1,1
test,musique,3hop1__102087_214799_259594,offence,3.2108436531709366,2,1,1
test,musique,3hop1__102087_214799_259594,gen,3.2108436531709366,2,1,1
validation,musique,3hop1__103180_214799_259594,socialist,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,result,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,communist,3.414442608412176,2,8,0
validation,musique,3hop1__103180_214799_259594,concepts,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,heavily,3.414442608412176,2,8,0
validation,musique,3hop1__103180_214799_259594,controlled,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,influenced,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,period,3.9252682321781664,1,8,0
validation,musique,3hop1__103180_214799_259594,realism,3.9252682321781664,1,8,0
test,musique,3hop1__103197_214799_259594,sunshine,2.8903717578961645,3,6,0
test,musique,3hop1__103197_214799_259594,october,3.7376696182833684,1,6,0
test,musique,3hop1__103197_214799_259594,reas,3.7376696182833684,1,6,0
test,musique,3hop1__103197_214799_259594,song,3.7376696182833684,1,6,0
test,musique,3hop1__103197_214799_259594,born,2.8903717578961645,3,6,0
test,musique,3hop1__103197_214799_259594,ountry,3.7376696182833684,1,6,0
test,musique,3hop1__103254_214799_259594,democratic,2.921624301400269,3,8,0
validation,musique,3hop2__101905_30152_20999,dynasty,3.1780538303479458,3,28,0
validation,musique,3hop2__101905_30152_20999,flag,3.1780538303479458,3,28,0
validation,musique,3hop2__103889_30152_20999,under,3.3219480100080148,3,18,0
validation,musique,3hop2__103889_30152_20999,such,3.6584202466292277,2,18,0
validation,musique,3hop2__103889_30152_20999,dynasty,3.3219480100080148,3,18,0
test,musique,3hop2__106842_30645_84681,ers,3.6375861597263857,2,24,0
test,musique,3hop2__106842_30645_84681,non,3.6375861597263857,2,24,0
validation,musique,4hop1__105002_17130_70784_61381,nations,3.5496173867804286,2,5,0
validation,musique,4hop1__105002_17130_70784_61381,force,4.060443010546419,1,5,0
validation,musique,4hop1__105002_17130_70784_61381,war,3.2131451501592156,3,5,0
validation,musique,4hop1__105002_17130_70784_61381,military,4.060443010546419,1,5,0
validation,musique,4hop1__105002_17130_70784_61381,history,3.5496173867804286,2,5,0
validation,musique,4hop1__105002_17130_70784_61381,led,3.5496173867804286,2,5,0
validation,musique,4hop1__105002_17130_70784_61381,conflict,4.060443010546419,1,5,0
test,musique,4hop1__105401_17130_70784_61381,bas,3.6375861597263857,2,3,1
test,musique,4hop1__105401_17130_70784_61381,history,3.6375861597263857,2,3,1
test,musique,4hop1__105401_17130_70784_61381,relatively,3.6375861597263857,2,3,1
test,musique,4hop1__105401_17130_70784_61381,ins,3.6375861597263857,2,3,1
validation,musique,4hop1__105401_17130_70784_79935,aviv,3.594568774642695,2,7,0
validation,musique,4hop1__105401_17130_70784_79935,tel,3.594568774642695,2,7,0
test,musique,4hop1__105688_17130_70784_61381,highway,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,all,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,genre,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,kel,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,rock,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,born,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,columbia,3.3011139231051727,3,1,1
test,musique,4hop1__105688_17130_70784_61381,income,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,bit,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,creek,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,this,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,geography,3.6375861597263857,2,1,1
test,musique,4hop1__105688_17130_70784_61381,own,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,singers,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,highest,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_61381,along,3.3011139231051727,3,1,1
test,musique,4hop1__105688_17130_70784_61381,reported,4.148411783492376,1,1,1
test,musique,4hop1__105688_17130_70784_79935,israeli,3.2358734012367716,3,8,0
validation,musique,4hop1__105773_457883_650651_7262,une,3.9765615265657175,1,3,1
test,musique,4hop2__105527_14670_8987_8529,all,3.0376964726530233,3,5,0
test,musique,4hop2__105527_14670_8987_8529,ecuador,3.374168709274236,2,5,0
test,musique,4hop2__105527_14670_8987_8529,controlling,3.884994333040227,1,5,0
validation,musique,4hop2__105527_14670_8987_8974,comm,2.9667447366807385,3,16,0
validation,musique,4hop2__105527_14670_8987_8974,anti,2.9667447366807385,3,16,0
validation,musique,4hop2__105527_14670_8987_8974,relations,3.3032169733019514,2,16,0
validation,musique,4hop2__105527_14670_8987_8974,diplomatic,3.3032169733019514,2,16,0
validation,musique,4hop2__105527_14670_8987_8974,unist,2.9667447366807385,3,16,0
validation,musique,4hop2__161324_14670_8987_8974,operation,3.3423568816392217,3,7,0
validation,musique,4hop2__161324_14670_8987_8974,exception,3.6788291182604347,2,7,0
