split,dataset,example_id,selected_set_jaccard,rank_overlap_top10,score_disagreement,root_disagreement,selection_headroom
validation,hotpotqa,5a8cefc155429941ae14df55,0.13333333333333333,0.33138662163429966,0.2861267326535219,3,0.0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,0.39999999999999997,0.30745888098829277,0.2854600546904644,3,0.0
validation,hotpotqa,5ae4be5c5542995ad6573e3a,0.3333333333333333,0.491017316017316,0.2931732641559958,4,0.0
validation,hotpotqa,5abcd77755429965836004ce,0.3333333333333333,0.3709742871507577,0.24969725911867088,1,0.0
validation,hotpotqa,5ae0d5335542990adbacf674,0.16666666666666666,0.637029637029637,0.30655807922123995,3,0.0
validation,hotpotqa,5a8a1a975542992e4fca8505,0.43333333333333335,0.7428571428571429,0.28024299755327753,3,0.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,0.19999999999999998,0.3181085254614666,0.2502135505870328,3,0.0
validation,hotpotqa,5a7415cf55429979e28828a6,0.3333333333333333,0.31439165409753644,0.27146460634991065,4,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.5,0.4611258023022729,0.330939289474025,4,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.26666666666666666,0.31484593837535013,0.29597770396171497,3,0.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.23333333333333334,0.18212839791787158,0.32985634331714947,3,0.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.13333333333333333,0.2925016160310278,0.31962349407595225,4,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,0.09999999999999999,0.17791273054430948,0.34311464711742795,5,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,0.16666666666666666,0.15058356676003734,0.31697360585080653,4,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,0.19999999999999998,0.24896842923158713,0.3297027264655108,4,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,0.26666666666666666,0.16792622582096264,0.33795800540690585,3,0.0
test,hotpotqa,5adc3aff5542996e685252eb,0.26666666666666666,0.5285214785214785,0.28387225228230034,2,0.0
test,hotpotqa,5ab56db7554299494045efc6,0.09999999999999999,0.3925324675324675,0.24819507892385761,4,0.0
test,hotpotqa,5ab2b863554299295394685a,0.3,0.20039559683522531,0.24095737329387662,3,0.0
test,hotpotqa,5a710a915542994082a3e504,0.39999999999999997,0.340452847805789,0.270744258176025,1,0.0
test,hotpotqa,5adc93a4554299438c868e01,0.16666666666666666,0.676923076923077,0.29719995245990083,3,0.0
test,hotpotqa,5ab7f97a5542991d322237ef,0.5,0.556283422459893,0.3109405775602524,2,0.0
test,hotpotqa,5a8888e35542997e5c09a5f6,0.19999999999999998,0.36007326007326007,0.29707054947537603,3,0.0
test,hotpotqa,5a8c8502554299585d9e36d0,0.4,0.42593044210691267,0.2722388986630239,3,0.2
test,hotpotqa,5a84c4bb5542991dd0999dec,0.5333333333333333,0.4419413919413919,0.2706945289880743,1,0.14285714285714285
test,hotpotqa,5abbd4035542993f40c73bcb,0.13333333333333333,0.5692224442224442,0.24945957564276525,3,0.0
test,hotpotqa,5ae6143f5542996de7b71b2d,0.13333333333333333,0.39438698556345614,0.29878081973502446,5,0.0
test,hotpotqa,5a7e513a5542994959419996,0.5333333333333333,0.4288461538461538,0.29050309712569816,3,0.0
test,hotpotqa,5a80d6be55429938b6142206,0.6,0.45786321521615636,0.2446314830351605,3,0.0
test,hotpotqa,5ab88c075542991b5579efbe,0.06666666666666667,0.2927281438891346,0.22629472675356418,4,0.0
test,hotpotqa,5a714b645542994082a3e78b,0.09999999999999999,0.3660597572362278,0.28796620925302263,4,0.0
test,hotpotqa,5abce85755429959677d6b3e,0.03333333333333333,0.1850017199862401,0.2636564437695656,4,0.0
test,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.16666666666666666,0.23483709273182957,0.31888856149654904,4,0.0
test,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.06666666666666667,0.22366408101702218,0.3135305101071878,5,0.14285714285714285
test,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.3,0.43263403263403266,0.3122303418611395,3,0.07692307692307693
test,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.3,0.23398905016552074,0.32524006335011985,4,0.0
test,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.19999999999999998,0.48053613053613053,0.31137209011725137,3,0.0
test,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.4,0.4077094474153298,0.31421382346529425,3,0.0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.6,0.4648351648351648,0.31833644041702097,3,0.0
