root_channel,successor_channel,frequency,path_gain
approx,approximate_new_address,2,0.0
exact,bm25_state,7,0.07560090702947846
gist,native_semantic,6,0.06547619047619048
approx,native_semantic,3,0.0
exact,exact_new_address,9,0.0380952380952381
gist,exact_new_address,4,0.09702380952380953
gist,bm25_state,4,0.1125
bm25,native_semantic,5,0.061634615384615385
exact,approximate_new_address,1,0.0
hybrid,hybrid_state,1,0.25
bm25,bm25_state,1,0.4
hybrid,approximate_new_address,2,0.0
bm25,exact_new_address,2,0.038461538461538464
exact,native_semantic,8,0.10511363636363637
gist,approximate_new_address,1,0.0
hybrid,exact_new_address,1,0.0
approx,bm25_state,1,0.0
bm25,hybrid_state,1,0.0
exact,hybrid_state,2,0.0
gist,hybrid_state,2,0.0625
bm25,approximate_new_address,4,0.03645833333333333
hybrid,native_semantic,1,0.1
