stage,split,dataset,example_id,policy,root_method,successor_method,root_channel,successor_channel,K_root,K_total,search_cost,search_comparisons,token_span_operations,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta,root_R_E,root_P_E,root_C_E,root_K_over_N
root,validation,hotpotqa,5a8cefc155429941ae14df55,gist,gist,,gist,,2,2,60,60,0,60,5,2,0,0.0,0.0,0,0.03333333333333333,0.4,0.9666666666666667,0.0,,,,
root,validation,hotpotqa,5a8cefc155429941ae14df55,exact,exact,,exact,,2,2,60,60,37800,60,5,2,0,0.0,0.0,0,0.03333333333333333,0.4,0.9666666666666667,0.0,,,,
root,validation,hotpotqa,5a8cefc155429941ae14df55,bm25,bm25,,bm25,,2,2,60,60,37800,60,5,2,0,0.0,0.0,0,0.03333333333333333,0.4,0.9666666666666667,0.0,,,,
root,validation,hotpotqa,5a8cefc155429941ae14df55,approx,approx,,approx,,2,2,60,60,37800,60,5,2,0,0.0,0.0,0,0.03333333333333333,0.4,0.9666666666666667,0.0,,,,
root,validation,hotpotqa,5a8cefc155429941ae14df55,hybrid,hybrid,,hybrid,,2,2,60,60,37800,60,5,2,0,0.0,0.0,0,0.03333333333333333,0.4,0.9666666666666667,0.0,,,,
root,validation,hotpotqa,5ac4f8705542995c82c4ad8d,gist,gist,,gist,,2,2,65,65,0,65,5,2,0,0.0,0.0,0,0.03076923076923077,0.4,0.9692307692307692,0.0,,,,
root,validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,exact,,exact,,2,2,65,65,49464,65,5,2,0,0.0,0.0,0,0.03076923076923077,0.4,0.9692307692307692,0.0,,,,
root,validation,hotpotqa,5ac4f8705542995c82c4ad8d,bm25,bm25,,bm25,,2,2,65,65,49464,65,5,2,0,0.0,0.0,0,0.03076923076923077,0.4,0.9692307692307692,0.0,,,,
root,validation,hotpotqa,5ac4f8705542995c82c4ad8d,approx,approx,,approx,,2,2,65,65,49464,65,5,2,0,0.0,0.0,0,0.03076923076923077,0.4,0.9692307692307692,0.0,,,,
root,validation,hotpotqa,5ac4f8705542995c82c4ad8d,hybrid,hybrid,,hybrid,,2,2,65,65,49464,65,5,2,0,0.0,0.0,0,0.03076923076923077,0.4,0.9692307692307692,0.0,,,,
root,validation,hotpotqa,5ae4be5c5542995ad6573e3a,gist,gist,,gist,,2,2,43,43,0,43,6,2,0,0.0,0.0,0,0.046511627906976744,0.3333333333333333,0.9534883720930233,0.0,,,,
root,validation,hotpotqa,5ae4be5c5542995ad6573e3a,exact,exact,,exact,,2,2,43,43,10824,43,6,2,0,0.0,0.0,0,0.046511627906976744,0.3333333333333333,0.9534883720930233,0.0,,,,
root,validation,hotpotqa,5ae4be5c5542995ad6573e3a,bm25,bm25,,bm25,,2,2,43,43,10824,43,6,2,0,0.0,0.0,0,0.046511627906976744,0.3333333333333333,0.9534883720930233,0.0,,,,
root,validation,hotpotqa,5ae4be5c5542995ad6573e3a,approx,approx,,approx,,2,2,43,43,10824,43,6,2,0,0.0,0.0,0,0.046511627906976744,0.3333333333333333,0.9534883720930233,0.0,,,,
root,validation,hotpotqa,5ae4be5c5542995ad6573e3a,hybrid,hybrid,,hybrid,,2,2,43,43,10824,43,6,2,0,0.0,0.0,0,0.046511627906976744,0.3333333333333333,0.9534883720930233,0.0,,,,
root,validation,hotpotqa,5abcd77755429965836004ce,gist,gist,,gist,,2,2,61,61,0,61,4,2,0,0.0,0.0,0,0.03278688524590164,0.5,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5abcd77755429965836004ce,exact,exact,,exact,,2,2,61,61,54516,61,4,2,0,0.0,0.0,0,0.03278688524590164,0.5,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5abcd77755429965836004ce,bm25,bm25,,bm25,,2,2,61,61,54516,61,4,2,0,0.0,0.0,0,0.03278688524590164,0.5,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5abcd77755429965836004ce,approx,approx,,approx,,2,2,61,61,54516,61,4,2,0,0.0,0.0,0,0.03278688524590164,0.5,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5abcd77755429965836004ce,hybrid,hybrid,,hybrid,,2,2,61,61,54516,61,4,2,0,0.0,0.0,0,0.03278688524590164,0.5,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5ae0d5335542990adbacf674,gist,gist,,gist,,2,2,46,46,0,46,4,2,0,0.0,0.0,0,0.043478260869565216,0.5,0.9565217391304348,0.0,,,,
root,validation,hotpotqa,5ae0d5335542990adbacf674,exact,exact,,exact,,2,2,46,46,18954,46,4,2,0,0.0,0.0,0,0.043478260869565216,0.5,0.9565217391304348,0.0,,,,
root,validation,hotpotqa,5ae0d5335542990adbacf674,bm25,bm25,,bm25,,2,2,46,46,18954,46,4,2,0,0.0,0.0,0,0.043478260869565216,0.5,0.9565217391304348,0.0,,,,
root,validation,hotpotqa,5ae0d5335542990adbacf674,approx,approx,,approx,,2,2,46,46,18954,46,4,2,0,0.0,0.0,0,0.043478260869565216,0.5,0.9565217391304348,0.0,,,,
root,validation,hotpotqa,5ae0d5335542990adbacf674,hybrid,hybrid,,hybrid,,2,2,46,46,18954,46,4,2,0,0.0,0.0,0,0.043478260869565216,0.5,0.9565217391304348,0.0,,,,
root,validation,hotpotqa,5a8a1a975542992e4fca8505,gist,gist,,gist,,2,2,38,38,0,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0,,,,
root,validation,hotpotqa,5a8a1a975542992e4fca8505,exact,exact,,exact,,2,2,38,38,21744,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0,,,,
root,validation,hotpotqa,5a8a1a975542992e4fca8505,bm25,bm25,,bm25,,2,2,38,38,21744,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0,,,,
root,validation,hotpotqa,5a8a1a975542992e4fca8505,approx,approx,,approx,,2,2,38,38,21744,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0,,,,
root,validation,hotpotqa,5a8a1a975542992e4fca8505,hybrid,hybrid,,hybrid,,2,2,38,38,21744,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0,,,,
root,validation,hotpotqa,5adf5cd25542992d7e9f9320,gist,gist,,gist,,2,2,45,45,0,45,7,2,0,0.0,0.0,0,0.044444444444444446,0.2857142857142857,0.9555555555555556,0.0,,,,
root,validation,hotpotqa,5adf5cd25542992d7e9f9320,exact,exact,,exact,,2,2,45,45,36998,45,7,2,2,0.2857142857142857,1.0,0,0.044444444444444446,0.2857142857142857,0.9555555555555556,6.428571428571428,,,,
root,validation,hotpotqa,5adf5cd25542992d7e9f9320,bm25,bm25,,bm25,,2,2,45,45,36998,45,7,2,0,0.0,0.0,0,0.044444444444444446,0.2857142857142857,0.9555555555555556,0.0,,,,
root,validation,hotpotqa,5adf5cd25542992d7e9f9320,approx,approx,,approx,,2,2,45,45,36998,45,7,2,2,0.2857142857142857,1.0,0,0.044444444444444446,0.2857142857142857,0.9555555555555556,6.428571428571428,,,,
root,validation,hotpotqa,5adf5cd25542992d7e9f9320,hybrid,hybrid,,hybrid,,2,2,45,45,36998,45,7,2,1,0.14285714285714285,0.5,0,0.044444444444444446,0.2857142857142857,0.9555555555555556,3.214285714285714,,,,
root,validation,hotpotqa,5a7415cf55429979e28828a6,gist,gist,,gist,,2,2,61,61,0,61,8,2,2,0.25,1.0,0,0.03278688524590164,0.25,0.9672131147540983,7.625,,,,
root,validation,hotpotqa,5a7415cf55429979e28828a6,exact,exact,,exact,,2,2,61,61,66028,61,8,2,0,0.0,0.0,0,0.03278688524590164,0.25,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5a7415cf55429979e28828a6,bm25,bm25,,bm25,,2,2,61,61,66028,61,8,2,1,0.125,0.5,0,0.03278688524590164,0.25,0.9672131147540983,3.8125,,,,
root,validation,hotpotqa,5a7415cf55429979e28828a6,approx,approx,,approx,,2,2,61,61,66028,61,8,2,0,0.0,0.0,0,0.03278688524590164,0.25,0.9672131147540983,0.0,,,,
root,validation,hotpotqa,5a7415cf55429979e28828a6,hybrid,hybrid,,hybrid,,2,2,61,61,66028,61,8,2,0,0.0,0.0,0,0.03278688524590164,0.25,0.9672131147540983,0.0,,,,
