stage,dataset,policy,root_channel,successor_channel,examples,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta,K_root,K_total,search_cost,search_comparisons,token_span_operations
root,2wikimultihopqa,approx,approx,,24,41.875,3.125,2.0,0.125,0.03125,0.0625,0.0,0.05177856990983764,0.7583333333333333,0.9482214300901624,0.4947916666666667,2.0,2.0,41.875,41.875,21144.541666666668
root,2wikimultihopqa,bm25,bm25,,24,41.875,3.125,2.0,0.20833333333333334,0.049999999999999996,0.10416666666666667,0.0,0.05177856990983764,0.7583333333333333,0.9482214300901624,0.7645833333333334,2.0,2.0,41.875,41.875,21144.541666666668
root,2wikimultihopqa,exact,exact,,24,41.875,3.125,2.0,0.16666666666666666,0.04513888888888889,0.08333333333333333,0.0,0.05177856990983764,0.7583333333333333,0.9482214300901624,0.8072916666666666,2.0,2.0,41.875,41.875,21144.541666666668
root,2wikimultihopqa,gist,gist,,24,41.875,3.125,2.0,0.25,0.07638888888888888,0.125,0.0,0.05177856990983764,0.7583333333333333,0.9482214300901624,1.2795138888888888,2.0,2.0,41.875,41.875,0.0
root,2wikimultihopqa,hybrid,hybrid,,24,41.875,3.125,2.0,0.20833333333333334,0.05347222222222222,0.10416666666666667,0.0,0.05177856990983764,0.7583333333333333,0.9482214300901624,0.9156249999999999,2.0,2.0,41.875,41.875,21144.541666666668
root,hotpotqa,approx,approx,,16,50.125,4.6875,2.0,0.0625,0.015625,0.03125,0.0,0.04416024020904521,0.44821428571428573,0.9558397597909548,0.3125,2.0,2.0,50.125,50.125,32988.9375
root,hotpotqa,bm25,bm25,,16,50.125,4.6875,2.0,0.125,0.028125,0.0625,0.0,0.04416024020904521,0.44821428571428573,0.9558397597909548,1.328125,2.0,2.0,50.125,50.125,32988.9375
root,hotpotqa,exact,exact,,16,50.125,4.6875,2.0,0.1875,0.046875,0.09375,0.0,0.04416024020904521,0.44821428571428573,0.9558397597909548,1.609375,2.0,2.0,50.125,50.125,32988.9375
root,hotpotqa,gist,gist,,16,50.125,4.6875,2.0,0.125,0.024553571428571428,0.0625,0.0,0.04416024020904521,0.44821428571428573,0.9558397597909548,1.1941964285714286,2.0,2.0,50.125,50.125,0.0
root,hotpotqa,hybrid,hybrid,,16,50.125,4.6875,2.0,0.125,0.03125,0.0625,0.0,0.04416024020904521,0.44821428571428573,0.9558397597909548,1.296875,2.0,2.0,50.125,50.125,32988.9375
root,musique,approx,approx,,18,81.61111111111111,5.333333333333333,2.0,0.2777777777777778,0.08386243386243386,0.1388888888888889,0.0,0.02515918811248637,0.49939309056956116,0.9748408118875136,3.3228835978835978,2.0,2.0,81.61111111111111,81.61111111111111,68970.72222222222
root,musique,bm25,bm25,,18,81.61111111111111,5.333333333333333,2.0,0.2777777777777778,0.0686118892001245,0.1388888888888889,0.0,0.02515918811248637,0.49939309056956116,0.9748408118875136,2.661663554310613,2.0,2.0,81.61111111111111,81.61111111111111,68970.72222222222
root,musique,exact,exact,,18,81.61111111111111,5.333333333333333,2.0,0.2777777777777778,0.08386243386243386,0.1388888888888889,0.0,0.02515918811248637,0.49939309056956116,0.9748408118875136,3.3228835978835978,2.0,2.0,81.61111111111111,81.61111111111111,68970.72222222222
root,musique,gist,gist,,18,81.61111111111111,5.333333333333333,2.0,0.0,0.0,0.0,0.0,0.02515918811248637,0.49939309056956116,0.9748408118875136,0.0,2.0,2.0,81.61111111111111,81.61111111111111,0.0
root,musique,hybrid,hybrid,,18,81.61111111111111,5.333333333333333,2.0,0.2777777777777778,0.082010582010582,0.1388888888888889,0.0,0.02515918811248637,0.49939309056956116,0.9748408118875136,3.2275132275132274,2.0,2.0,81.61111111111111,81.61111111111111,68970.72222222222
root,qasper,approx,approx,,16,142.625,11.0625,2.0,0.1875,0.028125,0.09375,0.0,0.016239943975417,0.5142582417582418,0.9837600560245829,2.5390625,2.0,2.0,142.625,142.625,44630.75
root,qasper,bm25,bm25,,16,142.625,11.0625,2.0,0.3125,0.03382554945054945,0.15625,0.0,0.016239943975417,0.5142582417582418,0.9837600560245829,2.6939388736263736,2.0,2.0,142.625,142.625,44630.75
root,qasper,exact,exact,,16,142.625,11.0625,2.0,0.625,0.09601190476190476,0.3125,0.0,0.016239943975417,0.5142582417582418,0.9837600560245829,7.670610119047619,2.0,2.0,142.625,142.625,44630.75
root,qasper,gist,gist,,16,142.625,11.0625,2.0,0.125,0.008645833333333333,0.0625,0.0,0.016239943975417,0.5142582417582418,0.9837600560245829,0.8591145833333333,2.0,2.0,142.625,142.625,0.0
root,qasper,hybrid,hybrid,,16,142.625,11.0625,2.0,0.1875,0.03125,0.09375,0.0,0.016239943975417,0.5142582417582418,0.9837600560245829,2.0390625,2.0,2.0,142.625,142.625,44630.75
root_successor,2wikimultihopqa,approx->bm25_state,approx,bm25_state,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.08950617283950618,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.7455632716049383,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,approx->exact_new_address,approx,exact_new_address,18,42.388888888888886,5.444444444444445,4.0,0.6111111111111112,0.08256172839506173,0.1527777777777778,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.7091049382716049,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,approx->hybrid_state,approx,hybrid_state,18,42.388888888888886,5.444444444444445,4.0,0.5555555555555556,0.07561728395061729,0.1388888888888889,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.6344521604938271,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,approx->native_semantic,approx,native_semantic,18,42.388888888888886,5.444444444444445,4.0,0.7222222222222222,0.10833333333333334,0.18055555555555555,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9215277777777777,2.0,4.0,127.16666666666667,127.16666666666667,21725.555555555555
root_successor,2wikimultihopqa,bm25->bm25_state,bm25,bm25_state,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.09907407407407406,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9050925925925927,2.0,4.0,127.16666666666667,127.16666666666667,107006.05555555556
root_successor,2wikimultihopqa,bm25->exact_new_address,bm25,exact_new_address,18,42.388888888888886,5.444444444444445,4.0,0.5,0.0763888888888889,0.125,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.7465277777777778,2.0,4.0,127.16666666666667,127.16666666666667,107006.05555555556
root_successor,2wikimultihopqa,bm25->hybrid_state,bm25,hybrid_state,18,42.388888888888886,5.444444444444445,4.0,0.5,0.06944444444444445,0.125,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.5729166666666666,2.0,4.0,127.16666666666667,127.16666666666667,107006.05555555556
root_successor,2wikimultihopqa,bm25->native_semantic,bm25,native_semantic,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.10416666666666667,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9461805555555556,2.0,4.0,127.16666666666667,127.16666666666667,21725.555555555555
root_successor,2wikimultihopqa,exact->bm25_state,exact,bm25_state,18,42.388888888888886,5.444444444444445,4.0,0.7222222222222222,0.09876543209876543,0.18055555555555555,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.8497299382716049,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,exact->exact_new_address,exact,exact_new_address,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.11959876543209876,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,1.2073688271604939,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,exact->hybrid_state,exact,hybrid_state,18,42.388888888888886,5.444444444444445,4.0,0.6111111111111112,0.10570987654320987,0.1527777777777778,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9868827160493827,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,exact->native_semantic,exact,native_semantic,18,42.388888888888886,5.444444444444445,4.0,0.9444444444444444,0.14768518518518517,0.2361111111111111,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,1.3746527777777777,2.0,4.0,127.16666666666667,127.16666666666667,21725.555555555555
root_successor,2wikimultihopqa,gist->bm25_state,gist,bm25_state,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.09027777777777778,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.6770833333333334,2.0,4.0,127.16666666666667,127.16666666666667,85987.55555555556
root_successor,2wikimultihopqa,gist->exact_new_address,gist,exact_new_address,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.08950617283950618,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.7056327160493827,2.0,4.0,127.16666666666667,127.16666666666667,85987.55555555556
root_successor,2wikimultihopqa,gist->hybrid_state,gist,hybrid_state,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.11805555555555555,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,1.0729166666666667,2.0,4.0,127.16666666666667,127.16666666666667,85987.55555555556
root_successor,2wikimultihopqa,gist->native_semantic,gist,native_semantic,18,42.388888888888886,5.444444444444445,4.0,0.6666666666666666,0.1087962962962963,0.16666666666666666,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9403935185185185,2.0,4.0,127.16666666666667,127.16666666666667,0.0
root_successor,2wikimultihopqa,hybrid->bm25_state,hybrid,bm25_state,18,42.388888888888886,5.444444444444445,4.0,0.7222222222222222,0.09876543209876543,0.18055555555555555,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.8497299382716049,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,hybrid->exact_new_address,hybrid,exact_new_address,18,42.388888888888886,5.444444444444445,4.0,0.6111111111111112,0.11265432098765432,0.1527777777777778,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,1.1552854938271606,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,hybrid->hybrid_state,hybrid,hybrid_state,18,42.388888888888886,5.444444444444445,4.0,0.6111111111111112,0.10570987654320987,0.1527777777777778,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,0.9868827160493827,2.0,4.0,127.16666666666667,127.16666666666667,107713.11111111111
root_successor,2wikimultihopqa,hybrid->native_semantic,hybrid,native_semantic,18,42.388888888888886,5.444444444444445,4.0,0.7777777777777778,0.11990740740740741,0.19444444444444445,0.0,0.10188334447811404,0.9006172839506174,0.898116655521886,1.0725694444444445,2.0,4.0,127.16666666666667,127.16666666666667,21725.555555555555
root_successor,hotpotqa,approx->bm25_state,approx,bm25_state,16,50.125,4.6875,4.0,0.25,0.0625,0.0625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.91796875,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,approx->exact_new_address,approx,exact_new_address,16,50.125,4.6875,4.0,0.375,0.08913690476190476,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.8994419642857143,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,approx->hybrid_state,approx,hybrid_state,16,50.125,4.6875,4.0,0.4375,0.10476190476190476,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0127232142857143,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,approx->native_semantic,approx,native_semantic,16,50.125,4.6875,4.0,0.625,0.14494047619047618,0.15625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4704241071428572,2.0,4.0,150.375,150.375,32988.9375
root_successor,hotpotqa,bm25->bm25_state,bm25,bm25_state,16,50.125,4.6875,4.0,0.1875,0.04375,0.046875,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.77734375,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,bm25->exact_new_address,bm25,exact_new_address,16,50.125,4.6875,4.0,0.3125,0.071875,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.44140625,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,bm25->hybrid_state,bm25,hybrid_state,16,50.125,4.6875,4.0,0.3125,0.075,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.42578125,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,bm25->native_semantic,bm25,native_semantic,16,50.125,4.6875,4.0,0.3125,0.06830357142857144,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0842633928571428,2.0,4.0,150.375,150.375,32988.9375
root_successor,hotpotqa,exact->bm25_state,exact,bm25_state,16,50.125,4.6875,4.0,0.375,0.090625,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.1953125,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,exact->exact_new_address,exact,exact_new_address,16,50.125,4.6875,4.0,0.4375,0.10788690476190477,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.7650669642857142,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,exact->hybrid_state,exact,hybrid_state,16,50.125,4.6875,4.0,0.5,0.12351190476190477,0.125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.8783482142857142,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,exact->native_semantic,exact,native_semantic,16,50.125,4.6875,4.0,0.5625,0.12931547619047618,0.140625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.6696428571428572,2.0,4.0,150.375,150.375,32988.9375
root_successor,hotpotqa,gist->bm25_state,gist,bm25_state,16,50.125,4.6875,4.0,0.25,0.05267857142857143,0.0625,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,0.9213169642857143,2.0,4.0,150.375,150.375,101664.0
root_successor,hotpotqa,gist->exact_new_address,gist,exact_new_address,16,50.125,4.6875,4.0,0.375,0.08392857142857144,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.6010044642857144,2.0,4.0,150.375,150.375,101664.0
root_successor,hotpotqa,gist->hybrid_state,gist,hybrid_state,16,50.125,4.6875,4.0,0.375,0.08705357142857142,0.09375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.2494419642857142,2.0,4.0,150.375,150.375,101664.0
root_successor,hotpotqa,gist->native_semantic,gist,native_semantic,16,50.125,4.6875,4.0,0.4375,0.10119047619047619,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4207589285714286,2.0,4.0,150.375,150.375,0.0
root_successor,hotpotqa,hybrid->bm25_state,hybrid,bm25_state,16,50.125,4.6875,4.0,0.3125,0.075,0.078125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.0390625,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,hybrid->exact_new_address,hybrid,exact_new_address,16,50.125,4.6875,4.0,0.4375,0.10788690476190477,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.7650669642857142,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,hybrid->hybrid_state,hybrid,hybrid_state,16,50.125,4.6875,4.0,0.5,0.12351190476190477,0.125,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.8783482142857142,2.0,4.0,150.375,150.375,134401.0
root_successor,hotpotqa,hybrid->native_semantic,hybrid,native_semantic,16,50.125,4.6875,4.0,0.4375,0.10476190476190476,0.109375,0.0,0.08832048041809042,0.8964285714285715,0.9116795195819096,1.4017857142857144,2.0,4.0,150.375,150.375,32988.9375
root_successor,musique,approx->bm25_state,approx,bm25_state,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.04716753154253154,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.9326179029304029,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888
root_successor,musique,approx->exact_new_address,approx,exact_new_address,18,81.61111111111111,15.0,4.0,0.8333333333333334,0.05124771062271062,0.20833333333333334,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,1.0200008903133901,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888
root_successor,musique,approx->hybrid_state,approx,hybrid_state,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.041723901098901096,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.8459929538054538,2.0,4.0,244.83333333333334,244.83333333333334,235381.38888888888
root_successor,musique,approx->native_semantic,approx,native_semantic,18,81.61111111111111,15.0,4.0,0.7222222222222222,0.04635353072853073,0.18055555555555555,0.0,0.05031837622497274,0.32727318977318975,0.9496816237750273,0.9186781389906389,2.0,4.0,244.83333333333334,244.83333333333334,68970.72222222222
