dataset,policy,examples,recall,precision,mrr
qasper,validation_fixed,16,0.09601190476190476,0.3125,0.4770229468599034
qasper,best_heldout_fixed,16,0.09601190476190476,0.3125,0.4770229468599034
qasper,simple_rules,16,0.020089285714285712,0.09375,0.19129753009420108
qasper,linear,16,0.0466529304029304,0.25,0.3522429258750631
qasper,oracle,16,0.1097481684981685,0.375,0.5477430555555556
hotpotqa,validation_fixed,16,0.015625,0.03125,0.21260371572871573
hotpotqa,best_heldout_fixed,16,0.046875,0.09375,0.20096928194354666
hotpotqa,simple_rules,16,0.03125,0.0625,0.18089398722622407
hotpotqa,linear,16,0.015625,0.03125,0.15370249440102382
hotpotqa,oracle,16,0.06830357142857144,0.15625,0.370413961038961
2wikimultihopqa,validation_fixed,24,0.05,0.10416666666666667,0.2390457687235938
2wikimultihopqa,best_heldout_fixed,24,0.0763888888888889,0.125,0.2751208258998114
2wikimultihopqa,simple_rules,24,0.03958333333333333,0.08333333333333333,0.20634625814534893
2wikimultihopqa,linear,24,0.05347222222222222,0.10416666666666667,0.26105791350356566
2wikimultihopqa,oracle,24,0.12986111111111112,0.22916666666666666,0.47300703007895367
musique,validation_fixed,18,0.08386243386243386,0.1388888888888889,0.22643134376197924
musique,best_heldout_fixed,18,0.08386243386243386,0.1388888888888889,0.2360866153263814
musique,simple_rules,18,0.07275132275132275,0.1111111111111111,0.24197482534691836
musique,linear,18,0.08386243386243386,0.1388888888888889,0.24476814204059955
musique,oracle,18,0.09638966697790227,0.19444444444444445,0.3559467086765937
