split,dataset,example_id,root_channel,successor_channel,mapping_semantics,recall,precision,mrr,best_gold_rank,complete_recovery,distractors,root_recall,root_valid,path_recall,path_gain,selected_root_ids,selected_chunk_ids,gold_chunk_ids,requested_chunks,frontiers,comparisons,index_lookups,token_span_operations,latency_ms,index_memory_bytes,placement,top_score,score_gap
validation,hotpotqa,5a8cefc155429941ae14df55,gist,native_semantic,unordered_evidence_remainder,0.0,0.0,0.125,8,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=49|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,0,157.4753001332283,0,CPU exhaustive Python,1.0,0.0001728832721710205
validation,hotpotqa,5a8cefc155429941ae14df55,gist,exact_new_address,unordered_evidence_remainder,0.0,0.0,0.25,4,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=29,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,102.46769990772009,27579,CPU exhaustive Python,1.0,0.0
validation,hotpotqa,5a8cefc155429941ae14df55,gist,bm25_state,unordered_evidence_remainder,0.0,0.0,0.25,4,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=29,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,152.4463000241667,27579,CPU exhaustive Python,1.0,0.18212472089736104
validation,hotpotqa,5a8cefc155429941ae14df55,gist,approximate_new_address,unordered_evidence_remainder,0.0,0.0,0.25,4,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=29|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,99.11169996485114,27579,CPU exhaustive Python,1.0,0.007946336429308531
validation,hotpotqa,5a8cefc155429941ae14df55,gist,hybrid_state,unordered_evidence_remainder,0.0,0.0,0.25,4,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=27|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=29,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,142.5427000503987,27579,CPU exhaustive Python,1.0,3.45468521117942e-05
validation,hotpotqa,5a8cefc155429941ae14df55,exact,native_semantic,unordered_evidence_remainder,0.0,0.0,0.1,10,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,0,83.04409985430539,0,CPU exhaustive Python,0.9999999403953552,0.014811664819717407
validation,hotpotqa,5a8cefc155429941ae14df55,exact,exact_new_address,unordered_evidence_remainder,0.0,0.0,0.08333333333333333,12,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,87.51829992979765,27579,CPU exhaustive Python,1.0,0.0
validation,hotpotqa,5a8cefc155429941ae14df55,exact,bm25_state,unordered_evidence_remainder,0.0,0.0,0.125,8,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,134.4468998722732,27579,CPU exhaustive Python,1.0,0.02878832059702685
validation,hotpotqa,5a8cefc155429941ae14df55,exact,approximate_new_address,unordered_evidence_remainder,0.0,0.0,0.1111111111111111,9,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=1,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,80.12119983322918,27579,CPU exhaustive Python,1.0,0.01700603318250371
validation,hotpotqa,5a8cefc155429941ae14df55,exact,hybrid_state,unordered_evidence_remainder,0.0,0.0,0.07692307692307693,13,0.0,2,0.0,0.0,0.0,0.0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=2|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=0,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=25|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=26|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=54|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=55|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=56,2,2,120,64,120960,138.30039999447763,27579,CPU exhaustive Python,0.9999999940395355,0.0014811664819717185
