dataset,example_id,fixed_root_channel,oracle_successor_channel,oracle_successor_recall,best_heldout_successor_channel,best_heldout_successor_recall,validation_successor_channel,validation_successor_recall,selection_headroom,validation_instability
hotpotqa,5adc3aff5542996e685252eb,approx,approximate_new_address,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
hotpotqa,5ab56db7554299494045efc6,approx,native_semantic,0.3333333333333333,native_semantic,0.3333333333333333,approximate_new_address,0.3333333333333333,0.0,0.0
hotpotqa,5ab2b863554299295394685a,approx,native_semantic,0.3333333333333333,native_semantic,0.3333333333333333,approximate_new_address,0.3333333333333333,0.0,0.0
hotpotqa,5a710a915542994082a3e504,approx,native_semantic,0.25,native_semantic,0.25,approximate_new_address,0.0,0.0,0.25
hotpotqa,5adc93a4554299438c868e01,approx,exact_new_address,0.2,native_semantic,0.0,approximate_new_address,0.2,0.2,-0.2
hotpotqa,5ab7f97a5542991d322237ef,approx,bm25_state,0.25,native_semantic,0.0,approximate_new_address,0.0,0.25,0.0
hotpotqa,5a8888e35542997e5c09a5f6,approx,native_semantic,0.25,native_semantic,0.25,approximate_new_address,0.0,0.0,0.25
hotpotqa,5a8c8502554299585d9e36d0,approx,native_semantic,0.2,native_semantic,0.2,approximate_new_address,0.0,0.0,0.2
hotpotqa,5a84c4bb5542991dd0999dec,approx,native_semantic,0.14285714285714285,native_semantic,0.14285714285714285,approximate_new_address,0.14285714285714285,0.0,0.0
hotpotqa,5abbd4035542993f40c73bcb,approx,native_semantic,0.14285714285714285,native_semantic,0.14285714285714285,approximate_new_address,0.0,0.0,0.14285714285714285
hotpotqa,5ae6143f5542996de7b71b2d,approx,native_semantic,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
hotpotqa,5a7e513a5542994959419996,approx,native_semantic,0.5,native_semantic,0.5,approximate_new_address,0.25,0.0,0.25
hotpotqa,5a80d6be55429938b6142206,approx,approximate_new_address,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,approx,exact_new_address,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
hotpotqa,5a714b645542994082a3e78b,approx,hybrid_state,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
hotpotqa,5abce85755429959677d6b3e,approx,native_semantic,0.0,native_semantic,0.0,approximate_new_address,0.0,0.0,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,exact,exact_new_address,0.07692307692307693,exact_new_address,0.07692307692307693,exact_new_address,0.07692307692307693,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,exact,exact_new_address,0.14285714285714285,exact_new_address,0.14285714285714285,exact_new_address,0.14285714285714285,0.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,exact,native_semantic,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,exact,bm25_state,0.0273972602739726,exact_new_address,0.0136986301369863,exact_new_address,0.0136986301369863,0.0136986301369863,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,exact,bm25_state,0.08333333333333333,exact_new_address,0.0,exact_new_address,0.0,0.08333333333333333,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,exact,native_semantic,0.3333333333333333,exact_new_address,0.0,exact_new_address,0.0,0.3333333333333333,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,exact,exact_new_address,0.16666666666666666,exact_new_address,0.16666666666666666,exact_new_address,0.16666666666666666,0.0,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,exact,native_semantic,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,exact,exact_new_address,0.0,exact_new_address,0.0,exact_new_address,0.0,0.0,0.0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,bm25,native_semantic,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,002f12240bde11eba7f7acde48001122,bm25,approximate_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,003285a80bde11eba7f7acde48001122,bm25,exact_new_address,0.5,exact_new_address,0.5,native_semantic,0.0,0.0,0.5
2wikimultihopqa,005238da0bde11eba7f7acde48001122,bm25,native_semantic,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,bm25,native_semantic,0.5,exact_new_address,0.0,native_semantic,0.5,0.5,-0.5
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,bm25,native_semantic,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,bm25,bm25_state,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,008b58060baf11ebab90acde48001122,bm25,exact_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,bm25,approximate_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,bm25,hybrid_state,0.5,exact_new_address,0.0,native_semantic,0.0,0.5,0.0
2wikimultihopqa,00fc38720bb011ebab90acde48001122,bm25,native_semantic,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,bm25,native_semantic,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,01057cde0bb011ebab90acde48001122,bm25,exact_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,bm25,exact_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,024761e80bb011ebab90acde48001122,bm25,exact_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,0360770a0baf11ebab90acde48001122,bm25,bm25_state,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,036c82480baf11ebab90acde48001122,bm25,exact_new_address,0.0,exact_new_address,0.0,native_semantic,0.0,0.0,0.0
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,bm25,exact_new_address,0.4,exact_new_address,0.4,native_semantic,0.2,0.0,0.2
musique,2hop__10114_599630,exact,native_semantic,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,2hop__103889_86452,exact,approximate_new_address,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,2hop__104095_40501,exact,bm25_state,0.14285714285714285,native_semantic,0.0,bm25_state,0.14285714285714285,0.14285714285714285,-0.14285714285714285
musique,2hop__104095_40502,exact,native_semantic,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,2hop__10620_49084,exact,exact_new_address,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,2hop__107238_64918,exact,bm25_state,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,3hop1__102087_214799_259594,exact,native_semantic,0.25,native_semantic,0.25,bm25_state,0.25,0.0,0.0
musique,3hop1__103197_214799_259594,exact,bm25_state,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,3hop1__103254_214799_259594,exact,native_semantic,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,3hop2__101809_30152_20999,exact,bm25_state,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,3hop2__106842_30645_84681,exact,bm25_state,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,3hop2__11282_57233_56883,exact,native_semantic,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,4hop1__105401_17130_70784_61381,exact,hybrid_state,0.034482758620689655,native_semantic,0.0,bm25_state,0.0,0.034482758620689655,0.0
musique,4hop1__105688_17130_70784_61381,exact,exact_new_address,0.07407407407407407,native_semantic,0.0,bm25_state,0.0,0.07407407407407407,0.0
musique,4hop1__105688_17130_70784_79935,exact,bm25_state,0.043478260869565216,native_semantic,0.0,bm25_state,0.043478260869565216,0.043478260869565216,-0.043478260869565216
musique,4hop2__103790_14670_8987_8974,exact,native_semantic,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
musique,4hop2__103790_39078_8987_8529,exact,native_semantic,0.3333333333333333,native_semantic,0.3333333333333333,bm25_state,0.0,0.0,0.3333333333333333
musique,4hop2__105527_14670_8987_8529,exact,exact_new_address,0.0,native_semantic,0.0,bm25_state,0.0,0.0,0.0
