perturbation,example_id,channel,target_recovery,wrong_target_recovery,wrong_target_confidence,abstention_at_0_5,retry_opportunity
clean,clean-0,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-0,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-0,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-1,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-1,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-1,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-2,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-2,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-2,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-3,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-3,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-3,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-4,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-4,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-4,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-5,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-5,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-5,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-6,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-6,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-6,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-7,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-7,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-7,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-8,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-8,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-8,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-9,exact,1.0,0.0,0.0,1.0,0.0
clean,clean-9,approx,1.0,0.0,0.0,1.0,0.0
clean,clean-9,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-10,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-10,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-10,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-11,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-11,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-11,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-12,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-12,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-12,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-13,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-13,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-13,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-14,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-14,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-14,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-15,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-15,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-15,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-16,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-16,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-16,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-17,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-17,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-17,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-18,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-18,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-18,hybrid,1.0,0.0,0.0,0.0,0.0
clean,clean-19,exact,1.0,0.0,0.0,0.0,0.0
clean,clean-19,approx,1.0,0.0,0.0,0.0,0.0
clean,clean-19,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-0,exact,1.0,0.0,0.0,1.0,0.0
case,case-0,approx,1.0,0.0,0.0,1.0,0.0
case,case-0,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-1,exact,1.0,0.0,0.0,1.0,0.0
case,case-1,approx,1.0,0.0,0.0,1.0,0.0
case,case-1,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-2,exact,1.0,0.0,0.0,1.0,0.0
case,case-2,approx,1.0,0.0,0.0,1.0,0.0
case,case-2,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-3,exact,1.0,0.0,0.0,1.0,0.0
case,case-3,approx,1.0,0.0,0.0,1.0,0.0
case,case-3,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-4,exact,1.0,0.0,0.0,1.0,0.0
case,case-4,approx,1.0,0.0,0.0,1.0,0.0
case,case-4,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-5,exact,1.0,0.0,0.0,1.0,0.0
case,case-5,approx,1.0,0.0,0.0,1.0,0.0
case,case-5,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-6,exact,1.0,0.0,0.0,1.0,0.0
case,case-6,approx,1.0,0.0,0.0,1.0,0.0
case,case-6,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-7,exact,1.0,0.0,0.0,1.0,0.0
case,case-7,approx,1.0,0.0,0.0,1.0,0.0
case,case-7,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-8,exact,1.0,0.0,0.0,1.0,0.0
case,case-8,approx,1.0,0.0,0.0,1.0,0.0
case,case-8,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-9,exact,1.0,0.0,0.0,1.0,0.0
case,case-9,approx,1.0,0.0,0.0,1.0,0.0
case,case-9,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-10,exact,1.0,0.0,0.0,0.0,0.0
case,case-10,approx,1.0,0.0,0.0,1.0,0.0
case,case-10,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-11,exact,1.0,0.0,0.0,0.0,0.0
case,case-11,approx,1.0,0.0,0.0,1.0,0.0
case,case-11,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-12,exact,1.0,0.0,0.0,0.0,0.0
case,case-12,approx,1.0,0.0,0.0,1.0,0.0
case,case-12,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-13,exact,1.0,0.0,0.0,0.0,0.0
case,case-13,approx,1.0,0.0,0.0,1.0,0.0
case,case-13,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-14,exact,1.0,0.0,0.0,0.0,0.0
case,case-14,approx,1.0,0.0,0.0,1.0,0.0
case,case-14,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-15,exact,1.0,0.0,0.0,0.0,0.0
case,case-15,approx,1.0,0.0,0.0,1.0,0.0
case,case-15,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-16,exact,1.0,0.0,0.0,0.0,0.0
case,case-16,approx,1.0,0.0,0.0,1.0,0.0
case,case-16,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-17,exact,1.0,0.0,0.0,0.0,0.0
case,case-17,approx,1.0,0.0,0.0,1.0,0.0
case,case-17,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-18,exact,1.0,0.0,0.0,0.0,0.0
case,case-18,approx,1.0,0.0,0.0,1.0,0.0
case,case-18,hybrid,1.0,0.0,0.0,0.0,0.0
case,case-19,exact,1.0,0.0,0.0,0.0,0.0
case,case-19,approx,1.0,0.0,0.0,1.0,0.0
case,case-19,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-0,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-0,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-0,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-1,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-1,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-1,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-2,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-2,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-2,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-3,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-3,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-3,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-4,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-4,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-4,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-5,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-5,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-5,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-6,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-6,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-6,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-7,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-7,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-7,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-8,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-8,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-8,hybrid,1.0,0.0,0.0,0.0,0.0
punctuation,punctuation-9,exact,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-9,approx,1.0,0.0,0.0,1.0,0.0
punctuation,punctuation-9,hybrid,1.0,0.0,0.0,0.0,0.0
