model,dataset,channel,examples,top1_accuracy,calibration,selective_threshold,selective_retained,selective_rejected,selective_coverage,selective_precision,selective_recall,selective_wrong_rejected,selective_correct_rejected,positives,auroc,auprc,ece,brier
qwen3_0_6b,hotpotqa,approximate,50,0.94,validation_cdf,1.0,50,0,1.0,0.94,1.0,0,0,47,0.5,0.9631955877534688,0.06000000000000005,0.06
qwen3_0_6b,hotpotqa,bm25,50,0.48,validation_cdf,1.0,50,0,1.0,0.48,1.0,0,0,24,0.5,0.44996369722797575,0.52,0.52
qwen3_0_6b,hotpotqa,edit,50,0.94,validation_cdf,1.0,50,0,1.0,0.94,1.0,0,0,47,0.5,0.9631955877534688,0.06000000000000005,0.06
qwen3_0_6b,hotpotqa,embedding,50,0.28,validation_cdf,0.2,33,17,0.66,0.24242424242424243,0.5714285714285714,11,6,14,0.41964285714285715,0.2521835929509159,0.29300000000000004,0.33885
qwen3_0_6b,hotpotqa,exact,50,0.64,validation_cdf,1.0,49,1,0.98,0.6326530612244898,0.96875,0,1,32,0.484375,0.6902711257379841,0.37999999999999995,0.38
qwen3_0_6b,hotpotqa,hybrid,50,0.34,validation_cdf,0.05,44,6,0.88,0.29545454545454547,0.7647058823529411,2,4,17,0.41354723707664887,0.3194868252097557,0.34400000000000003,0.386
qwen3_0_6b,hotpotqa,ngram,50,0.58,validation_cdf,0.55,16,34,0.32,0.5,0.27586206896551724,13,21,29,0.4745484400656814,0.5801296457855091,0.37299999999999994,0.38635
qwen3_0_6b,hotpotqa,semantic,50,0.22,validation_cdf,0.05,47,3,0.94,0.2127659574468085,0.9090909090909091,2,1,11,0.5198135198135199,0.2480182830021582,0.32999999999999996,0.3259
qwen3_0_6b,qasper,approximate,50,0.36,validation_cdf,0.15,50,0,1.0,0.36,1.0,0,0,18,0.4748263888888889,0.3243550199922515,0.577,0.55105
qwen3_0_6b,qasper,bm25,50,0.08,validation_cdf,1.0,50,0,1.0,0.08,1.0,0,0,4,0.5,0.08602690413035241,0.92,0.92
qwen3_0_6b,qasper,edit,50,0.36,validation_cdf,0.15,50,0,1.0,0.36,1.0,0,0,18,0.4748263888888889,0.3243550199922515,0.577,0.55105
qwen3_0_6b,qasper,embedding,50,0.18,validation_cdf,0.4,40,10,0.8,0.2,0.8888888888888888,9,1,9,0.4254742547425474,0.1761915348381514,0.5650000000000002,0.4981499999999998
qwen3_0_6b,qasper,exact,50,0.54,validation_cdf,1.0,50,0,1.0,0.54,1.0,0,0,27,0.5,0.656507880236638,0.45999999999999996,0.46
qwen3_0_6b,qasper,hybrid,50,0.16,validation_cdf,0.05,47,3,0.94,0.14893617021276595,0.875,2,1,8,0.5773809523809523,0.2677849184545613,0.4589999999999999,0.3793500000000001
qwen3_0_6b,qasper,ngram,50,0.44,validation_cdf,1.0,4,46,0.08,0.5,0.09090909090909091,26,20,22,0.20535714285714285,0.37645593291679624,0.5479999999999999,0.4488999999999999
qwen3_0_6b,qasper,semantic,50,0.06,validation_cdf,0.85,7,43,0.14,0.0,0.0,40,3,3,0.25886524822695034,0.05341454411221853,0.348,0.27970000000000006
smollm2_135m,hotpotqa,approximate,50,0.94,validation_cdf,1.0,50,0,1.0,0.94,1.0,0,0,47,0.5,0.9631955877534688,0.06000000000000005,0.06
smollm2_135m,hotpotqa,bm25,50,0.54,validation_cdf,1.0,50,0,1.0,0.54,1.0,0,0,27,0.5,0.7446509868866776,0.45999999999999996,0.46
smollm2_135m,hotpotqa,edit,50,0.94,validation_cdf,1.0,50,0,1.0,0.94,1.0,0,0,47,0.5,0.9631955877534688,0.06000000000000005,0.06
smollm2_135m,hotpotqa,embedding,50,0.2,validation_cdf,0.15,37,13,0.74,0.21621621621621623,0.8,11,2,10,0.64375,0.3784269162210338,0.237,0.22845000000000001
smollm2_135m,hotpotqa,exact,50,0.64,validation_cdf,1.0,48,2,0.96,0.625,0.9375,0,2,32,0.46875,0.6053367493247808,0.39999999999999997,0.4
smollm2_135m,hotpotqa,hybrid,50,0.18,validation_cdf,0.05,49,1,0.98,0.1836734693877551,1.0,1,0,9,0.46070460704607047,0.18479955807017068,0.35400000000000004,0.3662
smollm2_135m,hotpotqa,ngram,50,0.56,validation_cdf,0.45,25,25,0.5,0.44,0.39285714285714285,8,17,28,0.41883116883116883,0.5295825586084495,0.402,0.40049999999999997
smollm2_135m,hotpotqa,semantic,50,0.1,validation_cdf,0.05,49,1,0.98,0.10204081632653061,1.0,1,0,5,0.5688888888888889,0.2054153729610119,0.408,0.33110000000000006
smollm2_135m,qasper,approximate,50,0.4,validation_cdf,0.3,50,0,1.0,0.4,1.0,0,0,20,0.455,0.34681943216649075,0.556,0.5251999999999999
smollm2_135m,qasper,bm25,50,0.08,validation_cdf,1.0,50,0,1.0,0.08,1.0,0,0,4,0.5,0.12147435897435899,0.92,0.92
smollm2_135m,qasper,edit,50,0.4,validation_cdf,0.3,50,0,1.0,0.4,1.0,0,0,20,0.455,0.34681943216649075,0.556,0.5251999999999999
smollm2_135m,qasper,embedding,50,0.14,validation_cdf,0.1,50,0,1.0,0.14,1.0,0,0,7,0.5880398671096345,0.21120509607351715,0.5529999999999999,0.48224999999999996
