model,dataset,comparison,treatment,baseline,pairs,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_seed,selection_status
qwen3_0_6b,hotpotqa,winner_vs_semantic,bm25,semantic,50,0.19166666666666668,0.03166666666666667,0.3433333333333334,20265308,heldout_descriptive_winner
qwen3_0_6b,hotpotqa,hybrid_vs_best_fixed,hybrid,bm25,50,-0.16,-0.32333333333333336,3.3306690738754695e-18,20265098,heldout_descriptive_best_fixed
qwen3_0_6b,hotpotqa,adaptive_vs_frozen_fixed,adaptive,bm25,50,-0.12166666666666666,-0.22166666666666668,-0.03,20265302,validation_selected_fixed_baseline
qwen3_0_6b,qasper,winner_vs_semantic,approximate,semantic,50,0.38222222222222224,0.20444444444444443,0.5622222222222222,20265964,heldout_descriptive_winner
qwen3_0_6b,qasper,hybrid_vs_best_fixed,hybrid,approximate,50,-0.29,-0.44666666666666666,-0.13,20265754,heldout_descriptive_best_fixed
qwen3_0_6b,qasper,adaptive_vs_frozen_fixed,adaptive,exact,50,-0.04333333333333333,-0.19,0.1,20265297,validation_selected_fixed_baseline
smollm2_135m,hotpotqa,winner_vs_semantic,bm25,semantic,50,0.3416666666666666,0.2033333333333333,0.4766666666666666,20265491,heldout_descriptive_winner
smollm2_135m,hotpotqa,hybrid_vs_best_fixed,hybrid,bm25,50,-0.24,-0.36666666666666664,-0.10833333333333334,20265281,heldout_descriptive_best_fixed
smollm2_135m,hotpotqa,adaptive_vs_frozen_fixed,adaptive,bm25,50,-0.14333333333333334,-0.25,-0.05,20265485,validation_selected_fixed_baseline
smollm2_135m,qasper,winner_vs_semantic,approximate,semantic,50,0.4355555555555556,0.2733333333333333,0.5888888888888889,20266147,heldout_descriptive_winner
smollm2_135m,qasper,hybrid_vs_best_fixed,hybrid,approximate,50,-0.3466666666666666,-0.4766666666666666,-0.21666666666666667,20265937,heldout_descriptive_best_fixed
smollm2_135m,qasper,adaptive_vs_frozen_fixed,adaptive,exact,50,-0.16333333333333333,-0.3,-0.03666666666666667,20265480,validation_selected_fixed_baseline
