channel,evidence_recall,precision,mrr,complete_recovery,top_score,score_gap,score_mean,top1_correct,referential_confidence,selected_chunk_ids,selected_chunks,candidate_chunks,source_tokens,index_bytes,scored_candidates,token_index_queries,model,dataset,example_id,chunk_tokens,routing_layer,routing_layer_offset,chunk_budget,branch_top_k,beam_size
semantic,0.5,0.5,1.0,0,0.4970703125,0.0068359375,0.41296641031901044,1,0.74853515625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
exact,0.0,0.0,0.0,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
bm25,0.0,0.0,0.0,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=64:80,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
approximate,0.5,1.0,1.0,0,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
hybrid,0.0,0.0,0.0,0,0.6923828125,0.005859375,0.33917824427286786,0,0.84619140625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
ngram,0.5,0.5,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
edit,0.5,1.0,1.0,0,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
embedding,0.5,0.5,0.5,0,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,2,1,1
semantic,0.5,0.25,1.0,0,0.4970703125,0.0068359375,0.41296641031901044,1,0.74853515625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=320:336,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
exact,0.0,0.0,0.0,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=144:160,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
