model,dataset,chunk_tokens,routing_layer_offset,chunk_budget,channel,examples,evidence_recall,precision,mrr,complete_recovery,scored_candidate_fraction
qwen3_0_6b,hotpotqa,16,-4,2,approximate,8,0.5625,0.625,0.875,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,2,bm25,8,0.5625,0.4375,0.6875,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,2,edit,8,0.5625,0.625,0.875,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,2,embedding,8,0.3125,0.3125,0.3125,0.125,1.0
qwen3_0_6b,hotpotqa,16,-4,2,exact,8,0.5625,0.5625,0.75,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,2,hybrid,8,0.25,0.125,0.25,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,2,ngram,8,0.5,0.5,0.75,0.125,1.0
qwen3_0_6b,hotpotqa,16,-4,2,semantic,8,0.0625,0.0625,0.0625,0.0,1.0
qwen3_0_6b,hotpotqa,16,-4,4,approximate,8,0.625,0.375,0.875,0.375,1.0
qwen3_0_6b,hotpotqa,16,-4,4,bm25,8,0.75,0.34375,0.7291666666666666,0.5,1.0
qwen3_0_6b,hotpotqa,16,-4,4,edit,8,0.625,0.375,0.875,0.375,1.0
qwen3_0_6b,hotpotqa,16,-4,4,embedding,8,0.5,0.25,0.34375,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,4,exact,8,0.6875,0.375,0.7083333333333334,0.5,1.0
qwen3_0_6b,hotpotqa,16,-4,4,hybrid,8,0.75,0.25,0.4791666666666667,0.625,1.0
qwen3_0_6b,hotpotqa,16,-4,4,ngram,8,0.625,0.34375,0.75,0.375,1.0
qwen3_0_6b,hotpotqa,16,-4,4,semantic,8,0.25,0.09375,0.09375,0.25,1.0
qwen3_0_6b,hotpotqa,16,-4,8,approximate,8,0.875,0.265625,0.9,0.75,1.0
qwen3_0_6b,hotpotqa,16,-4,8,bm25,8,0.8125,0.234375,0.71875,0.625,1.0
qwen3_0_6b,hotpotqa,16,-4,8,edit,8,0.875,0.265625,0.9,0.75,1.0
qwen3_0_6b,hotpotqa,16,-4,8,embedding,8,0.75,0.1875,0.3854166666666667,0.5,1.0
qwen3_0_6b,hotpotqa,16,-4,8,exact,8,0.875,0.25,0.7229166666666667,0.75,1.0
qwen3_0_6b,hotpotqa,16,-4,8,hybrid,8,0.9375,0.203125,0.5,0.875,1.0
qwen3_0_6b,hotpotqa,16,-4,8,ngram,8,0.9375,0.265625,0.78125,0.875,1.0
qwen3_0_6b,hotpotqa,16,-4,8,semantic,8,0.5625,0.15625,0.21041666666666667,0.375,1.0
qwen3_0_6b,hotpotqa,16,-1,2,approximate,8,0.5625,0.625,0.875,0.25,1.0
