split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,hotpotqa,5a8cefc155429941ae14df55,B0_gist,0.2,0.25,0.25,0.16812753627111746,1.0,0.0,0.8,60,4,60,0,0,0.0,3,2.0210000220686197,3.8040000945329666,0.0,5.825000116601586,60,0
validation,hotpotqa,5a8cefc155429941ae14df55,B1_bm25,0.4,0.5,0.5,0.4144299250118475,1.0,0.0,0.6,60,4,60,0,0,0.0,2,42.282599955797195,4.386999877169728,15.71649988181889,62.386099714785814,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,B2_exact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,69.87389991991222,2.9160999692976475,21.737399976700544,94.52739986591041,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,B3_weighted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,50.0280000269413,2.8846999630331993,25.226400000974536,78.13909999094903,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,B4_approx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,67.44199991226196,5.5541000328958035,27.084300061687827,100.0804000068456,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,H1_union,0.2,0.25,0.25,0.16812753627111746,1.0,0.0,0.8,60,4,60,0,0,0.0,3,48.72209997847676,4.524199990555644,25.628299918025732,78.87459988705814,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,65.85819995962083,4.3935999274253845,27.037299936637282,97.2890998236835,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,H3_semantic_token,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,43.715099804103374,2.863900037482381,15.840700129047036,62.41969997063279,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,H4_cascade,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,61.62239983677864,2.855400089174509,22.269899956882,86.74769988283515,60,60
validation,hotpotqa,5a8cefc155429941ae14df55,H5_iterative_hybrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,4,60,0,0,0.0,4,127.99989990890026,4.855199949815869,26.934699853882194,159.78979971259832,180,180
validation,hotpotqa,5a8cefc155429941ae14df55,A1_broad_semantic,0.4,0.25,0.25,0.2530614822099702,1.0,0.0,0.6,60,8,60,0,0,0.0,6,2.503100084140897,4.2474998626858,0.0,6.750599946826696,60,0
validation,hotpotqa,5a8cefc155429941ae14df55,O1_oracle,0.8,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,60,4,60,0,0,0.0,0,0.0350000336766243,3.0799000523984432,0.0,3.1149000860750675,0,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B0_gist,0.2,0.25,1.0,0.3903800499921017,1.0,0.0,0.8,65,4,65,0,0,0.0,3,1.3095999602228403,3.3810001332312822,0.0,4.6906000934541225,65,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B1_bm25,0.2,0.25,1.0,0.3903800499921017,1.0,0.0,0.8,65,4,65,0,0,0.0,3,59.52280014753342,4.547700053080916,29.18009995482862,93.25060015544295,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B2_exact,0.2,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8,65,4,65,0,0,0.0,3,50.61889998614788,3.106200136244297,16.084899893030524,69.8100000154227,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B3_weighted,0.4,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.6,65,4,65,0,0,0.0,2,65.49949990585446,4.345700144767761,17.30049983598292,87.14569988660514,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,B4_approx,0.2,0.25,0.5,0.24630238874073,1.0,0.0,0.8,65,4,65,0,0,0.0,3,65.35709998570383,5.343399941921234,26.789600029587746,97.4900999572128,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,H1_union,0.2,0.25,1.0,0.3903800499921017,1.0,0.0,0.8,65,4,65,0,0,0.0,3,65.50100003369153,3.1853001564741135,24.02140013873577,92.70770032890141,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,H2_token_semantic,0.2,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8,65,4,65,0,0,0.0,3,56.876600021496415,3.9719000924378633,16.199100064113736,77.04760017804801,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,H3_semantic_token,0.2,0.25,0.5,0.24630238874073,1.0,0.0,0.8,65,4,65,0,0,0.0,3,51.15850013680756,3.020599950104952,17.61589990928769,71.7949999962002,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,H4_cascade,0.2,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8,65,4,65,0,0,0.0,3,56.78809992969036,3.0558998696506023,20.225399872288108,80.06939967162907,65,65
validation,hotpotqa,5ac4f8705542995c82c4ad8d,H5_iterative_hybrid,0.4,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.6,65,4,65,0,0,0.0,2,141.15900010801852,3.2649000640958548,22.87920005619526,167.30310022830963,195,195
validation,hotpotqa,5ac4f8705542995c82c4ad8d,A1_broad_semantic,0.2,0.125,1.0,0.3391602052736161,1.0,0.0,0.8,65,8,65,0,0,0.0,7,2.470599953085184,5.6374999694526196,0.0,8.108099922537804,65,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,O1_oracle,0.8,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,65,4,65,0,0,0.0,0,0.02050003968179226,3.2046998385339975,0.0,3.22519987821579,0,0
