stage,config_id,method,edge_family,top_k,threshold,policy,examples,mean_ari,mean_nmi,mean_pairwise_f1,mean_boundary_f1,mean_cluster_count_error,mean_graph_ms,mean_cluster_ms,convergence_rate
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,120,0.7789041300343605,0.7990902258757601,0.9484650390796474,0.7715272275153926,0.7,1.2475850079984714,0.5646983219776303,1.0
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,120,0.19091477334757628,0.5425943674181767,0.3700273278304969,0.4965839680347299,4.083333333333333,1.1905150177578132,0.6271850065483401,1.0
edge_method,edge-cc-contextual_lexical,cc,contextual_lexical,4,0.55,union,120,0.42640986990705465,0.6591790094657023,0.5865001192235743,0.5640413387775784,4.633333333333334,1.3191050190168123,0.7374966555895904,1.0
edge_method,edge-cc-contextual_lexical_position,cc,contextual_lexical_position,4,0.55,union,120,0.4458719795045361,0.6658373907913739,0.611571322296245,0.580708862890509,4.458333333333333,1.355768336604039,0.7155666748682658,1.0
edge_method,edge-label_propagation-contextual,label_propagation,contextual,4,0.55,union,120,0.7450222594451076,0.7833818185297908,0.9131348313091929,0.7421477093948877,0.9333333333333333,1.2796083271193008,2.3119458366030208,0.9666666666666667
edge_method,edge-label_propagation-lexical,label_propagation,lexical,4,0.55,union,120,0.19091477334757628,0.5425943674181767,0.3700273278304969,0.4965839680347299,4.083333333333333,1.2785508219773571,1.4119466689104836,1.0
edge_method,edge-label_propagation-contextual_lexical,label_propagation,contextual_lexical,4,0.55,union,120,0.3442812863344916,0.6342200465872715,0.4929490868757617,0.5254681550877628,5.058333333333334,1.2793208356015384,2.0062866678927094,0.9916666666666667
edge_method,edge-label_propagation-contextual_lexical_position,label_propagation,contextual_lexical_position,4,0.55,union,120,0.35604969592460856,0.6387279541915721,0.5039177491493702,0.5336424959091346,4.95,1.3660791601675253,2.1470341734432927,0.9916666666666667
top_k,k-2,cc,contextual,2,0.55,union,120,0.7807256042567723,0.7998060639027728,0.9499356273149415,0.771860560848726,0.6916666666666667,1.136828336166218,0.5445791718860468,1.0
top_k,k-4,cc,contextual,4,0.55,union,120,0.7789041300343605,0.7990902258757601,0.9484650390796474,0.7715272275153926,0.7,1.2764250064113487,0.5804000092515101,1.0
top_k,k-8,cc,contextual,8,0.55,union,120,0.7789041300343605,0.7990902258757601,0.9484650390796474,0.7715272275153926,0.7,1.3029525017676253,0.5991200043354183,1.0
top_k,k-16,cc,contextual,16,0.55,union,120,0.7789041300343605,0.7990902258757601,0.9484650390796474,0.7715272275153926,0.7,1.281748345354572,0.5883533449377865,1.0
top_k,k-32,cc,contextual,32,0.55,union,120,0.7789041300343605,0.7990902258757601,0.9484650390796474,0.7715272275153926,0.7,1.2630474928300828,0.5736374955934783,1.0
threshold,threshold-0.35,cc,contextual,2,0.35,union,120,0.830360258551156,0.8315759948751341,0.9977380952380952,0.8321428571428572,0.008333333333333333,1.1837366580342252,0.520359988634785,1.0
threshold,threshold-0.45,cc,contextual,2,0.45,union,120,0.830771884379754,0.8312508034986307,0.9961269305019304,0.8305014430014431,0.041666666666666664,1.2262491567526013,0.5315524894588938,1.0
threshold,threshold-0.55,cc,contextual,2,0.55,union,120,0.7807256042567723,0.7998060639027728,0.9499356273149415,0.771860560848726,0.6916666666666667,1.264678337611258,0.5904075049329549,1.0
threshold,threshold-0.65,cc,contextual,2,0.65,union,120,0.42584811681086204,0.6438093508191541,0.5583449682166992,0.5782327549220897,5.025,1.4339183476598312,0.7560749771073461,1.0
threshold,threshold-0.75,cc,contextual,2,0.75,union,120,0.04497988454202021,0.5390167447336616,0.062015490541770434,0.4942057284041572,9.966666666666667,1.1832925025373697,0.7520291585630426,1.0
policy,policy-directed,cc,contextual,2,0.45,directed,120,0.7219978163878181,0.7764271389881223,0.8821065866056021,0.7193069276898739,1.225,1.182195827520142,0.63535501055109,1.0
policy,policy-union,cc,contextual,2,0.45,union,120,0.830771884379754,0.8312508034986307,0.9961269305019304,0.8305014430014431,0.041666666666666664,1.1344333334515493,0.5081383356203636,1.0
policy,policy-mutual,cc,contextual,2,0.45,mutual,120,0.6622610408722622,0.7498065342587971,0.8190598693193801,0.6846623956497748,1.8,1.3748149969615042,0.6425858339450011,1.0
policy,policy-reciprocal_average,cc,contextual,2,0.45,reciprocal_average,120,0.830771884379754,0.8312508034986307,0.9961269305019304,0.8305014430014431,0.041666666666666664,1.3560791752145935,0.535304161409537,1.0
