split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,requested_chunks,requested_token_budget,materialized_chunks,materialized_tokens,selected_chunk_ids,positive_chunk_ids,positive_indices,graph_facets,graph_edges,graph_memory_bytes,graph_ms,cluster_ms,score_ms,selection_ms,routing_ms,cluster_iterations,cluster_converged,peak_graph_gpu_bytes,device
test,hotpotqa,5adc3aff5542996e685252eb,global_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=32|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=25,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.5989000201225281,1.0677999816834927,1.6667000018060207,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,paper25_multiscale,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=20|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=31,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.9185001254081726,0.5906999576836824,1.509200083091855,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,paper25_clause,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=20|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=32|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.6120000034570694,0.515500083565712,1.1275000870227814,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,embedding_kmeans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=32|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=25,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.47289999201893806,0.49109989777207375,0.9639998897910118,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,graph_cc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=20|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=32|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=19,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,3,50,1832,203.95979983732104,46.77180014550686,4.462199984118342,0.44359988532960415,255.63739985227585,5,1,8853504,cuda
test,hotpotqa,5adc3aff5542996e685252eb,graph_label_propagation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=25|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=32,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,6,50,1832,3.8682001177221537,116.07580003328621,0.664199935272336,0.5731000564992428,121.18130014277995,4,1,8871424,cuda
test,hotpotqa,5adc3aff5542996e685252eb,paper26_bm25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=31|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=20|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=36,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.0,15.726899961009622,15.726899961009622,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,paper26_hybrid,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=36|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,0,0,0,0.0,0.0,0.0,16.66769990697503,16.66769990697503,0,0,0,cuda
test,hotpotqa,5adc3aff5542996e685252eb,graph_cc_hybrid,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=36|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=20,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,3,50,1832,203.95979983732104,46.77180014550686,4.462199984118342,15.677500050514936,270.8713000174612,5,1,8853504,cuda
test,hotpotqa,5adc3aff5542996e685252eb,graph_label_propagation_hybrid,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=35|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=36|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=4,benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=16|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=17|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=37|benchmark://hotpotqa/5adc3aff5542996e685252eb#chunk=38,8|9|31|32,6,50,1832,3.8682001177221537,116.07580003328621,0.664199935272336,18.23849999345839,138.8467000797391,4,1,8871424,cuda
