dataset,evidence_recall,m,method,rank,seed,teacher_top4_overlap
hotpotqa,0.08705357142857142,32,lowrank_all,8,11,0.28125
hotpotqa,0.08229166666666667,32,lowrank_all,8,23,0.265625
hotpotqa,0.1255952380952381,32,lowrank_all,8,37,0.3125
hotpotqa,0.10625,32,lowrank_all,8,53,0.265625
hotpotqa,0.12098214285714286,32,lowrank_all,8,71,0.203125
hotpotqa,0.18764880952380952,32,lowrank_all,16,11,0.40625
hotpotqa,0.11889880952380952,32,lowrank_all,16,23,0.1875
hotpotqa,0.08392857142857142,32,lowrank_all,16,37,0.390625
hotpotqa,0.08392857142857142,32,lowrank_all,16,53,0.25
hotpotqa,0.1308035714285714,32,lowrank_all,16,71,0.3125
hotpotqa,0.11726190476190475,32,lowrank_all,32,11,0.328125
hotpotqa,0.13303571428571428,32,lowrank_all,32,23,0.15625
hotpotqa,0.1724702380952381,32,lowrank_all,32,37,0.265625
hotpotqa,0.17098214285714286,32,lowrank_all,32,53,0.21875
hotpotqa,0.13303571428571428,32,lowrank_all,32,71,0.390625
hotpotqa,0.12410714285714285,4,lowrank_farthest,8,11,0.0625
hotpotqa,0.08705357142857142,4,lowrank_farthest,8,23,0.03125
hotpotqa,0.09955357142857142,4,lowrank_farthest,8,37,0.0625
hotpotqa,0.09285714285714285,4,lowrank_farthest,8,53,0.046875
hotpotqa,0.10848214285714286,4,lowrank_farthest,8,71,0.046875
hotpotqa,0.1099702380952381,8,lowrank_farthest,8,11,0.046875
hotpotqa,0.13392857142857142,8,lowrank_farthest,8,23,0.140625
hotpotqa,0.07053571428571428,8,lowrank_farthest,8,37,0.03125
hotpotqa,0.10104166666666667,8,lowrank_farthest,8,53,0.125
hotpotqa,0.11681547619047618,8,lowrank_farthest,8,71,0.015625
hotpotqa,0.13288690476190476,4,lowrank_farthest,16,11,0.234375
hotpotqa,0.06101190476190475,4,lowrank_farthest,16,23,0.078125
hotpotqa,0.08392857142857142,4,lowrank_farthest,16,37,0.0625
hotpotqa,0.08556547619047618,4,lowrank_farthest,16,53,0.015625
hotpotqa,0.06160714285714286,4,lowrank_farthest,16,71,0.03125
hotpotqa,0.1532738095238095,8,lowrank_farthest,16,11,0.1875
hotpotqa,0.08705357142857142,8,lowrank_farthest,16,23,0.015625
hotpotqa,0.11517857142857142,8,lowrank_farthest,16,37,0.15625
