dataset,split,example_id,authored_evidence_items,positive_routing_chunks,four_chunk_authored_chain_feasible,four_chunk_full_span_feasible,positive_chunk_ids,source_tokens,candidate_chunks,source_segments
2wikimultihopqa,validation,038fb14a0bb011ebab90acde48001122,2,6,True,False,18 19 20 47 48 49,1902,60,41
2wikimultihopqa,validation,20dfd443092011ebbdaeac1f6bf848b6,2,5,True,False,20 21 22 25 26,891,28,20
2wikimultihopqa,validation,28db126d08c911ebbd92ac1f6bf848b6,2,5,True,False,7 8 9 36 37,1462,46,31
2wikimultihopqa,validation,38573b3e0bdb11eba7f7acde48001122,2,5,True,False,5 6 7 21 22,734,23,18
2wikimultihopqa,validation,49ac82560bde11eba7f7acde48001122,2,5,True,False,26 27 28 35 36,1761,56,34
2wikimultihopqa,validation,4a48ee2c085c11ebbd5cac1f6bf848b6,2,5,True,False,23 24 25 31 32,1101,35,23
2wikimultihopqa,validation,4c53b8f80bde11eba7f7acde48001122,2,5,True,False,4 5 6 30 31,1574,50,38
2wikimultihopqa,validation,5a9ca2660bda11eba7f7acde48001122,2,5,True,False,0 1 2 21 22,1183,37,27
2wikimultihopqa,validation,7a11b11109a811ebbdb0ac1f6bf848b6,2,4,True,True,0 1 15 16,1006,32,24
2wikimultihopqa,validation,7ae18dc708be11ebbd8aac1f6bf848b6,2,4,True,True,22 23 26 27,944,30,27
2wikimultihopqa,validation,8cd0aab708e711ebbda6ac1f6bf848b6,2,5,True,False,0 1 5 6 7,315,10,11
2wikimultihopqa,validation,a813d16b094911ebbdaeac1f6bf848b6,2,4,True,True,21 22 36 37,1246,39,28
2wikimultihopqa,validation,ad6e5c1c0baf11ebab90acde48001122,2,4,True,True,8 9 35 36,1812,57,38
2wikimultihopqa,validation,b2ed53540bdd11eba7f7acde48001122,2,8,True,False,34 35 36 56 57 58 59 60,2285,72,53
2wikimultihopqa,validation,bd2b5b320baf11ebab90acde48001122,2,6,True,False,2 3 4 51 52 53,1923,61,39
2wikimultihopqa,validation,c9238c7c0bda11eba7f7acde48001122,2,6,True,False,4 5 6 8 9 10,932,30,22
2wikimultihopqa,validation,da8b3d7708fc11ebbdadac1f6bf848b6,2,5,True,False,6 7 8 16 17,864,27,20
2wikimultihopqa,validation,e30de52a0bd911eba7f7acde48001122,2,6,True,False,6 7 8 13 14 15,947,30,20
2wikimultihopqa,validation,e7c2c741089e11ebbd78ac1f6bf848b6,2,5,True,False,0 1 2 51 52,1896,60,32
2wikimultihopqa,validation,fd848f860bdd11eba7f7acde48001122,2,5,True,False,2 3 25 26 27,1532,48,27
2wikimultihopqa,test,042a249a0bde11eba7f7acde48001122,2,4,True,True,23 24 29 30,1075,34,25
2wikimultihopqa,test,04f33eff08fa11ebbdabac1f6bf848b6,2,6,True,False,14 15 21 22 23 24,777,25,14
2wikimultihopqa,test,0bdeb6f80bdc11eba7f7acde48001122,2,4,True,True,5 6 24 25,996,32,21
2wikimultihopqa,test,0c8a27700bde11eba7f7acde48001122,2,7,True,False,0 1 2 79 80 81 82,4151,130,77
2wikimultihopqa,test,0cafe4700bb011ebab90acde48001122,2,6,True,False,8 9 10 27 28 29,1714,54,27
2wikimultihopqa,test,17d19f7a092f11ebbdaeac1f6bf848b6,2,5,True,False,1 2 20 21 22,1306,41,31
2wikimultihopqa,test,186e79700bb011ebab90acde48001122,2,5,True,False,20 21 37 38 39,1249,40,25
2wikimultihopqa,test,18be7d3d08b111ebbd85ac1f6bf848b6,2,5,True,False,12 13 14 17 18,1984,62,36
2wikimultihopqa,test,1a89b60308f911ebbdaaac1f6bf848b6,2,4,True,True,13 14 28 29,1117,35,30
2wikimultihopqa,test,1b38f1ce0bda11eba7f7acde48001122,2,5,True,False,38 39 40 41 42,1540,49,36
2wikimultihopqa,test,1c92cdf40bdc11eba7f7acde48001122,2,5,True,False,9 10 60 61 62,3104,97,69
2wikimultihopqa,test,1dbd09b308a111ebbd78ac1f6bf848b6,2,5,True,False,0 1 2 10 11,1103,35,22
