dataset,example_id,condition,candidate_chunks,index_construction_ms,cached_routing_ms,cached_routing_p95_ms,index_bytes,index_bytes_per_chunk,native_dots,low_rank_dots,lexical_scoring_ms,materialized_native_kv_tokens,active_memory_fraction,backing_native_kv_bytes,transfer_bytes,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,native_mean,34,54.41179987974465,1.1235199868679047,1.3093000743538141,139298,4097.0,544,0,0.0,128,0.11906976744186047,4403200,524288,0.25,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,exact,34,12.378399958834052,7.2662499733269215,7.693300023674965,21663,637.1470588235294,0,0,7.2662499733269215,128,0.11906976744186047,4403200,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,bm25,34,12.378399958834052,7.688729977235198,8.595400024205446,21663,637.1470588235294,0,0,7.688729977235198,128,0.11906976744186047,4403200,524288,0.5,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,approximate,34,12.378399958834052,7.176410034298897,7.941799936816096,21663,637.1470588235294,0,0,7.176410034298897,128,0.11906976744186047,4403200,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,inherited_hybrid,34,12.378399958834052,7.128460053354502,7.751000113785267,21663,637.1470588235294,0,0,7.128460053354502,115,0.10697674418604651,4403200,471040,0.25,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,rank16_retrained,34,3.4930999390780926,1.0440400103107095,1.258299918845296,70720,2080.0,0,17408,0.0,128,0.11906976744186047,4403200,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,rank8_centroid8_retrained,34,309.8600001540035,0.8174399612471461,0.8121998980641365,8976,264.0,0,2176,0.0,128,0.11906976744186047,4403200,524288,0.25,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,native_mean,25,1.0546001140028238,1.099900039844215,1.3402001932263374,102425,4097.0,400,0,0.0,105,0.13513513513513514,3182592,430080,0.16666666666666666,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,exact,25,6.307699950411916,4.773369967006147,5.619799951091409,16817,672.68,0,0,4.773369967006147,128,0.16473616473616473,3182592,524288,0.5,0.75,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,bm25,25,6.307699950411916,4.74482998251915,4.994699964299798,16817,672.68,0,0,4.74482998251915,128,0.16473616473616473,3182592,524288,0.16666666666666666,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,approximate,25,6.307699950411916,4.921810002997518,5.88220008648932,16817,672.68,0,0,4.921810002997518,128,0.16473616473616473,3182592,524288,0.5,0.75,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,inherited_hybrid,25,6.307699950411916,4.990990017540753,5.421499954536557,16817,672.68,0,0,4.990990017540753,105,0.13513513513513514,3182592,430080,0.16666666666666666,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,rank16_retrained,25,0.6510999519377947,0.8997200056910515,1.17790000513196,52000,2080.0,0,12800,0.0,128,0.16473616473616473,3182592,524288,0.3333333333333333,0.5,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,rank8_centroid8_retrained,25,194.0593000035733,0.8270499529317021,0.9355999063700438,6600,264.0,0,1600,0.0,105,0.13513513513513514,3182592,430080,0.16666666666666666,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,native_mean,32,1.1125998571515083,1.1108400067314506,1.3969000428915024,131104,4097.0,512,0,0.0,128,0.1285140562248996,4079616,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,exact,32,8.9455998968333,7.275719987228513,7.878100033849478,21863,683.21875,0,0,7.275719987228513,128,0.1285140562248996,4079616,524288,0.25,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,bm25,32,8.9455998968333,7.36140999943018,8.349800016731024,21863,683.21875,0,0,7.36140999943018,128,0.1285140562248996,4079616,524288,0.25,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,approximate,32,8.9455998968333,7.069200067780912,8.062000153586268,21863,683.21875,0,0,7.069200067780912,128,0.1285140562248996,4079616,524288,0.25,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,inherited_hybrid,32,8.9455998968333,7.306459965184331,7.727999938651919,21863,683.21875,0,0,7.306459965184331,128,0.1285140562248996,4079616,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,rank16_retrained,32,0.7614998612552881,0.9280699770897627,1.2831001076847315,66560,2080.0,0,16384,0.0,128,0.1285140562248996,4079616,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,rank8_centroid8_retrained,32,253.511399962008,0.8860300295054913,1.104600029066205,8448,264.0,0,2048,0.0,128,0.1285140562248996,4079616,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,native_mean,130,2.299700165167451,1.134199951775372,1.174099976196885,532610,4097.0,2080,0,0.0,119,0.02866779089376054,17002496,487424,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,exact,130,31.546700047329068,28.062939969822764,29.554399894550443,82468,634.3692307692307,0,0,28.062939969822764,128,0.030835943146229824,17002496,524288,0.42857142857142855,0.75,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,bm25,130,31.546700047329068,27.002620045095682,27.68959989771247,82468,634.3692307692307,0,0,27.002620045095682,128,0.030835943146229824,17002496,524288,0.42857142857142855,0.75,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,approximate,130,31.546700047329068,27.676510019227862,28.866499895229936,82468,634.3692307692307,0,0,27.676510019227862,128,0.030835943146229824,17002496,524288,0.42857142857142855,0.75,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,inherited_hybrid,130,31.546700047329068,27.13140998966992,27.759999968111515,82468,634.3692307692307,0,0,27.13140998966992,128,0.030835943146229824,17002496,524288,0.2857142857142857,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,rank16_retrained,130,2.3892000317573547,1.0793400229886174,1.3933000154793262,270400,2080.0,0,66560,0.0,128,0.030835943146229824,17002496,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,rank8_centroid8_retrained,130,964.2459000460804,0.954999984242022,1.3587998691946268,34320,264.0,0,8320,0.0,128,0.030835943146229824,17002496,524288,0.14285714285714285,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,native_mean,54,1.2916999403387308,1.1087799677625299,1.3515998143702745,221238,4097.0,864,0,0.0,128,0.07467911318553092,7020544,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,exact,54,13.400099938735366,15.746810007840395,16.287900041788816,32933,609.8703703703703,0,0,15.746810007840395,128,0.07467911318553092,7020544,524288,0.3333333333333333,0.5,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,bm25,54,13.400099938735366,15.550539991818368,15.87969996035099,32933,609.8703703703703,0,0,15.550539991818368,128,0.07467911318553092,7020544,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,approximate,54,13.400099938735366,15.487920003943145,16.065600095316768,32933,609.8703703703703,0,0,15.487920003943145,128,0.07467911318553092,7020544,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,inherited_hybrid,54,13.400099938735366,16.399160004220903,17.257099971175194,32933,609.8703703703703,0,0,16.399160004220903,128,0.07467911318553092,7020544,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,rank16_retrained,54,1.0353999678045511,1.0999699588865042,1.3496000319719315,112320,2080.0,0,27648,0.0,128,0.07467911318553092,7020544,524288,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,rank8_centroid8_retrained,54,407.4172000400722,0.9457799606025219,1.0936998296529055,14256,264.0,0,3456,0.0,128,0.07467911318553092,7020544,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,native_mean,41,1.167000038549304,1.0989400558173656,1.3742998708039522,167977,4097.0,656,0,0.0,122,0.09341500765696784,5349376,499712,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,exact,41,10.961099993437529,9.538080007769167,10.010400088503957,27195,663.2926829268292,0,0,9.538080007769167,128,0.09800918836140889,5349376,524288,0.4,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,bm25,41,10.961099993437529,9.48560000397265,9.989300044253469,27195,663.2926829268292,0,0,9.48560000397265,128,0.09800918836140889,5349376,524288,0.4,0.5,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,approximate,41,10.961099993437529,9.47746995370835,10.160000063478947,27195,663.2926829268292,0,0,9.47746995370835,128,0.09800918836140889,5349376,524288,0.4,0.5,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,inherited_hybrid,41,10.961099993437529,9.958960022777319,10.618500178679824,27195,663.2926829268292,0,0,9.958960022777319,122,0.09341500765696784,5349376,499712,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,rank16_retrained,41,0.8540002163499594,0.942190014757216,1.1783000081777573,85280,2080.0,0,20992,0.0,128,0.09800918836140889,5349376,524288,0.2,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,rank8_centroid8_retrained,41,315.7937000505626,0.9830799652263522,1.328999875113368,10824,264.0,0,2624,0.0,128,0.09800918836140889,5349376,524288,0.4,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,native_mean,40,1.1072000488638878,1.0915599763393402,1.5223999507725239,163880,4097.0,640,0,0.0,97,0.07766212970376302,5115904,397312,0.2,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,exact,40,11.06139994226396,7.901169988326728,8.383299922570586,26078,651.95,0,0,7.901169988326728,128,0.10248198558847077,5115904,524288,0.2,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,bm25,40,11.06139994226396,7.6297900173813105,8.092100033536553,26078,651.95,0,0,7.6297900173813105,128,0.10248198558847077,5115904,524288,0.2,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,approximate,40,11.06139994226396,7.732989965006709,8.438499877229333,26078,651.95,0,0,7.732989965006709,128,0.10248198558847077,5115904,524288,0.2,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,inherited_hybrid,40,11.06139994226396,7.97779003623873,9.296099888160825,26078,651.95,0,0,7.97779003623873,97,0.07766212970376302,5115904,397312,0.4,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,rank16_retrained,40,1.9417000003159046,1.5830100048333406,1.633400097489357,83200,2080.0,0,20480,0.0,128,0.10248198558847077,5115904,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,rank8_centroid8_retrained,40,559.5042000059038,1.4984300127252936,1.661399845033884,10560,264.0,0,2560,0.0,128,0.10248198558847077,5115904,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,native_mean,62,3.7591999862343073,2.482109982520342,2.790100174024701,254014,4097.0,992,0,0.0,128,0.06451612903225806,8126464,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,exact,62,14.865099918097258,13.905219989828765,14.776799827814102,44063,710.6935483870968,0,0,13.905219989828765,128,0.06451612903225806,8126464,524288,0.8,1.0,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,bm25,62,14.865099918097258,13.558279979042709,13.927499996498227,44063,710.6935483870968,0,0,13.558279979042709,128,0.06451612903225806,8126464,524288,0.8,1.0,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,approximate,62,14.865099918097258,13.582389964722097,14.256899943575263,44063,710.6935483870968,0,0,13.582389964722097,128,0.06451612903225806,8126464,524288,0.8,1.0,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,inherited_hybrid,62,14.865099918097258,14.059629989787936,14.73459997214377,44063,710.6935483870968,0,0,14.059629989787936,128,0.06451612903225806,8126464,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,rank16_retrained,62,3.34420008584857,1.6358100110664964,1.7877998761832714,128960,2080.0,0,31744,0.0,128,0.06451612903225806,8126464,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,rank8_centroid8_retrained,62,922.1673000138253,1.4595699729397893,1.4841000083833933,16368,264.0,0,3968,0.0,128,0.06451612903225806,8126464,524288,0.2,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,native_mean,35,2.547499956563115,2.0340299932286143,2.2444999776780605,143395,4097.0,560,0,0.0,128,0.11459265890778872,4575232,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,exact,35,9.100300027057528,8.22443999350071,8.721299935132265,23243,664.0857142857143,0,0,8.22443999350071,128,0.11459265890778872,4575232,524288,0.5,0.5,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,bm25,35,9.100300027057528,8.493180014193058,9.581400081515312,23243,664.0857142857143,0,0,8.493180014193058,128,0.11459265890778872,4575232,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,approximate,35,9.100300027057528,8.335889969021082,8.724999846890569,23243,664.0857142857143,0,0,8.335889969021082,128,0.11459265890778872,4575232,524288,0.5,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,inherited_hybrid,35,9.100300027057528,8.235869952477515,8.895999984815717,23243,664.0857142857143,0,0,8.235869952477515,128,0.11459265890778872,4575232,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,rank16_retrained,35,2.040400169789791,1.457050023600459,1.4911999460309744,72800,2080.0,0,17920,0.0,128,0.11459265890778872,4575232,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,rank8_centroid8_retrained,35,498.1180999893695,1.4596500433981419,1.824100036174059,9240,264.0,0,2240,0.0,128,0.11459265890778872,4575232,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,native_mean,49,3.1918000895529985,2.2742000175639987,2.492000116035342,200753,4097.0,784,0,0.0,100,0.06493506493506493,6307840,409600,0.2,0.25,1.0,1.0,0.0,0.25,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,exact,49,11.581500060856342,8.777909982018173,9.298400022089481,33169,676.9183673469388,0,0,8.777909982018173,128,0.08311688311688312,6307840,524288,0.2,0.25,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,bm25,49,11.581500060856342,8.716469979844987,9.56280017271638,33169,676.9183673469388,0,0,8.716469979844987,128,0.08311688311688312,6307840,524288,0.4,0.5,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,approximate,49,11.581500060856342,8.806320047006011,9.772100020200014,33169,676.9183673469388,0,0,8.806320047006011,128,0.08311688311688312,6307840,524288,0.2,0.25,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,inherited_hybrid,49,11.581500060856342,8.759309956803918,9.326500119641423,33169,676.9183673469388,0,0,8.759309956803918,100,0.06493506493506493,6307840,409600,0.2,0.25,1.0,1.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,rank16_retrained,49,2.365899970754981,1.6639700625091791,2.045900095254183,101920,2080.0,0,25088,0.0,128,0.08311688311688312,6307840,524288,0.2,0.25,1.0,1.0,0.0,0.25,4.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,rank8_centroid8_retrained,49,745.9648000076413,1.4840500196442008,1.4690000098198652,12936,264.0,0,3136,0.0,128,0.08311688311688312,6307840,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,native_mean,97,5.163500085473061,2.8054400347173214,3.2768999226391315,397409,4097.0,1552,0,0.0,128,0.041237113402061855,12713984,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,exact,97,34.16999988257885,22.746929991990328,23.04779994301498,66473,685.2886597938144,0,0,22.746929991990328,128,0.041237113402061855,12713984,524288,0.2,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,bm25,97,34.16999988257885,22.631250019185245,23.3326000161469,66473,685.2886597938144,0,0,22.631250019185245,128,0.041237113402061855,12713984,524288,0.2,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,approximate,97,34.16999988257885,25.44746999628842,29.74610007368028,66473,685.2886597938144,0,0,25.44746999628842,128,0.041237113402061855,12713984,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,inherited_hybrid,97,34.16999988257885,22.557529993355274,23.348999908193946,66473,685.2886597938144,0,0,22.557529993355274,128,0.041237113402061855,12713984,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,rank16_retrained,97,4.529499914497137,1.683329977095127,1.8668998964130878,201760,2080.0,0,49664,0.0,128,0.041237113402061855,12713984,524288,0.2,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,rank8_centroid8_retrained,97,1498.822299996391,1.5200699912384152,1.8319000955671072,25608,264.0,0,6208,0.0,128,0.041237113402061855,12713984,524288,0.2,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,native_mean,35,2.606700174510479,2.0420099841430783,2.393599832430482,143395,4097.0,560,0,0.0,128,0.11604714415231188,4517888,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,exact,35,8.073800010606647,6.246180017478764,6.848199991509318,24206,691.6,0,0,6.246180017478764,128,0.11604714415231188,4517888,524288,0.6,0.75,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,bm25,35,8.073800010606647,6.763309985399246,7.870999863371253,24206,691.6,0,0,6.763309985399246,128,0.11604714415231188,4517888,524288,0.4,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,approximate,35,8.073800010606647,6.2374400440603495,6.500800140202045,24206,691.6,0,0,6.2374400440603495,128,0.11604714415231188,4517888,524288,0.6,0.75,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,inherited_hybrid,35,8.073800010606647,6.663710041902959,7.74729996919632,24206,691.6,0,0,6.663710041902959,128,0.11604714415231188,4517888,524288,0.2,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,rank16_retrained,35,1.81159982457757,1.6041499795392156,1.697199884802103,72800,2080.0,0,17920,0.0,128,0.11604714415231188,4517888,524288,0.2,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,rank8_centroid8_retrained,35,537.6518000848591,1.524920016527176,1.785400090739131,9240,264.0,0,2240,0.0,111,0.10063463281958296,4517888,454656,0.2,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,native_mean,46,3.0898000113666058,2.2231999784708023,2.697400050237775,188462,4097.0,736,0,0.0,128,0.0886426592797784,5914624,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,exact,46,12.053200043737888,11.408489989116788,11.985500110313296,31409,682.804347826087,0,0,11.408489989116788,128,0.0886426592797784,5914624,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,bm25,46,12.053200043737888,11.341100023128092,12.510299915447831,31409,682.804347826087,0,0,11.341100023128092,128,0.0886426592797784,5914624,524288,0.25,0.25,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,approximate,46,12.053200043737888,11.108179949223995,11.523700086399913,31409,682.804347826087,0,0,11.108179949223995,128,0.0886426592797784,5914624,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,inherited_hybrid,46,12.053200043737888,11.259259982034564,11.89740002155304,31409,682.804347826087,0,0,11.259259982034564,128,0.0886426592797784,5914624,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,rank16_retrained,46,2.233299892395735,1.598030049353838,1.8122999463230371,95680,2080.0,0,23552,0.0,128,0.0886426592797784,5914624,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,rank8_centroid8_retrained,46,635.5680001433939,1.4675700571388006,1.6294000670313835,12144,264.0,0,2944,0.0,128,0.0886426592797784,5914624,524288,0.25,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,native_mean,73,4.281400004401803,2.5952300056815147,2.8550000861287117,299081,4097.0,1168,0,0.0,128,0.05486498071153022,9555968,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,exact,73,21.45319990813732,20.177189959213138,21.286100149154663,45015,616.6438356164383,0,0,20.177189959213138,128,0.05486498071153022,9555968,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.5,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,bm25,73,21.45319990813732,20.050020003691316,21.042800042778254,45015,616.6438356164383,0,0,20.050020003691316,128,0.05486498071153022,9555968,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,approximate,73,21.45319990813732,20.202980004251003,21.263400092720985,45015,616.6438356164383,0,0,20.202980004251003,128,0.05486498071153022,9555968,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.25,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,inherited_hybrid,73,21.45319990813732,21.434249985031784,24.569999892264605,45015,616.6438356164383,0,0,21.434249985031784,128,0.05486498071153022,9555968,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,rank16_retrained,73,3.835800103843212,1.8174099968746305,1.8951001111418009,151840,2080.0,0,37376,0.0,128,0.05486498071153022,9555968,524288,0.2222222222222222,0.5,1.0,0.0,0.0,1.0,4.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,rank8_centroid8_retrained,73,1102.6183001231402,1.49292997084558,1.6604000702500343,19272,264.0,0,4672,0.0,128,0.05486498071153022,9555968,524288,0.2222222222222222,0.5,1.0,1.0,0.0,1.0,4.0
2wikimultihopqa,2151e72a0bb011ebab90acde48001122,native_mean,48,3.0939998105168343,2.2449199808761477,2.723399782553315,196656,4097.0,768,0,0.0,128,0.08398950131233596,6242304,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0
