dataset,budget_chunks,left,right,identities,mean_delta,ci95_low,ci95_high,better,worse,unchanged
2wikimultihopqa,4,rank16_zero_shot,native_mean,100,0.03276984126984127,0.002547619047619051,0.06384126984126987,29,16,55
2wikimultihopqa,4,rank16_retrained,native_mean,100,0.09260317460317462,0.058158730158730174,0.1288650793650794,47,14,39
2wikimultihopqa,4,rank16_mixed,native_mean,100,0.07769047619047618,0.040738095238095254,0.11278571428571431,47,15,38
2wikimultihopqa,4,rank8_centroid8_retrained,native_mean,100,0.07858730158730158,0.04366666666666668,0.1143412698412698,45,13,42
2wikimultihopqa,4,rank16_retrained,best_lexical,100,-0.09184126984126983,-0.14464285714285707,-0.03965873015873017,24,54,22
2wikimultihopqa,4,lexical_lowrank_retrained,best_lexical,100,-0.054420634920634925,-0.09953968253968255,-0.009325396825396837,22,43,35
2wikimultihopqa,4,lexical_lowrank_mixed,best_lexical,100,-0.03251587301587301,-0.07627777777777778,0.012555555555555558,26,36,38
2wikimultihopqa,6,rank16_zero_shot,native_mean,100,0.08137301587301587,0.04256349206349208,0.1195793650793651,44,16,40
2wikimultihopqa,6,rank16_retrained,native_mean,100,0.13677777777777778,0.09902380952380951,0.1756428571428571,57,10,33
2wikimultihopqa,6,rank16_mixed,native_mean,100,0.11718253968253968,0.07545238095238098,0.15769047619047616,54,14,32
2wikimultihopqa,6,rank8_centroid8_retrained,native_mean,100,0.10023015873015872,0.05873809523809525,0.1417222222222222,50,16,34
2wikimultihopqa,6,rank16_retrained,best_lexical,100,-0.05628571428571428,-0.11000000000000006,-0.0004285714285714193,30,45,25
2wikimultihopqa,6,lexical_lowrank_retrained,best_lexical,100,-0.016206349206349207,-0.061238095238095244,0.031642857142857146,30,37,33
2wikimultihopqa,6,lexical_lowrank_mixed,best_lexical,100,-0.0014920634920634912,-0.04865873015873015,0.04725396825396827,32,34,34
musique,4,rank16_zero_shot,native_mean,100,-0.0010095276113784666,-0.01728151333567944,0.01584544705343266,30,32,38
musique,4,rank16_retrained,native_mean,100,0.004272987360600094,-0.015717848242229052,0.02405753792131501,28,30,42
musique,4,rank16_mixed,native_mean,100,0.005125606994970301,-0.014544857600484193,0.024491958464801376,36,33,31
musique,4,rank8_centroid8_retrained,native_mean,100,0.0013600005108485391,-0.015323398533534482,0.019659222142180827,24,34,42
musique,4,rank16_retrained,best_lexical,100,-0.05086006273792315,-0.0726543000772877,-0.029615565147450337,18,58,24
musique,4,lexical_lowrank_retrained,best_lexical,100,-0.028136666996574116,-0.04728411548032291,-0.009943169532565814,20,45,35
musique,4,lexical_lowrank_mixed,best_lexical,100,-0.019842090209262777,-0.035851821663253215,-0.0036947918162213472,26,45,29
musique,8,rank16_zero_shot,native_mean,100,-0.0021718927293971043,-0.029156052960141666,0.02534074594771526,36,36,28
musique,8,rank16_retrained,native_mean,100,-0.0029204969650083396,-0.028909312071470506,0.0229069044411116,32,36,32
musique,8,rank16_mixed,native_mean,100,-0.006085778587784241,-0.03598224902032953,0.02297380837667888,36,41,23
musique,8,rank8_centroid8_retrained,native_mean,100,0.001693537283000873,-0.019624144547216296,0.024584373038606454,33,33,34
musique,8,rank16_retrained,best_lexical,100,-0.05235720186470624,-0.08324527529163075,-0.02038483167159637,25,60,15
musique,8,lexical_lowrank_retrained,best_lexical,100,-0.010015108156526922,-0.03641010627435113,0.017282619082208517,27,41,32
musique,8,lexical_lowrank_mixed,best_lexical,100,-0.024453186744979045,-0.04717957129542806,-0.0010749288980713156,28,40,32
