dataset,split,budget_chunks,condition,identities,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,teacher_top4_overlap,spearman,kl,index_bytes_per_chunk,routing_setup_plus_score_ms,materialized_native_kv_tokens,active_memory_fraction,transfer_bytes
2wikimultihopqa,test,4,approximate,100,0.2513412698412698,0.34,0.79,0.19,0.0,0.5425,0.135,0.1477232835360337,0.15855708509683608,0.0,17.76169000309892,125.95,0.10107841474073999,515891.2
2wikimultihopqa,test,4,best_lexical,100,0.2821190476190476,0.3775,0.84,0.18,0.0,0.6575,0.1425,0.09907978081362671,0.17096916183829308,0.0,17.76169000309892,127.34,0.10253564318180194,521584.64
2wikimultihopqa,test,4,bm25,100,0.2665238095238095,0.35,0.82,0.24,0.0,0.6325,0.12,0.13896988591179252,0.17741607196629047,0.0,17.76169000309892,126.96,0.10190018947501184,520028.16
2wikimultihopqa,test,4,exact,100,0.2821190476190476,0.3775,0.84,0.18,0.0,0.6575,0.1425,0.09907978081362671,0.17096916183829308,0.0,17.76169000309892,127.34,0.10253564318180194,521584.64
2wikimultihopqa,test,4,inherited_hybrid,100,0.1455793650793651,0.1925,0.59,0.13,0.0,0.35416666666666663,0.57,0.6902159959077835,0.10434865422546863,0.0,17.76169000309892,121.34,0.0967683259637742,497008.64
2wikimultihopqa,test,4,lexical_lowrank_mixed,100,0.24960317460317458,0.33,0.84,0.24,0.0,0.5608333333333334,0.1925,0.3668688904028386,0.14059700809419154,2048.0,0.0,127.81,0.10276127654527585,523509.76
2wikimultihopqa,test,4,lexical_lowrank_retrained,100,0.22769841269841268,0.3,0.79,0.21,0.0,0.5666666666666667,0.215,0.3535787630919367,0.13866114914417266,2048.0,0.0,127.66,0.1025895598230963,522895.36
2wikimultihopqa,test,4,lexical_lowrank_zero_shot,100,0.25355555555555553,0.3375,0.81,0.2,0.0,0.6208333333333333,0.25,0.3638310740143061,0.13750853307545186,2048.0,0.0,127.03,0.10199258414994661,520314.88
2wikimultihopqa,test,4,native_farthest_m2,100,0.08976984126984126,0.12,0.45,0.08,0.0,0.2575,0.7575,0.5168178462982178,0.49145471945405006,8192.0,0.0,126.38,0.10092389081905173,517652.48
2wikimultihopqa,test,4,native_mean,100,0.09767460317460318,0.13,0.44,0.1,0.0,0.2533333333333333,0.685,0.7444041806459427,0.08277550332248211,4096.0,0.0,121.81,0.09731060458531356,498933.76
2wikimultihopqa,test,4,rank16_mixed,100,0.1753650793650794,0.2275,0.61,0.2,0.0,0.4033333333333334,0.205,0.3477943687001243,0.19884787254035474,2048.0,0.0,127.54,0.10241944813114336,522403.84
2wikimultihopqa,test,4,rank16_retrained,100,0.1902777777777778,0.245,0.69,0.18,0.0,0.415,0.2075,0.34108370463829485,0.20969851985573768,2048.0,0.0,127.52,0.10246635818241938,522321.92
2wikimultihopqa,test,4,rank16_zero_shot,100,0.13044444444444445,0.175,0.54,0.1,0.0,0.33083333333333337,0.35,0.3946257003396749,0.19215736746788026,2048.0,0.0,127.41,0.10239183201623532,521871.36
2wikimultihopqa,test,4,rank8_centroid8_mixed,100,0.16192063492063494,0.205,0.61,0.14,0.0,0.415,0.4425,0.47044304877519605,0.10911699544638395,256.0,0.0,125.86,0.10093676777326521,515522.56
2wikimultihopqa,test,4,rank8_centroid8_retrained,100,0.17626190476190476,0.2325,0.68,0.15,0.0,0.44416666666666665,0.16,0.279952949534636,0.252925766184926,256.0,0.0,123.22,0.09826613184834815,504709.12
2wikimultihopqa,test,4,rank8_centroid8_zero_shot,100,0.12285714285714286,0.1675,0.5,0.1,0.0,0.2866666666666667,0.2525,0.2893055473640561,0.32819908156991007,256.0,0.0,122.22,0.09796815473632485,500613.12
2wikimultihopqa,test,4,rank8_mixed,100,0.17576984126984127,0.2225,0.63,0.15,0.0,0.43,0.405,0.5073175980150699,0.11294043697416782,1024.0,0.0,127.76,0.10267461451874249,523304.96
2wikimultihopqa,test,4,rank8_retrained,100,0.19484920634920633,0.255,0.74,0.17,0.0,0.4575,0.1925,0.32969105493742973,0.2688069077581167,1024.0,0.0,127.31,0.10216666991054818,521461.76
2wikimultihopqa,test,4,rank8_zero_shot,100,0.15513492063492065,0.2025,0.56,0.14,0.0,0.33166666666666667,0.3275,0.37678922470891846,0.25265981554985045,1024.0,0.0,127.44,0.10233302891859263,521994.24
2wikimultihopqa,test,6,approximate,100,0.3049603174603175,0.27166666666666667,0.85,0.26,0.0,0.5538333333333333,0.135,0.1477232835360337,0.15855708509683608,0.0,17.76169000309892,189.52,0.15216089290642987,776273.92
2wikimultihopqa,test,6,best_lexical,100,0.33049999999999996,0.29333333333333333,0.87,0.26,0.0,0.6631666666666667,0.1425,0.09907978081362671,0.17096916183829308,0.0,17.76169000309892,190.79,0.15327154826256645,781475.84
2wikimultihopqa,test,6,bm25,100,0.32881746031746034,0.29,0.91,0.32,0.0,0.6495000000000001,0.12,0.13896988591179252,0.17741607196629047,0.0,17.76169000309892,190.77,0.15312794963297477,781393.92
2wikimultihopqa,test,6,exact,100,0.33049999999999996,0.29333333333333333,0.87,0.26,0.0,0.6631666666666667,0.1425,0.09907978081362671,0.17096916183829308,0.0,17.76169000309892,190.79,0.15327154826256645,781475.84
2wikimultihopqa,test,6,inherited_hybrid,100,0.21623809523809523,0.19,0.76,0.19,0.0,0.38549999999999995,0.57,0.6902159959077835,0.10434865422546863,0.0,17.76169000309892,184.98,0.14801605185741767,757678.08
2wikimultihopqa,test,6,lexical_lowrank_mixed,100,0.3290079365079365,0.29333333333333333,0.93,0.31,0.0,0.5781666666666667,0.1925,0.3668688904028386,0.14059700809419154,2048.0,0.0,191.63,0.1541013654603449,784916.48
2wikimultihopqa,test,6,lexical_lowrank_retrained,100,0.3142936507936508,0.275,0.9,0.33,0.0,0.5873333333333334,0.215,0.3535787630919367,0.13866114914417266,2048.0,0.0,191.33,0.15372174457171797,783687.68
2wikimultihopqa,test,6,lexical_lowrank_zero_shot,100,0.29867460317460315,0.26166666666666666,0.88,0.26,0.0,0.6335000000000001,0.25,0.3638310740143061,0.13750853307545186,2048.0,0.0,190.83,0.15322782354022596,781639.68
2wikimultihopqa,test,6,native_farthest_m2,100,0.1365952380952381,0.12166666666666666,0.58,0.14,0.0,0.2815,0.7575,0.5168178462982178,0.49145471945405006,8192.0,0.0,187.29,0.14959520059646741,767139.84
2wikimultihopqa,test,6,native_mean,100,0.13743650793650794,0.12,0.53,0.15,0.0,0.2693333333333333,0.685,0.7444041806459427,0.08277550332248211,4096.0,0.0,184.27,0.14736758576321918,754769.92
2wikimultihopqa,test,6,rank16_mixed,100,0.25461904761904763,0.22333333333333333,0.77,0.29,0.0,0.433,0.205,0.3477943687001243,0.19884787254035474,2048.0,0.0,191.19,0.1535372058007999,783114.24
2wikimultihopqa,test,6,rank16_retrained,100,0.2742142857142857,0.23666666666666664,0.86,0.34,0.0,0.4463333333333333,0.2075,0.34108370463829485,0.20969851985573768,2048.0,0.0,190.95,0.15330084279038247,782131.2
2wikimultihopqa,test,6,rank16_zero_shot,100,0.2188095238095238,0.19333333333333333,0.68,0.26,0.0,0.3575,0.35,0.3946257003396749,0.19215736746788026,2048.0,0.0,191.01,0.1533777708132864,782376.96
2wikimultihopqa,test,6,rank8_centroid8_mixed,100,0.2201984126984127,0.19,0.77,0.2,0.0,0.4446666666666667,0.4425,0.47044304877519605,0.10911699544638395,256.0,0.0,188.83,0.15133121387707726,773447.68
2wikimultihopqa,test,6,rank8_centroid8_retrained,100,0.23766666666666666,0.21,0.8,0.25,0.0,0.4661666666666667,0.16,0.279952949534636,0.252925766184926,256.0,0.0,186.55,0.1492197866477605,764108.8
2wikimultihopqa,test,6,rank8_centroid8_zero_shot,100,0.17204761904761906,0.15333333333333332,0.64,0.14,0.0,0.314,0.2525,0.2893055473640561,0.32819908156991007,256.0,0.0,186.13,0.1493535649044204,762388.48
2wikimultihopqa,test,6,rank8_mixed,100,0.24086507936507937,0.20666666666666664,0.74,0.27,0.0,0.4513333333333333,0.405,0.5073175980150699,0.11294043697416782,1024.0,0.0,191.61,0.15394376700782753,784834.56
2wikimultihopqa,test,6,rank8_retrained,100,0.24756349206349207,0.21666666666666665,0.8,0.27,0.0,0.4685,0.1925,0.32969105493742973,0.2688069077581167,1024.0,0.0,190.69,0.1530241091192501,781066.24
2wikimultihopqa,test,6,rank8_zero_shot,100,0.21295238095238095,0.18666666666666665,0.68,0.22,0.0,0.35333333333333333,0.3275,0.37678922470891846,0.25265981554985045,1024.0,0.0,190.92,0.15328251418343475,782008.32
2wikimultihopqa,validation,4,approximate,20,0.29083333333333333,0.3625,0.9,0.1,0.0,0.5791666666666667,0.0875,0.1465938724577427,0.17174144312739373,0.0,15.15606000320986,124.35,0.11626108794150529,509337.6
