chain_completion,condition,dataset,evidence_recall,example_id,mrr,precision,requested_chunks,source
0.0,B0_gist,hotpotqa,0.0,5adc3aff5542996e685252eb,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.0,5adc3aff5542996e685252eb,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.5,5adc3aff5542996e685252eb,0.3333333333333333,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.5,5adc3aff5542996e685252eb,0.3333333333333333,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.25,5adc3aff5542996e685252eb,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.25,5adc3aff5542996e685252eb,0.25,0.25,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5adc3aff5542996e685252eb,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.25,5ab56db7554299494045efc6,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.25,5ab56db7554299494045efc6,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.75,5ab56db7554299494045efc6,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.75,5ab56db7554299494045efc6,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.75,5ab56db7554299494045efc6,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.75,5ab56db7554299494045efc6,1.0,0.75,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5ab56db7554299494045efc6,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.3333333333333333,5ab2b863554299295394685a,1.0,0.25,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5ab2b863554299295394685a,1.0,1.0,3.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.5,5a710a915542994082a3e504,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.75,5a710a915542994082a3e504,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.25,5a710a915542994082a3e504,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.25,5a710a915542994082a3e504,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.25,5a710a915542994082a3e504,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.25,5a710a915542994082a3e504,1.0,0.25,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5a710a915542994082a3e504,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5adc93a4554299438c868e01,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.4,5adc93a4554299438c868e01,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.0,5adc93a4554299438c868e01,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.0,5adc93a4554299438c868e01,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.0,5adc93a4554299438c868e01,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.2,5adc93a4554299438c868e01,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.8,5adc93a4554299438c868e01,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.5,5ab7f97a5542991d322237ef,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.75,5ab7f97a5542991d322237ef,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.5,5ab7f97a5542991d322237ef,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.5,5ab7f97a5542991d322237ef,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.5,5ab7f97a5542991d322237ef,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.75,5ab7f97a5542991d322237ef,1.0,0.75,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5ab7f97a5542991d322237ef,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5a8888e35542997e5c09a5f6,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.25,5a8888e35542997e5c09a5f6,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.25,5a8888e35542997e5c09a5f6,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.25,5a8888e35542997e5c09a5f6,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.0,5a8888e35542997e5c09a5f6,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.0,5a8888e35542997e5c09a5f6,0.0,0.0,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5a8888e35542997e5c09a5f6,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5a8c8502554299585d9e36d0,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.6,5a8c8502554299585d9e36d0,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.2,5a8c8502554299585d9e36d0,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.2,5a8c8502554299585d9e36d0,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.4,5a8c8502554299585d9e36d0,0.5,0.5,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.2,5a8c8502554299585d9e36d0,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.8,5a8c8502554299585d9e36d0,1.0,1.0,4.0,Paper 2.6 frozen per-example row
